 ,IntDen1,RawIntDen1,IntDen2,RawIntDen2,IntDen3,RawIntDen3,IntDen4,RawIntDen4,IntDen5,RawIntDen5,IntDen6,RawIntDen6,IntDen7,RawIntDen7,IntDen8,RawIntDen8,IntDen9,RawIntDen9,IntDen10,RawIntDen10,IntDen11,RawIntDen11,IntDen12,RawIntDen12,IntDen13,RawIntDen13,IntDen14,RawIntDen14,IntDen15,RawIntDen15,IntDen16,RawIntDen16,IntDen17,RawIntDen17,IntDen18,RawIntDen18,IntDen19,RawIntDen19,IntDen20,RawIntDen20,IntDen21,RawIntDen21,IntDen22,RawIntDen22,IntDen23,RawIntDen23,IntDen24,RawIntDen24,IntDen25,RawIntDen25,IntDen26,RawIntDen26,IntDen27,RawIntDen27,IntDen28,RawIntDen28,IntDen29,RawIntDen29,IntDen30,RawIntDen30,IntDen31,RawIntDen31,IntDen32,RawIntDen32,IntDen33,RawIntDen33,IntDen34,RawIntDen34,IntDen35,RawIntDen35,IntDen36,RawIntDen36,IntDen37,RawIntDen37,IntDen38,RawIntDen38,IntDen39,RawIntDen39,IntDen40,RawIntDen40,IntDen41,RawIntDen41,IntDen42,RawIntDen42,IntDen43,RawIntDen43,IntDen44,RawIntDen44,IntDen45,RawIntDen45,IntDen46,RawIntDen46,IntDen47,RawIntDen47,IntDen48,RawIntDen48,IntDen49,RawIntDen49,IntDen50,RawIntDen50,IntDen51,RawIntDen51,IntDen52,RawIntDen52,IntDen53,RawIntDen53,IntDen54,RawIntDen54,IntDen55,RawIntDen55,IntDen56,RawIntDen56,IntDen57,RawIntDen57,IntDen58,RawIntDen58,IntDen59,RawIntDen59,IntDen60,RawIntDen60,IntDen61,RawIntDen61,IntDen62,RawIntDen62,IntDen63,RawIntDen63,IntDen64,RawIntDen64,IntDen65,RawIntDen65,IntDen66,RawIntDen66,IntDen67,RawIntDen67,IntDen68,RawIntDen68,IntDen69,RawIntDen69,IntDen70,RawIntDen70,IntDen71,RawIntDen71,IntDen72,RawIntDen72,IntDen73,RawIntDen73,IntDen74,RawIntDen74,IntDen75,RawIntDen75,IntDen76,RawIntDen76,IntDen77,RawIntDen77,IntDen78,RawIntDen78,IntDen79,RawIntDen79
25,12391,12391,17,17,21246,21246,14273,14273,13404,13404,115624,115624,50517,50517,48968,48968,13661,13661,39535,39535,4750,4750,17502,17502,55515,55515,2801,2801,10412,10412,40571,40571,14720,14720,18501,18501,23351,23351,27897,27897,28051,28051,18309,18309,83880,83880,52951,52951,24267,24267,62589,62589,23693,23693,7768,7768,19784,19784,25646,25646,14490,14490,16256,16256,44113,44113,21742,21742,13579,13579,61738,61738,20420,20420,11969,11969,27442,27442,14345,14345,22384,22384,139979,139979,16003,16003,9033,9033,46925,46925,7477,7477,5242,5242,79754,79754,30564,30564,11721,11721,22067,22067,40540,40540,45162,45162,73214,73214,30855,30855,18225,18225,18447,18447,53807,53807,15748,15748,6880,6880,111456,111456,15378,15378,10439,10439,17910,17910,58744,58744,1655,1655,14881,14881,18169,18169,5189,5189,9284,9284,52624,52624,13382,13382,56875,56875,26960,26960,13231,13231,19609,19609,27906,27906,75203,75203,13935,13935
26,12457,12457,30,30,20539,20539,13799,13799,13109,13109,116214,116214,50158,50158,49412,49412,13888,13888,39487,39487,4874,4874,17375,17375,52611,52611,2922,2922,10684,10684,41314,41314,14491,14491,18423,18423,23580,23580,27812,27812,28545,28545,18453,18453,83481,83481,52467,52467,24192,24192,61906,61906,23641,23641,7677,7677,20554,20554,25870,25870,14061,14061,16527,16527,43686,43686,22204,22204,13448,13448,61539,61539,20496,20496,11829,11829,27165,27165,13762,13762,22858,22858,139315,139315,15954,15954,8977,8977,46613,46613,7430,7430,5019,5019,82280,82280,31052,31052,11837,11837,22704,22704,40180,40180,44140,44140,73044,73044,36786,36786,18285,18285,18926,18926,53871,53871,15615,15615,6821,6821,111738,111738,15423,15423,10409,10409,17643,17643,59036,59036,1626,1626,14835,14835,17887,17887,5164,5164,9019,9019,52367,52367,13129,13129,56780,56780,27501,27501,13063,13063,19784,19784,28717,28717,73632,73632,14437,14437
27,12316,12316,16,16,21038,21038,13959,13959,13426,13426,117278,117278,49716,49716,49192,49192,13779,13779,37823,37823,5119,5119,18128,18128,47145,47145,2735,2735,11260,11260,41146,41146,14937,14937,18454,18454,22911,22911,27737,27737,28162,28162,18704,18704,83616,83616,53083,53083,24297,24297,61283,61283,23862,23862,7602,7602,20142,20142,25708,25708,14403,14403,16011,16011,44032,44032,22112,22112,13873,13873,63033,63033,20485,20485,11859,11859,27364,27364,14477,14477,22252,22252,140727,140727,15887,15887,9322,9322,45338,45338,7355,7355,5209,5209,84905,84905,30312,30312,11553,11553,22165,22165,39737,39737,44808,44808,72546,72546,47448,47448,18442,18442,19489,19489,54036,54036,15222,15222,6820,6820,115881,115881,15892,15892,10745,10745,18007,18007,56650,56650,1625,1625,15415,15415,17655,17655,5288,5288,9332,9332,52027,52027,13279,13279,56299,56299,27112,27112,13556,13556,19694,19694,28980,28980,75089,75089,14617,14617
28,12970,12970,14,14,21198,21198,13719,13719,13039,13039,117518,117518,48832,48832,50363,50363,13797,13797,36826,36826,4925,4925,17558,17558,38768,38768,2740,2740,11000,11000,41076,41076,14580,14580,18615,18615,23378,23378,28182,28182,28321,28321,18578,18578,81248,81248,52942,52942,24532,24532,61156,61156,24003,24003,7690,7690,20201,20201,25960,25960,14091,14091,16450,16450,43378,43378,21691,21691,14055,14055,63840,63840,20396,20396,12089,12089,27062,27062,13966,13966,21861,21861,140783,140783,15687,15687,9256,9256,46018,46018,7503,7503,5301,5301,88156,88156,30993,30993,11509,11509,22737,22737,39241,39241,44864,44864,73461,73461,51282,51282,17886,17886,19952,19952,53612,53612,15767,15767,6562,6562,117322,117322,15790,15790,10666,10666,17504,17504,56421,56421,1734,1734,15188,15188,17804,17804,5680,5680,9051,9051,51022,51022,13349,13349,56437,56437,26983,26983,12929,12929,19264,19264,29407,29407,76017,76017,14258,14258
29,12484,12484,25,25,21046,21046,13864,13864,13336,13336,117680,117680,49631,49631,51550,51550,13698,13698,36153,36153,4941,4941,17518,17518,31450,31450,2627,2627,11475,11475,48574,48574,15214,15214,18287,18287,23349,23349,27417,27417,28628,28628,18689,18689,80452,80452,53772,53772,25293,25293,61679,61679,24551,24551,8019,8019,20403,20403,24714,24714,14149,14149,16052,16052,44308,44308,21966,21966,13119,13119,64152,64152,20351,20351,12405,12405,27597,27597,13889,13889,22411,22411,139937,139937,15600,15600,9165,9165,45726,45726,7350,7350,5273,5273,90487,90487,30776,30776,11798,11798,23211,23211,37536,37536,44822,44822,74144,74144,51298,51298,18016,18016,20480,20480,53193,53193,15714,15714,6758,6758,120283,120283,15524,15524,10863,10863,17984,17984,56683,56683,1697,1697,15078,15078,18480,18480,5570,5570,9011,9011,51260,51260,13017,13017,56239,56239,27563,27563,13087,13087,19773,19773,30323,30323,76717,76717,14139,14139
30,12639,12639,19,19,20873,20873,14018,14018,13637,13637,117921,117921,49730,49730,51587,51587,13880,13880,35994,35994,5067,5067,17717,17717,27242,27242,2786,2786,12694,12694,50728,50728,14157,14157,18354,18354,24046,24046,28102,28102,28359,28359,18319,18319,79776,79776,53579,53579,25568,25568,61869,61869,24513,24513,7907,7907,20570,20570,25695,25695,14429,14429,13137,13137,43810,43810,22250,22250,13663,13663,64516,64516,20580,20580,12089,12089,27783,27783,14510,14510,22136,22136,142312,142312,16285,16285,8869,8869,45605,45605,7576,7576,4963,4963,92358,92358,31154,31154,11391,11391,22749,22749,36746,36746,44002,44002,74814,74814,50438,50438,17984,17984,20119,20119,52112,52112,15423,15423,6711,6711,123620,123620,16286,16286,10871,10871,17511,17511,55748,55748,1808,1808,15404,15404,17899,17899,5708,5708,9115,9115,50421,50421,12919,12919,56354,56354,27706,27706,13167,13167,19612,19612,31653,31653,78374,78374,14352,14352
31,12615,12615,27,27,20977,20977,14188,14188,13506,13506,119378,119378,50219,50219,51927,51927,13756,13756,35189,35189,5231,5231,17419,17419,24371,24371,2658,2658,19489,19489,44784,44784,14401,14401,18169,18169,24026,24026,28674,28674,28585,28585,18979,18979,79299,79299,53503,53503,25780,25780,61997,61997,24001,24001,8132,8132,20606,20606,26156,26156,14696,14696,12244,12244,44396,44396,22140,22140,13573,13573,65032,65032,20055,20055,12174,12174,28571,28571,14554,14554,22636,22636,141867,141867,16168,16168,8989,8989,45240,45240,7462,7462,5426,5426,95103,95103,31146,31146,11678,11678,23543,23543,35735,35735,44285,44285,76304,76304,48881,48881,18103,18103,20809,20809,51826,51826,16028,16028,6833,6833,127622,127622,15687,15687,10989,10989,17805,17805,55576,55576,1685,1685,15515,15515,17705,17705,5333,5333,9507,9507,51671,51671,13148,13148,57561,57561,27979,27979,13094,13094,19888,19888,31080,31080,79561,79561,14839,14839
32,13096,13096,27,27,20994,20994,14047,14047,13596,13596,121581,121581,50126,50126,52294,52294,14311,14311,35534,35534,5306,5306,17534,17534,21179,21179,2541,2541,26243,26243,42241,42241,14571,14571,18162,18162,25800,25800,29231,29231,28231,28231,19004,19004,77007,77007,54073,54073,25763,25763,60741,60741,24302,24302,8529,8529,20581,20581,25653,25653,14558,14558,11496,11496,44083,44083,22251,22251,13108,13108,65369,65369,20553,20553,11981,11981,28278,28278,14123,14123,22641,22641,142828,142828,16610,16610,9075,9075,45692,45692,7112,7112,5267,5267,96580,96580,31076,31076,11343,11343,23354,23354,34143,34143,43387,43387,78874,78874,45434,45434,18225,18225,21197,21197,51442,51442,15329,15329,6865,6865,129388,129388,15661,15661,10702,10702,17787,17787,55336,55336,1657,1657,15262,15262,17975,17975,5439,5439,9319,9319,50947,50947,13316,13316,57331,57331,27618,27618,13175,13175,19420,19420,31156,31156,80076,80076,14760,14760
33,12903,12903,17,17,21285,21285,14495,14495,13397,13397,122483,122483,49817,49817,54990,54990,13911,13911,35161,35161,4882,4882,17457,17457,19162,19162,2888,2888,25686,25686,41063,41063,15109,15109,17818,17818,27846,27846,29174,29174,28521,28521,19294,19294,76312,76312,53198,53198,26286,26286,61123,61123,24285,24285,8826,8826,20408,20408,25764,25764,15034,15034,12469,12469,44261,44261,22707,22707,13041,13041,66003,66003,20350,20350,12208,12208,28997,28997,14184,14184,22115,22115,142494,142494,16199,16199,8773,8773,46271,46271,7326,7326,5534,5534,100029,100029,31046,31046,11354,11354,23547,23547,33441,33441,43792,43792,82523,82523,41646,41646,18376,18376,21008,21008,50996,50996,16304,16304,6505,6505,131486,131486,15681,15681,10547,10547,17824,17824,56654,56654,1661,1661,15232,15232,17650,17650,5707,5707,9237,9237,52011,52011,13267,13267,57933,57933,28180,28180,13415,13415,19708,19708,31452,31452,81755,81755,14726,14726
34,12762,12762,23,23,20856,20856,14351,14351,13265,13265,123327,123327,48462,48462,54618,54618,14422,14422,35188,35188,4904,4904,17215,17215,17952,17952,2745,2745,21389,21389,38873,38873,15016,15016,18225,18225,26095,26095,29676,29676,28697,28697,19233,19233,79314,79314,53634,53634,26088,26088,60676,60676,24812,24812,8708,8708,20302,20302,25549,25549,15030,15030,12871,12871,46642,46642,23119,23119,13127,13127,66392,66392,20527,20527,12640,12640,29468,29468,14187,14187,23232,23232,143396,143396,16520,16520,8594,8594,46269,46269,7567,7567,5259,5259,102922,102922,31281,31281,11394,11394,23630,23630,32586,32586,43682,43682,86028,86028,37421,37421,18559,18559,21610,21610,49694,49694,15741,15741,6781,6781,133960,133960,16062,16062,10547,10547,17824,17824,58429,58429,1640,1640,14938,14938,17707,17707,5459,5459,9245,9245,51998,51998,13721,13721,56897,56897,27997,27997,13288,13288,19570,19570,31621,31621,84474,84474,14960,14960
