 ,IntDen1,RawIntDen1,IntDen2,RawIntDen2,IntDen3,RawIntDen3,IntDen4,RawIntDen4,IntDen5,RawIntDen5,IntDen6,RawIntDen6,IntDen7,RawIntDen7,IntDen8,RawIntDen8,IntDen9,RawIntDen9,IntDen10,RawIntDen10,IntDen11,RawIntDen11,IntDen12,RawIntDen12,IntDen13,RawIntDen13,IntDen14,RawIntDen14,IntDen15,RawIntDen15,IntDen16,RawIntDen16,IntDen17,RawIntDen17,IntDen18,RawIntDen18,IntDen19,RawIntDen19,IntDen20,RawIntDen20,IntDen21,RawIntDen21,IntDen22,RawIntDen22,IntDen23,RawIntDen23
21,5349,5349,47742,47742,26663,26663,86424,86424,36865,36865,80120,80120,31407,31407,39037,39037,47886,47886,40946,40946,69039,69039,39956,39956,38407,38407,5396,5396,18012,18012,17793,17793,43690,43690,51368,51368,45600,45600,67740,67740,6605,6605,19551,19551,15772,15772
22,5381,5381,47773,47773,26141,26141,86580,86580,36981,36981,82741,82741,30270,30270,39010,39010,47145,47145,41427,41427,70002,70002,39980,39980,38772,38772,5072,5072,17827,17827,17764,17764,45074,45074,51688,51688,45308,45308,66119,66119,6309,6309,19398,19398,15505,15505
23,5759,5759,48611,48611,26953,26953,86775,86775,37994,37994,83157,83157,31243,31243,38660,38660,47647,47647,41100,41100,70466,70466,40143,40143,38360,38360,5250,5250,18123,18123,18179,18179,49024,49024,51980,51980,45181,45181,66335,66335,6690,6690,19169,19169,16033,16033
24,5596,5596,48530,48530,27157,27157,86561,86561,38736,38736,84639,84639,30368,30368,39226,39226,48814,48814,40853,40853,70718,70718,40195,40195,38819,38819,5172,5172,18852,18852,17696,17696,60962,60962,51793,51793,45468,45468,64839,64839,6930,6930,19578,19578,16353,16353
25,5523,5523,49298,49298,27141,27141,87058,87058,38864,38864,85746,85746,30674,30674,39226,39226,49086,49086,41567,41567,70034,70034,41638,41638,38623,38623,5335,5335,19116,19116,17447,17447,83976,83976,54044,54044,49196,49196,63986,63986,6806,6806,19841,19841,16122,16122
26,5330,5330,50802,50802,27165,27165,86454,86454,38228,38228,85702,85702,31154,31154,39561,39561,48801,48801,41315,41315,70532,70532,41704,41704,39591,39591,5387,5387,20548,20548,17954,17954,88006,88006,54088,54088,49570,49570,63730,63730,6422,6422,19715,19715,16410,16410
27,5450,5450,51024,51024,27250,27250,87060,87060,40295,40295,86813,86813,30605,30605,40637,40637,48692,48692,40652,40652,70446,70446,43090,43090,39289,39289,5346,5346,19930,19930,18116,18116,90376,90376,53378,53378,48112,48112,62408,62408,6793,6793,19794,19794,16609,16609
28,5503,5503,50801,50801,27250,27250,86678,86678,44943,44943,86672,86672,31020,31020,41586,41586,48516,48516,41684,41684,70758,70758,51954,51954,39710,39710,5426,5426,20843,20843,17980,17980,87820,87820,55078,55078,48852,48852,62553,62553,6909,6909,19524,19524,16468,16468
29,5458,5458,51062,51062,27580,27580,87184,87184,45330,45330,85850,85850,30746,30746,41014,41014,48682,48682,41576,41576,70565,70565,65981,65981,39779,39779,5249,5249,21420,21420,18194,18194,89421,89421,52124,52124,49283,49283,64424,64424,7001,7001,20213,20213,16855,16855
30,5549,5549,51430,51430,27164,27164,87557,87557,45585,45585,85170,85170,30465,30465,40710,40710,49922,49922,42420,42420,71271,71271,62103,62103,39821,39821,5450,5450,21898,21898,18609,18609,86757,86757,51530,51530,49476,49476,64257,64257,7130,7130,19882,19882,16758,16758
31,5580,5580,51540,51540,27771,27771,87152,87152,45300,45300,83694,83694,30215,30215,41543,41543,49676,49676,42260,42260,70358,70358,59515,59515,39838,39838,5206,5206,21901,21901,18815,18815,84213,84213,52207,52207,49605,49605,64863,64863,7284,7284,20166,20166,16829,16829
32,5426,5426,52061,52061,27771,27771,87088,87088,45480,45480,82158,82158,31061,31061,40997,40997,51001,51001,42587,42587,71213,71213,59448,59448,39658,39658,5483,5483,21620,21620,20085,20085,74782,74782,51880,51880,49314,49314,64647,64647,6992,6992,20143,20143,17167,17167
33,5454,5454,51742,51742,27220,27220,87928,87928,45932,45932,80871,80871,32119,32119,40059,40059,50836,50836,42297,42297,70964,70964,60510,60510,40510,40510,5329,5329,21939,21939,22162,22162,62106,62106,52102,52102,48865,48865,64553,64553,7070,7070,20246,20246,16755,16755
34,5378,5378,52767,52767,28357,28357,88199,88199,45977,45977,79601,79601,30914,30914,40416,40416,51558,51558,42223,42223,70937,70937,61738,61738,41003,41003,5550,5550,21754,21754,49190,49190,54393,54393,52436,52436,48353,48353,64486,64486,7342,7342,20160,20160,17166,17166
35,5240,5240,52283,52283,28628,28628,87936,87936,47579,47579,80837,80837,31654,31654,40527,40527,51536,51536,41953,41953,71341,71341,63004,63004,40008,40008,5130,5130,21169,21169,48987,48987,57783,57783,52944,52944,47924,47924,65230,65230,7351,7351,21045,21045,17123,17123
36,5262,5262,52763,52763,30706,30706,89401,89401,49075,49075,83102,83102,31277,31277,40691,40691,52883,52883,41962,41962,71077,71077,62796,62796,40263,40263,5608,5608,20458,20458,43739,43739,60770,60770,53102,53102,49346,49346,65346,65346,7190,7190,20529,20529,17305,17305
37,5428,5428,52117,52117,31773,31773,88419,88419,49110,49110,83097,83097,32230,32230,40261,40261,52424,52424,42466,42466,71947,71947,63840,63840,40092,40092,5882,5882,19766,19766,39971,39971,61056,61056,53710,53710,48749,48749,65624,65624,7390,7390,20441,20441,17653,17653
38,5304,5304,52462,52462,34292,34292,89853,89853,48978,48978,82060,82060,40856,40856,40326,40326,52846,52846,42345,42345,71916,71916,66899,66899,39890,39890,5425,5425,19069,19069,36812,36812,58724,58724,54553,54553,48600,48600,66229,66229,7346,7346,21139,21139,17879,17879
39,5254,5254,53134,53134,38221,38221,88874,88874,49618,49618,83400,83400,39931,39931,41043,41043,53271,53271,43091,43091,72697,72697,66573,66573,40650,40650,5741,5741,18532,18532,35675,35675,57841,57841,54444,54444,49061,49061,65598,65598,7695,7695,21160,21160,18358,18358
40,5350,5350,53279,53279,40246,40246,89871,89871,49349,49349,84186,84186,39066,39066,41603,41603,53408,53408,43370,43370,72367,72367,65640,65640,40761,40761,5628,5628,18433,18433,34163,34163,56012,56012,55131,55131,48696,48696,66314,66314,7400,7400,21451,21451,19734,19734
