 ,IntDen1,RawIntDen1,IntDen2,RawIntDen2,IntDen3,RawIntDen3,IntDen4,RawIntDen4,IntDen5,RawIntDen5,IntDen6,RawIntDen6,IntDen7,RawIntDen7,IntDen8,RawIntDen8,IntDen9,RawIntDen9,IntDen10,RawIntDen10,IntDen11,RawIntDen11,IntDen12,RawIntDen12,IntDen13,RawIntDen13,IntDen14,RawIntDen14,IntDen15,RawIntDen15,IntDen16,RawIntDen16,IntDen17,RawIntDen17,IntDen18,RawIntDen18,IntDen19,RawIntDen19,IntDen20,RawIntDen20,IntDen21,RawIntDen21,IntDen22,RawIntDen22,IntDen23,RawIntDen23,IntDen24,RawIntDen24,IntDen25,RawIntDen25,IntDen26,RawIntDen26,IntDen27,RawIntDen27
18,19333,19333,16895,16895,21885,21885,17483,17483,24843,24843,50751,50751,21062,21062,13470,13470,29128,29128,24359,24359,25568,25568,26433,26433,86358,86358,17081,17081,38566,38566,11486,11486,25852,25852,11099,11099,18011,18011,60254,60254,28552,28552,13400,13400,14368,14368,45355,45355,44028,44028,4671,4671,18031,18031
19,19818,19818,16792,16792,21965,21965,17426,17426,23984,23984,51227,51227,21675,21675,13608,13608,30052,30052,23613,23613,23147,23147,26379,26379,83095,83095,17610,17610,40924,40924,11504,11504,25037,25037,11267,11267,18299,18299,59706,59706,28368,28368,13390,13390,14094,14094,44057,44057,44080,44080,4423,4423,18237,18237
20,19898,19898,17110,17110,21191,21191,17614,17614,23799,23799,51309,51309,21322,21322,13668,13668,29602,29602,23172,23172,22039,22039,27481,27481,80057,80057,17784,17784,45627,45627,11012,11012,25081,25081,11058,11058,17584,17584,59284,59284,28057,28057,13416,13416,14251,14251,44588,44588,44515,44515,4510,4510,18280,18280
21,19556,19556,16927,16927,21547,21547,17747,17747,23540,23540,52132,52132,21374,21374,13716,13716,30321,30321,23078,23078,21535,21535,27875,27875,79138,79138,17510,17510,46059,46059,11059,11059,24498,24498,10894,10894,17541,17541,59909,59909,29384,29384,13640,13640,14253,14253,44125,44125,44088,44088,4390,4390,17830,17830
22,19431,19431,16803,16803,21129,21129,17861,17861,24084,24084,51741,51741,21894,21894,13471,13471,29781,29781,22865,22865,21434,21434,28310,28310,80293,80293,17562,17562,45818,45818,10990,10990,24747,24747,10850,10850,17368,17368,59733,59733,28902,28902,13997,13997,14093,14093,43404,43404,44083,44083,4615,4615,17895,17895
23,19728,19728,16826,16826,20629,20629,17135,17135,24252,24252,51180,51180,21968,21968,13965,13965,30317,30317,23112,23112,21633,21633,28526,28526,79361,79361,17980,17980,46197,46197,10815,10815,24342,24342,11045,11045,17642,17642,59260,59260,28470,28470,14095,14095,14078,14078,43396,43396,43747,43747,4392,4392,17548,17548
24,19692,19692,17234,17234,20987,20987,17952,17952,23690,23690,51431,51431,20726,20726,13599,13599,29967,29967,21844,21844,21890,21890,27829,27829,79494,79494,18508,18508,45931,45931,10982,10982,24316,24316,10843,10843,17577,17577,58943,58943,28725,28725,14009,14009,14929,14929,45357,45357,45201,45201,4468,4468,17980,17980
25,19669,19669,17140,17140,20868,20868,18224,18224,24227,24227,52366,52366,21109,21109,13399,13399,30239,30239,22357,22357,21346,21346,28026,28026,79915,79915,18251,18251,46388,46388,10816,10816,24932,24932,10523,10523,17591,17591,58646,58646,29069,29069,13686,13686,14182,14182,45205,45205,44561,44561,4280,4280,18229,18229
26,19129,19129,16841,16841,20667,20667,17421,17421,24331,24331,52643,52643,22397,22397,13591,13591,30368,30368,21966,21966,21778,21778,28392,28392,79741,79741,18373,18373,47452,47452,10764,10764,24706,24706,10795,10795,18106,18106,57998,57998,29303,29303,14238,14238,14412,14412,45321,45321,44957,44957,4657,4657,18080,18080
27,19284,19284,16780,16780,19879,19879,17293,17293,24061,24061,53311,53311,21294,21294,13774,13774,30415,30415,21581,21581,21440,21440,27839,27839,79974,79974,18575,18575,46281,46281,10692,10692,24654,24654,10666,10666,17807,17807,58507,58507,29037,29037,13885,13885,14220,14220,43913,43913,45074,45074,4454,4454,18842,18842
28,19797,19797,16585,16585,19841,19841,17637,17637,24060,24060,53854,53854,21320,21320,13755,13755,30477,30477,21391,21391,22062,22062,27771,27771,80828,80828,18615,18615,46740,46740,11102,11102,24996,24996,10854,10854,17864,17864,57859,57859,28860,28860,14416,14416,14109,14109,44667,44667,44096,44096,4616,4616,20069,20069
29,20304,20304,16932,16932,20232,20232,19404,19404,24236,24236,54045,54045,21542,21542,13608,13608,31521,31521,21073,21073,21616,21616,27991,27991,80224,80224,18182,18182,46672,46672,12461,12461,25693,25693,12622,12622,18066,18066,57565,57565,29779,29779,14163,14163,14288,14288,44882,44882,44264,44264,4524,4524,24865,24865
