 ,IntDen1,RawIntDen1,IntDen2,RawIntDen2,IntDen3,RawIntDen3,IntDen4,RawIntDen4,IntDen5,RawIntDen5,IntDen6,RawIntDen6,IntDen7,RawIntDen7,IntDen8,RawIntDen8,IntDen9,RawIntDen9,IntDen10,RawIntDen10,IntDen11,RawIntDen11,IntDen12,RawIntDen12,IntDen13,RawIntDen13,IntDen14,RawIntDen14,IntDen15,RawIntDen15,IntDen16,RawIntDen16,IntDen17,RawIntDen17,IntDen18,RawIntDen18,IntDen19,RawIntDen19,IntDen20,RawIntDen20,IntDen21,RawIntDen21,IntDen22,RawIntDen22,IntDen23,RawIntDen23,IntDen24,RawIntDen24,IntDen25,RawIntDen25,IntDen26,RawIntDen26,IntDen27,RawIntDen27,IntDen28,RawIntDen28,IntDen29,RawIntDen29,IntDen30,RawIntDen30,IntDen31,RawIntDen31
28,1631,1631,7935,7935,20648,20648,7465,7465,50338,50338,55874,55874,11618,11618,36405,36405,84087,84087,45541,45541,27862,27862,29238,29238,28352,28352,45961,45961,21702,21702,45557,45557,27130,27130,21845,21845,12385,12385,79912,79912,77940,77940,127714,127714,3012,3012,74491,74491,50376,50376,705,705,2709,2709,6820,6820,1709,1709,13907,13907,6653,6653
29,1633,1633,7478,7478,18856,18856,7607,7607,49879,49879,56020,56020,11758,11758,28747,28747,84213,84213,45465,45465,27724,27724,29984,29984,27227,27227,47082,47082,25882,25882,44335,44335,36603,36603,18539,18539,12064,12064,75625,75625,69778,69778,122254,122254,2941,2941,74278,74278,46735,46735,661,661,2933,2933,6695,6695,1747,1747,22627,22627,8398,8398
30,1789,1789,7598,7598,16476,16476,7606,7606,50669,50669,55030,55030,11310,11310,22059,22059,83838,83838,44349,44349,28082,28082,29372,29372,27398,27398,48071,48071,31586,31586,44482,44482,43715,43715,16994,16994,12205,12205,71948,71948,64841,64841,122279,122279,2846,2846,73738,73738,46102,46102,716,716,2881,2881,7161,7161,1791,1791,36593,36593,9213,9213
31,1783,1783,7648,7648,16457,16457,7287,7287,50432,50432,54654,54654,12379,12379,19011,19011,84317,84317,45573,45573,28851,28851,28879,28879,27213,27213,47342,47342,38324,38324,44543,44543,50328,50328,15351,15351,11875,11875,61885,61885,64232,64232,120842,120842,2922,2922,74293,74293,43628,43628,736,736,2905,2905,7546,7546,1820,1820,33710,33710,8599,8599
32,1669,1669,7357,7357,15920,15920,7500,7500,49796,49796,56466,56466,11829,11829,19124,19124,84847,84847,47968,47968,30786,30786,29234,29234,27350,27350,47790,47790,32707,32707,43376,43376,46457,46457,15811,15811,11806,11806,59643,59643,64520,64520,122680,122680,2877,2877,73752,73752,43751,43751,886,886,3587,3587,7673,7673,1748,1748,33809,33809,8907,8907
33,1529,1529,7280,7280,14356,14356,7473,7473,48050,48050,54971,54971,11240,11240,17983,17983,85532,85532,49202,49202,55907,55907,30449,30449,26358,26358,50212,50212,26989,26989,42973,42973,44825,44825,15562,15562,12183,12183,58876,58876,61831,61831,125581,125581,3036,3036,72051,72051,44621,44621,795,795,3770,3770,7917,7917,1732,1732,36818,36818,9473,9473
34,1807,1807,7375,7375,13954,13954,7532,7532,46556,46556,55214,55214,10818,10818,18581,18581,86508,86508,48861,48861,74499,74499,30503,30503,25937,25937,50213,50213,25803,25803,43555,43555,44959,44959,15526,15526,11443,11443,58109,58109,61568,61568,126543,126543,2805,2805,72180,72180,44112,44112,828,828,3326,3326,7783,7783,1822,1822,46521,46521,9024,9024
35,1654,1654,7265,7265,13815,13815,7367,7367,47200,47200,54913,54913,10792,10792,18935,18935,85345,85345,49415,49415,56677,56677,30571,30571,25543,25543,50798,50798,24955,24955,42922,42922,44475,44475,15320,15320,11842,11842,57576,57576,61875,61875,129024,129024,2993,2993,69937,69937,44232,44232,805,805,3339,3339,7870,7870,1781,1781,50579,50579,9551,9551
36,1737,1737,7123,7123,13520,13520,7453,7453,45157,45157,53888,53888,10720,10720,18475,18475,85111,85111,52839,52839,36477,36477,29559,29559,26242,26242,50943,50943,25402,25402,43030,43030,44104,44104,15975,15975,11952,11952,57426,57426,61573,61573,127938,127938,3064,3064,71540,71540,44446,44446,836,836,3398,3398,7691,7691,1692,1692,51536,51536,9311,9311
37,1675,1675,7521,7521,13884,13884,7492,7492,44245,44245,52882,52882,12148,12148,18732,18732,83702,83702,58769,58769,34500,34500,30998,30998,25842,25842,51601,51601,24807,24807,41578,41578,41366,41366,15689,15689,12105,12105,56372,56372,62324,62324,128983,128983,2973,2973,71718,71718,45251,45251,767,767,3162,3162,7507,7507,1444,1444,49395,49395,9615,9615
38,1692,1692,7389,7389,13830,13830,7128,7128,44663,44663,52286,52286,11681,11681,19050,19050,82885,82885,65229,65229,32730,32730,30721,30721,25953,25953,50329,50329,25160,25160,42800,42800,41671,41671,15996,15996,12179,12179,57224,57224,61928,61928,130276,130276,3052,3052,72202,72202,45273,45273,821,821,3187,3187,7609,7609,1479,1479,50407,50407,9458,9458
39,1587,1587,7163,7163,13704,13704,7155,7155,44399,44399,51828,51828,11651,11651,19534,19534,83615,83615,77262,77262,32754,32754,30963,30963,26060,26060,49480,49480,24421,24421,42355,42355,41078,41078,16352,16352,12292,12292,55945,55945,62911,62911,133094,133094,2939,2939,72186,72186,45395,45395,749,749,3223,3223,7545,7545,1429,1429,48309,48309,9330,9330
40,1731,1731,7210,7210,13872,13872,7178,7178,43355,43355,52133,52133,11517,11517,18672,18672,83622,83622,91042,91042,32221,32221,30737,30737,26005,26005,49524,49524,24486,24486,41941,41941,40078,40078,17268,17268,11476,11476,55798,55798,62684,62684,134239,134239,3072,3072,72190,72190,46442,46442,862,862,3092,3092,8125,8125,1307,1307,45829,45829,8997,8997
