 ,IntDen1,RawIntDen1,IntDen2,RawIntDen2,IntDen3,RawIntDen3,IntDen4,RawIntDen4,IntDen5,RawIntDen5,IntDen6,RawIntDen6,IntDen7,RawIntDen7,IntDen8,RawIntDen8,IntDen9,RawIntDen9,IntDen10,RawIntDen10,IntDen11,RawIntDen11,IntDen12,RawIntDen12,IntDen13,RawIntDen13,IntDen14,RawIntDen14,IntDen15,RawIntDen15,IntDen16,RawIntDen16,IntDen17,RawIntDen17,IntDen18,RawIntDen18,IntDen19,RawIntDen19,IntDen20,RawIntDen20,IntDen21,RawIntDen21,IntDen22,RawIntDen22,IntDen23,RawIntDen23,IntDen24,RawIntDen24,IntDen25,RawIntDen25,IntDen26,RawIntDen26,IntDen27,RawIntDen27,IntDen28,RawIntDen28,IntDen29,RawIntDen29,IntDen30,RawIntDen30,IntDen31,RawIntDen31,IntDen32,RawIntDen32,IntDen33,RawIntDen33,IntDen34,RawIntDen34,IntDen35,RawIntDen35,IntDen36,RawIntDen36,IntDen37,RawIntDen37,IntDen38,RawIntDen38,IntDen39,RawIntDen39,IntDen40,RawIntDen40,IntDen41,RawIntDen41,IntDen42,RawIntDen42,IntDen43,RawIntDen43,IntDen44,RawIntDen44,IntDen45,RawIntDen45,IntDen46,RawIntDen46,IntDen47,RawIntDen47,IntDen48,RawIntDen48
25,19035,19035,20987,20987,31621,31621,72888,72888,80720,80720,28249,28249,21911,21911,23246,23246,35076,35076,13524,13524,56383,56383,13758,13758,37799,37799,65014,65014,42880,42880,33224,33224,21069,21069,19980,19980,32095,32095,123862,123862,22300,22300,41110,41110,100584,100584,88882,88882,112803,112803,66601,66601,99653,99653,102954,102954,38334,38334,77263,77263,64694,64694,63052,63052,31098,31098,25968,25968,69169,69169,20513,20513,38969,38969,25323,25323,93398,93398,440,440,216,216,169,169,174,174,63,63,162,162,36,36,27402,27402,31498,31498
26,18384,18384,20892,20892,31426,31426,72497,72497,83172,83172,28777,28777,21624,21624,24816,24816,35108,35108,13460,13460,55366,55366,13534,13534,37279,37279,67156,67156,41838,41838,32658,32658,21556,21556,19870,19870,31871,31871,125543,125543,23201,23201,42050,42050,101128,101128,89271,89271,113257,113257,66170,66170,98758,98758,103713,103713,38964,38964,78945,78945,63953,63953,63681,63681,31373,31373,26295,26295,69073,69073,20578,20578,38454,38454,25590,25590,94221,94221,375,375,271,271,155,155,175,175,73,73,178,178,85,85,27178,27178,26595,26595
27,18743,18743,21297,21297,30720,30720,73249,73249,84724,84724,28974,28974,21518,21518,25113,25113,34331,34331,13510,13510,54763,54763,13389,13389,38129,38129,67613,67613,40696,40696,32221,32221,22243,22243,20227,20227,32548,32548,128488,128488,23125,23125,42784,42784,101760,101760,88658,88658,112663,112663,65216,65216,99488,99488,104947,104947,39160,39160,78430,78430,63973,63973,63160,63160,31475,31475,25920,25920,69542,69542,20405,20405,38747,38747,24774,24774,94275,94275,409,409,232,232,127,127,186,186,67,67,186,186,49,49,26724,26724,25805,25805
28,18980,18980,22012,22012,31126,31126,71904,71904,85845,85845,29034,29034,21523,21523,24709,24709,34643,34643,13027,13027,53393,53393,13655,13655,38038,38038,68678,68678,38327,38327,33032,33032,21308,21308,20699,20699,32445,32445,128126,128126,23066,23066,42176,42176,101488,101488,86779,86779,111255,111255,64573,64573,99665,99665,105415,105415,39934,39934,78646,78646,64642,64642,61961,61961,31219,31219,26214,26214,69109,69109,20466,20466,38447,38447,25053,25053,94256,94256,449,449,206,206,188,188,160,160,98,98,169,169,59,59,26753,26753,25496,25496
29,18352,18352,20234,20234,31031,31031,67896,67896,87301,87301,28979,28979,21976,21976,23343,23343,33668,33668,13406,13406,51010,51010,13795,13795,37922,37922,69735,69735,37684,37684,32444,32444,21978,21978,20273,20273,32235,32235,127066,127066,23610,23610,42150,42150,101997,101997,87566,87566,109584,109584,65105,65105,98740,98740,107096,107096,39204,39204,79247,79247,63841,63841,59761,59761,31325,31325,26573,26573,69453,69453,20177,20177,39111,39111,25178,25178,95257,95257,445,445,276,276,182,182,150,150,82,82,163,163,33,33,27180,27180,25545,25545
30,18670,18670,21248,21248,31270,31270,67866,67866,86408,86408,28970,28970,21659,21659,25575,25575,32865,32865,13063,13063,49738,49738,13543,13543,37465,37465,69237,69237,35504,35504,32809,32809,21241,21241,20754,20754,31805,31805,124970,124970,23207,23207,40395,40395,102433,102433,85624,85624,112991,112991,67303,67303,96675,96675,103432,103432,38905,38905,80261,80261,64481,64481,60444,60444,31036,31036,26468,26468,68331,68331,20073,20073,39350,39350,24738,24738,92110,92110,417,417,256,256,152,152,154,154,67,67,194,194,56,56,26781,26781,25754,25754
31,18764,18764,20966,20966,31444,31444,67351,67351,90008,90008,29762,29762,21482,21482,25867,25867,33275,33275,13318,13318,49167,49167,13455,13455,37048,37048,72793,72793,33589,33589,32457,32457,21749,21749,20170,20170,31838,31838,128307,128307,23419,23419,42694,42694,104315,104315,84237,84237,108916,108916,63824,63824,98421,98421,108328,108328,39555,39555,80360,80360,64337,64337,59804,59804,30666,30666,26328,26328,69428,69428,20172,20172,38483,38483,25023,25023,96664,96664,474,474,229,229,161,161,182,182,89,89,195,195,52,52,26691,26691,26191,26191
32,18912,18912,19553,19553,31483,31483,64642,64642,89327,89327,29157,29157,21672,21672,25638,25638,33348,33348,13336,13336,48232,48232,13537,13537,37490,37490,72057,72057,33588,33588,32892,32892,21700,21700,20760,20760,31901,31901,125950,125950,24336,24336,41338,41338,103725,103725,82977,82977,113595,113595,66751,66751,96439,96439,106450,106450,40360,40360,80490,80490,65385,65385,59309,59309,31083,31083,26425,26425,69107,69107,20536,20536,39316,39316,25157,25157,93740,93740,454,454,210,210,177,177,176,176,84,84,210,210,59,59,26653,26653,26275,26275
33,19512,19512,20327,20327,30859,30859,63992,63992,91283,91283,29758,29758,21600,21600,26145,26145,32793,32793,13423,13423,46140,46140,13344,13344,37464,37464,76139,76139,32493,32493,33314,33314,22126,22126,21065,21065,31086,31086,125938,125938,24530,24530,40834,40834,104547,104547,83770,83770,112556,112556,63819,63819,96778,96778,109290,109290,40562,40562,80966,80966,65224,65224,58828,58828,31790,31790,26258,26258,69676,69676,20716,20716,39582,39582,24953,24953,93121,93121,400,400,257,257,160,160,208,208,78,78,232,232,39,39,27873,27873,25726,25726
34,18698,18698,19857,19857,31703,31703,61324,61324,91222,91222,29742,29742,22081,22081,24948,24948,31986,31986,13621,13621,43336,43336,13328,13328,37349,37349,77120,77120,31737,31737,32618,32618,21961,21961,20470,20470,31409,31409,125661,125661,24545,24545,40618,40618,104527,104527,83636,83636,112086,112086,62368,62368,96206,96206,109286,109286,40084,40084,82414,82414,65422,65422,58422,58422,31185,31185,26691,26691,69413,69413,20625,20625,39093,39093,24594,24594,94411,94411,430,430,271,271,227,227,190,190,84,84,212,212,41,41,27354,27354,25974,25974
35,18729,18729,19596,19596,30677,30677,60481,60481,95083,95083,29317,29317,22006,22006,24163,24163,32489,32489,13096,13096,42500,42500,13451,13451,34989,34989,76438,76438,31469,31469,32550,32550,22389,22389,20156,20156,32082,32082,129916,129916,24747,24747,41046,41046,105252,105252,81954,81954,108970,108970,63252,63252,96797,96797,112428,112428,40491,40491,81912,81912,65165,65165,57569,57569,31122,31122,26128,26128,69420,69420,20296,20296,38560,38560,24840,24840,99717,99717,441,441,257,257,142,142,237,237,84,84,168,168,44,44,27052,27052,26181,26181
36,19114,19114,19753,19753,30930,30930,59369,59369,94965,94965,29300,29300,21647,21647,26183,26183,32093,32093,13170,13170,40536,40536,13123,13123,35714,35714,76601,76601,30974,30974,32558,32558,22149,22149,20042,20042,31753,31753,126710,126710,24804,24804,40815,40815,104100,104100,80887,80887,110857,110857,65317,65317,95276,95276,111212,111212,40289,40289,82197,82197,64813,64813,57928,57928,30883,30883,26424,26424,68538,68538,20398,20398,38562,38562,24816,24816,94875,94875,409,409,285,285,159,159,182,182,63,63,215,215,51,51,27406,27406,25888,25888
37,18614,18614,20666,20666,30405,30405,58103,58103,95338,95338,29722,29722,21593,21593,25873,25873,32316,32316,12915,12915,39975,39975,13450,13450,34991,34991,80319,80319,31217,31217,32809,32809,22698,22698,20157,20157,32127,32127,130044,130044,25459,25459,41094,41094,106679,106679,79677,79677,108102,108102,62293,62293,95198,95198,114791,114791,40599,40599,82697,82697,64025,64025,57339,57339,32036,32036,26117,26117,69060,69060,20303,20303,38019,38019,24665,24665,100418,100418,391,391,195,195,159,159,166,166,102,102,217,217,28,28,27488,27488,26226,26226
38,18956,18956,19761,19761,31001,31001,57938,57938,96381,96381,29722,29722,21415,21415,26614,26614,32012,32012,12916,12916,38429,38429,12849,12849,34664,34664,81102,81102,31363,31363,32594,32594,22676,22676,20291,20291,32142,32142,127320,127320,26001,26001,40719,40719,105870,105870,79653,79653,110480,110480,61908,61908,93254,93254,113599,113599,40531,40531,81823,81823,64530,64530,56443,56443,32354,32354,25824,25824,69222,69222,20451,20451,39271,39271,25361,25361,96352,96352,381,381,213,213,206,206,160,160,81,81,161,161,70,70,27343,27343,26076,26076
39,18960,18960,19462,19462,30860,30860,56679,56679,97983,97983,29875,29875,21522,21522,26253,26253,32006,32006,13561,13561,37564,37564,12965,12965,33836,33836,82400,82400,31611,31611,31707,31707,22794,22794,19846,19846,31785,31785,129051,129051,27321,27321,39810,39810,106030,106030,79307,79307,111388,111388,61481,61481,92329,92329,116969,116969,40928,40928,82729,82729,64774,64774,58164,58164,31113,31113,26263,26263,69155,69155,20639,20639,38485,38485,24925,24925,97473,97473,487,487,232,232,237,237,156,156,82,82,175,175,60,60,27345,27345,26357,26357
40,18958,18958,19289,19289,30414,30414,55937,55937,99158,99158,29826,29826,21573,21573,25941,25941,31516,31516,13155,13155,36583,36583,12770,12770,32783,32783,80964,80964,32336,32336,31605,31605,22682,22682,20066,20066,32352,32352,128845,128845,27802,27802,41478,41478,106842,106842,77935,77935,110948,110948,65174,65174,93271,93271,115312,115312,39640,39640,80708,80708,64602,64602,57617,57617,30740,30740,25937,25937,69464,69464,20223,20223,39468,39468,24845,24845,97471,97471,392,392,226,226,131,131,182,182,64,64,166,166,90,90,27879,27879,26088,26088
