 ,IntDen1,RawIntDen1,IntDen2,RawIntDen2,IntDen3,RawIntDen3,IntDen4,RawIntDen4,IntDen5,RawIntDen5,IntDen6,RawIntDen6,IntDen7,RawIntDen7,IntDen8,RawIntDen8,IntDen9,RawIntDen9,IntDen10,RawIntDen10,IntDen11,RawIntDen11,IntDen12,RawIntDen12,IntDen13,RawIntDen13,IntDen14,RawIntDen14,IntDen15,RawIntDen15,IntDen16,RawIntDen16,IntDen17,RawIntDen17,IntDen18,RawIntDen18,IntDen19,RawIntDen19,IntDen20,RawIntDen20,IntDen21,RawIntDen21,IntDen22,RawIntDen22,IntDen23,RawIntDen23,IntDen24,RawIntDen24,IntDen25,RawIntDen25,IntDen26,RawIntDen26,IntDen27,RawIntDen27,IntDen28,RawIntDen28,IntDen29,RawIntDen29,IntDen30,RawIntDen30,IntDen31,RawIntDen31,IntDen32,RawIntDen32,IntDen33,RawIntDen33,IntDen34,RawIntDen34,IntDen35,RawIntDen35,IntDen36,RawIntDen36,IntDen37,RawIntDen37,IntDen38,RawIntDen38,IntDen39,RawIntDen39,IntDen40,RawIntDen40,IntDen41,RawIntDen41,IntDen42,RawIntDen42,IntDen43,RawIntDen43,IntDen44,RawIntDen44,IntDen45,RawIntDen45,IntDen46,RawIntDen46,IntDen47,RawIntDen47,IntDen48,RawIntDen48,IntDen49,RawIntDen49,IntDen50,RawIntDen50,IntDen51,RawIntDen51,IntDen52,RawIntDen52,IntDen53,RawIntDen53,IntDen54,RawIntDen54,IntDen55,RawIntDen55,IntDen56,RawIntDen56,IntDen57,RawIntDen57,IntDen58,RawIntDen58,IntDen59,RawIntDen59,IntDen60,RawIntDen60,IntDen61,RawIntDen61,IntDen62,RawIntDen62,IntDen63,RawIntDen63,IntDen64,RawIntDen64,IntDen65,RawIntDen65,IntDen66,RawIntDen66,IntDen67,RawIntDen67,IntDen68,RawIntDen68,IntDen69,RawIntDen69,IntDen70,RawIntDen70,IntDen71,RawIntDen71,IntDen72,RawIntDen72,IntDen73,RawIntDen73,IntDen74,RawIntDen74,IntDen75,RawIntDen75,IntDen76,RawIntDen76,IntDen77,RawIntDen77,IntDen78,RawIntDen78,IntDen79,RawIntDen79,IntDen80,RawIntDen80,IntDen81,RawIntDen81,IntDen82,RawIntDen82,IntDen83,RawIntDen83,IntDen84,RawIntDen84,IntDen85,RawIntDen85,IntDen86,RawIntDen86,IntDen87,RawIntDen87,IntDen88,RawIntDen88,IntDen89,RawIntDen89,IntDen90,RawIntDen90,IntDen91,RawIntDen91
12,5890,5890,32785,32785,29591,29591,13032,13032,14366,14366,17089,17089,30690,30690,26920,26920,15410,15410,29590,29590,10937,10937,19099,19099,10971,10971,46874,46874,19509,19509,37877,37877,26200,26200,26630,26630,34341,34341,32887,32887,19665,19665,23879,23879,22521,22521,10114,10114,50312,50312,23201,23201,19804,19804,17037,17037,22313,22313,13297,13297,26194,26194,33282,33282,1980,1980,2876,2876,35028,35028,15234,15234,10934,10934,32015,32015,22761,22761,11394,11394,17963,17963,38589,38589,11066,11066,9112,9112,6109,6109,9238,9238,9003,9003,12157,12157,4698,4698,16075,16075,0,0,12083,12083,21162,21162,20223,20223,11457,11457,11331,11331,16280,16280,20923,20923,9187,9187,10645,10645,10646,10646,15135,15135,10639,10639,37199,37199,19856,19856,20703,20703,3790,3790,2636,2636,9345,9345,2374,2374,23710,23710,11167,11167,11435,11435,9684,9684,17347,17347,3177,3177,17698,17698,3403,3403,2805,2805,2674,2674,6533,6533,20228,20228,8425,8425,3084,3084,3492,3492,4304,4304,2522,2522,1575,1575,4713,4713,2156,2156,6806,6806
13,6149,6149,33231,33231,30304,30304,12162,12162,14923,14923,18334,18334,30492,30492,27102,27102,15592,15592,30709,30709,11197,11197,19422,19422,10934,10934,48284,48284,19355,19355,38824,38824,26212,26212,27080,27080,35800,35800,31934,31934,21333,21333,24336,24336,22734,22734,10325,10325,56972,56972,23197,23197,20259,20259,17243,17243,24018,24018,13525,13525,25991,25991,33719,33719,1995,1995,2666,2666,35164,35164,15206,15206,10923,10923,32274,32274,23045,23045,11471,11471,18618,18618,38370,38370,11052,11052,8993,8993,6295,6295,9483,9483,9138,9138,12582,12582,4600,4600,16113,16113,0,0,12014,12014,21575,21575,20706,20706,11201,11201,11684,11684,16077,16077,21443,21443,9158,9158,11024,11024,10811,10811,15786,15786,10496,10496,37737,37737,19788,19788,20887,20887,4296,4296,2677,2677,9388,9388,2627,2627,23563,23563,11084,11084,11531,11531,9524,9524,17401,17401,3346,3346,17186,17186,3431,3431,2848,2848,2786,2786,6529,6529,20627,20627,8106,8106,3061,3061,3838,3838,4105,4105,2547,2547,1639,1639,4798,4798,2142,2142,7396,7396
14,6463,6463,33902,33902,31436,31436,11212,11212,15152,15152,17635,17635,31688,31688,26940,26940,15426,15426,30641,30641,11347,11347,19466,19466,11313,11313,48174,48174,19854,19854,40027,40027,26496,26496,27597,27597,34681,34681,31124,31124,22977,22977,24108,24108,23266,23266,10737,10737,61586,61586,22886,22886,20067,20067,17163,17163,26064,26064,13690,13690,27076,27076,35130,35130,2074,2074,2733,2733,36240,36240,15359,15359,10886,10886,32912,32912,23117,23117,11466,11466,18460,18460,39162,39162,11200,11200,9596,9596,6223,6223,9391,9391,8922,8922,12820,12820,4760,4760,15752,15752,0,0,12349,12349,21635,21635,20417,20417,11172,11172,12457,12457,16633,16633,20747,20747,8992,8992,11509,11509,10907,10907,16003,16003,10712,10712,38461,38461,19932,19932,20934,20934,4060,4060,2675,2675,9527,9527,2496,2496,23905,23905,11127,11127,11321,11321,9757,9757,17712,17712,4032,4032,17420,17420,3708,3708,2896,2896,2697,2697,6480,6480,21293,21293,8558,8558,3390,3390,3393,3393,4466,4466,2518,2518,1731,1731,4765,4765,2347,2347,7439,7439
15,5905,5905,35036,35036,32491,32491,11757,11757,15353,15353,17767,17767,31740,31740,28440,28440,15789,15789,30552,30552,11197,11197,20024,20024,11053,11053,47780,47780,19332,19332,40071,40071,26856,26856,28665,28665,34941,34941,30390,30390,23860,23860,24688,24688,23324,23324,10556,10556,63615,63615,23345,23345,20818,20818,17536,17536,28418,28418,13384,13384,27980,27980,34492,34492,2105,2105,2927,2927,36017,36017,15588,15588,11142,11142,33367,33367,23199,23199,12017,12017,18770,18770,39215,39215,10914,10914,9317,9317,6575,6575,9463,9463,9037,9037,12580,12580,4548,4548,15670,15670,0,0,12545,12545,21138,21138,21624,21624,11760,11760,12754,12754,16954,16954,20842,20842,8919,8919,12398,12398,10665,10665,15690,15690,10561,10561,38498,38498,19811,19811,20826,20826,4109,4109,2574,2574,9482,9482,2584,2584,23326,23326,11268,11268,11694,11694,9540,9540,17376,17376,4153,4153,17772,17772,3795,3795,2920,2920,2824,2824,6732,6732,21174,21174,8447,8447,3132,3132,3586,3586,4197,4197,2579,2579,1583,1583,4617,4617,2246,2246,7745,7745
16,6249,6249,34302,34302,36712,36712,11632,11632,15633,15633,17681,17681,31498,31498,27893,27893,15834,15834,30813,30813,11559,11559,20187,20187,11266,11266,48482,48482,19376,19376,39653,39653,27101,27101,28531,28531,34293,34293,29099,29099,25054,25054,24353,24353,22909,22909,10745,10745,65422,65422,22949,22949,20776,20776,17176,17176,34632,34632,13478,13478,28902,28902,35180,35180,2132,2132,2667,2667,35783,35783,15154,15154,10766,10766,34102,34102,23768,23768,11870,11870,18439,18439,39105,39105,11155,11155,9112,9112,6667,6667,9750,9750,9439,9439,12755,12755,4645,4645,15781,15781,0,0,12373,12373,22411,22411,21701,21701,11489,11489,13465,13465,16830,16830,21230,21230,9028,9028,12518,12518,10750,10750,16109,16109,10541,10541,39962,39962,19438,19438,21038,21038,3994,3994,2741,2741,9631,9631,2532,2532,23929,23929,11250,11250,11905,11905,9564,9564,17836,17836,4312,4312,18137,18137,3443,3443,2915,2915,2656,2656,6802,6802,21731,21731,8529,8529,3321,3321,3708,3708,4150,4150,2609,2609,1650,1650,4544,4544,2410,2410,7369,7369
17,6148,6148,34455,34455,36666,36666,11507,11507,15185,15185,17927,17927,31812,31812,28815,28815,15646,15646,30717,30717,11085,11085,20644,20644,11136,11136,48841,48841,19643,19643,40375,40375,27353,27353,28956,28956,35007,35007,28365,28365,26037,26037,24853,24853,22704,22704,10937,10937,64724,64724,23179,23179,21072,21072,16928,16928,46140,46140,13787,13787,30345,30345,35942,35942,2166,2166,2819,2819,36461,36461,15328,15328,10975,10975,34601,34601,23915,23915,11828,11828,18556,18556,39472,39472,11192,11192,9178,9178,7116,7116,9546,9546,9750,9750,13262,13262,4719,4719,15963,15963,0,0,12063,12063,22113,22113,21410,21410,11352,11352,13165,13165,16706,16706,21055,21055,9124,9124,12695,12695,11357,11357,15971,15971,10617,10617,41651,41651,20053,20053,21419,21419,4320,4320,2826,2826,10012,10012,2392,2392,23521,23521,11599,11599,11441,11441,9796,9796,18086,18086,4768,4768,18054,18054,3596,3596,3068,3068,2716,2716,6645,6645,21778,21778,8910,8910,3288,3288,3614,3614,4208,4208,2500,2500,1595,1595,4681,4681,2270,2270,7500,7500
18,6331,6331,34849,34849,32104,32104,11637,11637,15491,15491,18200,18200,31806,31806,28579,28579,15679,15679,30910,30910,11510,11510,20920,20920,11133,11133,48365,48365,19512,19512,42339,42339,26961,26961,29254,29254,34583,34583,27642,27642,27264,27264,24296,24296,23310,23310,11690,11690,64958,64958,22871,22871,21107,21107,17127,17127,60235,60235,13778,13778,33147,33147,36800,36800,2091,2091,2744,2744,36254,36254,15381,15381,11173,11173,35141,35141,23707,23707,11941,11941,19136,19136,39055,39055,11410,11410,8973,8973,7339,7339,9603,9603,9804,9804,12885,12885,4967,4967,15899,15899,0,0,12283,12283,22397,22397,21936,21936,11717,11717,13917,13917,16623,16623,20897,20897,9505,9505,12603,12603,11156,11156,15886,15886,10925,10925,41895,41895,19513,19513,21049,21049,4117,4117,2665,2665,9767,9767,2614,2614,23872,23872,11082,11082,11630,11630,9674,9674,17967,17967,4751,4751,18275,18275,3654,3654,2901,2901,2773,2773,6938,6938,21679,21679,8536,8536,3286,3286,3619,3619,4221,4221,2461,2461,1735,1735,4612,4612,2333,2333,7546,7546
19,6286,6286,34465,34465,32327,32327,11347,11347,15429,15429,17642,17642,32039,32039,28882,28882,15577,15577,30648,30648,11228,11228,20985,20985,11109,11109,48594,48594,19725,19725,43257,43257,26879,26879,29006,29006,34740,34740,27594,27594,27478,27478,23847,23847,23031,23031,12142,12142,64358,64358,23106,23106,20688,20688,17145,17145,67630,67630,13463,13463,34743,34743,36035,36035,2151,2151,2809,2809,35821,35821,15497,15497,11148,11148,35838,35838,23402,23402,11819,11819,18405,18405,39233,39233,11138,11138,9654,9654,7401,7401,10024,10024,10343,10343,12551,12551,4555,4555,16030,16030,0,0,12431,12431,22374,22374,22322,22322,11725,11725,13671,13671,16859,16859,21539,21539,9623,9623,12986,12986,10918,10918,16299,16299,10713,10713,43045,43045,19700,19700,21107,21107,4363,4363,2684,2684,9456,9456,2686,2686,24074,24074,11333,11333,11700,11700,9456,9456,18221,18221,4835,4835,18779,18779,3573,3573,3049,3049,2858,2858,6963,6963,21384,21384,8592,8592,2958,2958,3696,3696,4112,4112,2494,2494,1622,1622,4787,4787,2316,2316,7084,7084
20,6543,6543,35210,35210,32303,32303,12090,12090,15695,15695,17896,17896,32361,32361,29542,29542,15909,15909,30968,30968,11481,11481,21018,21018,10800,10800,48766,48766,19477,19477,42853,42853,27019,27019,28911,28911,34290,34290,27413,27413,28365,28365,23519,23519,22629,22629,12336,12336,64483,64483,22991,22991,20789,20789,16898,16898,69862,69862,13409,13409,35417,35417,36962,36962,2072,2072,2698,2698,36494,36494,15628,15628,10894,10894,36850,36850,23809,23809,11957,11957,18713,18713,39189,39189,11108,11108,9091,9091,7759,7759,9370,9370,10992,10992,12453,12453,4596,4596,16362,16362,0,0,12565,12565,22769,22769,22704,22704,11517,11517,14318,14318,16838,16838,21738,21738,9429,9429,12553,12553,10930,10930,15867,15867,10677,10677,44789,44789,20125,20125,21296,21296,4074,4074,2723,2723,9843,9843,2567,2567,23896,23896,11177,11177,12040,12040,9867,9867,18106,18106,5021,5021,18420,18420,3655,3655,2874,2874,2766,2766,6566,6566,22160,22160,8551,8551,3241,3241,3602,3602,4201,4201,2528,2528,1768,1768,4549,4549,2319,2319,7487,7487
21,6390,6390,35115,35115,32587,32587,12360,12360,15769,15769,17867,17867,32717,32717,28942,28942,15203,15203,30529,30529,11151,11151,21378,21378,11004,11004,48760,48760,19508,19508,42723,42723,27256,27256,29832,29832,34568,34568,26504,26504,28546,28546,23536,23536,23535,23535,12435,12435,64589,64589,22631,22631,21213,21213,18012,18012,71560,71560,13512,13512,35819,35819,36434,36434,2052,2052,2702,2702,36746,36746,15262,15262,11483,11483,38636,38636,23253,23253,12258,12258,19128,19128,39919,39919,11248,11248,9300,9300,8220,8220,9832,9832,11772,11772,12879,12879,4580,4580,16276,16276,0,0,12470,12470,23627,23627,22752,22752,11535,11535,14370,14370,16665,16665,21671,21671,9885,9885,12851,12851,10928,10928,15639,15639,10801,10801,45485,45485,20060,20060,21013,21013,4054,4054,2851,2851,9688,9688,2744,2744,24259,24259,11265,11265,12028,12028,10090,10090,18098,18098,4903,4903,18328,18328,3706,3706,3045,3045,2747,2747,6656,6656,22256,22256,8434,8434,3181,3181,3553,3553,4275,4275,2561,2561,1646,1646,4659,4659,2293,2293,7018,7018
