 ,IntDen1,RawIntDen1
1,28462260,28462260
2,28788900,28788900
3,29047320,29047320
4,29350300,29350300
5,29679296,29679296
6,30005100,30005100
7,30344896,30344896
8,30637580,30637580
9,30736924,30736924
10,30748004,30748004
11,30814312,30814312
12,30786092,30786092
13,30887868,30887868
14,30908342,30908342
15,30875712,30875712
16,30902240,30902240
17,30937616,30937616
18,30951176,30951176
19,30951302,30951302
20,30901084,30901084
21,30872604,30872604
22,30910056,30910056
23,30869184,30869184
24,30814660,30814660
25,30685398,30685398
26,30605848,30605848
27,30564800,30564800
28,30445336,30445336
29,30333992,30333992
30,30295752,30295752
31,30158408,30158408
32,30144388,30144388
33,29971740,29971740
34,30013920,30013920
35,30049008,30049008
36,30008260,30008260
37,29942316,29942316
38,29995448,29995448
39,30084628,30084628
40,30055124,30055124
