 ,IntDen1,RawIntDen1,IntDen2,RawIntDen2,IntDen3,RawIntDen3,IntDen4,RawIntDen4,IntDen5,RawIntDen5,IntDen6,RawIntDen6,IntDen7,RawIntDen7,IntDen8,RawIntDen8,IntDen9,RawIntDen9,IntDen10,RawIntDen10,IntDen11,RawIntDen11,IntDen12,RawIntDen12,IntDen13,RawIntDen13,IntDen14,RawIntDen14,IntDen15,RawIntDen15,IntDen16,RawIntDen16,IntDen17,RawIntDen17,IntDen18,RawIntDen18,IntDen19,RawIntDen19,IntDen20,RawIntDen20,IntDen21,RawIntDen21,IntDen22,RawIntDen22,IntDen23,RawIntDen23,IntDen24,RawIntDen24,IntDen25,RawIntDen25,IntDen26,RawIntDen26,IntDen27,RawIntDen27,IntDen28,RawIntDen28,IntDen29,RawIntDen29,IntDen30,RawIntDen30,IntDen31,RawIntDen31,IntDen32,RawIntDen32,IntDen33,RawIntDen33,IntDen34,RawIntDen34,IntDen35,RawIntDen35,IntDen36,RawIntDen36,IntDen37,RawIntDen37,IntDen38,RawIntDen38,IntDen39,RawIntDen39,IntDen40,RawIntDen40,IntDen41,RawIntDen41,IntDen42,RawIntDen42,IntDen43,RawIntDen43,IntDen44,RawIntDen44,IntDen45,RawIntDen45,IntDen46,RawIntDen46,IntDen47,RawIntDen47,IntDen48,RawIntDen48,IntDen49,RawIntDen49,IntDen50,RawIntDen50,IntDen51,RawIntDen51,IntDen52,RawIntDen52,IntDen53,RawIntDen53,IntDen54,RawIntDen54,IntDen55,RawIntDen55,IntDen56,RawIntDen56,IntDen57,RawIntDen57,IntDen58,RawIntDen58,IntDen59,RawIntDen59,IntDen60,RawIntDen60,IntDen61,RawIntDen61,IntDen62,RawIntDen62,IntDen63,RawIntDen63,IntDen64,RawIntDen64,IntDen65,RawIntDen65,IntDen66,RawIntDen66,IntDen67,RawIntDen67,IntDen68,RawIntDen68,IntDen69,RawIntDen69,IntDen70,RawIntDen70,IntDen71,RawIntDen71,IntDen72,RawIntDen72,IntDen73,RawIntDen73,IntDen74,RawIntDen74,IntDen75,RawIntDen75,IntDen76,RawIntDen76,IntDen77,RawIntDen77,IntDen78,RawIntDen78,IntDen79,RawIntDen79,IntDen80,RawIntDen80,IntDen81,RawIntDen81,IntDen82,RawIntDen82,IntDen83,RawIntDen83,IntDen84,RawIntDen84,IntDen85,RawIntDen85,IntDen86,RawIntDen86,IntDen87,RawIntDen87,IntDen88,RawIntDen88
11,22258,22258,38070,38070,36653,36653,42415,42415,44783,44783,84984,84984,51839,51839,23389,23389,4096,4096,11027,11027,11535,11535,47936,47936,19073,19073,47206,47206,6468,6468,13394,13394,27363,27363,109522,109522,4892,4892,13304,13304,13522,13522,59911,59911,30361,30361,10724,10724,84668,84668,38718,38718,27575,27575,70551,70551,2427,2427,14457,14457,3223,3223,15066,15066,70040,70040,65925,65925,14707,14707,20311,20311,682,682,9731,9731,52497,52497,25919,25919,52000,52000,20254,20254,22697,22697,8446,8446,23036,23036,55359,55359,16706,16706,21006,21006,40569,40569,15765,15765,24044,24044,31500,31500,10573,10573,11174,11174,31862,31862,26399,26399,49793,49793,52871,52871,72394,72394,19299,19299,68237,68237,37162,37162,28938,28938,28297,28297,15926,15926,67285,67285,17754,17754,45268,45268,44074,44074,23345,23345,24309,24309,672,672,39904,39904,16880,16880,22381,22381,23456,23456,16857,16857,13643,13643,14614,14614,14413,14413,25483,25483,6819,6819,57065,57065,19752,19752,11950,11950,27770,27770,19388,19388,13745,13745
12,22949,22949,39992,39992,37332,37332,42438,42438,47099,47099,85248,85248,49894,49894,23197,23197,4364,4364,10885,10885,11838,11838,47168,47168,20064,20064,47995,47995,6833,6833,13942,13942,26586,26586,109220,109220,4824,4824,13763,13763,13813,13813,60339,60339,28948,28948,10243,10243,86728,86728,38183,38183,27998,27998,74416,74416,2503,2503,14558,14558,3125,3125,15625,15625,73352,73352,68518,68518,15064,15064,20824,20824,778,778,10064,10064,55041,55041,26471,26471,53041,53041,20485,20485,23472,23472,9054,9054,23957,23957,57004,57004,17922,17922,21638,21638,42713,42713,16058,16058,24018,24018,32686,32686,10243,10243,10115,10115,32278,32278,26544,26544,50943,50943,53880,53880,73842,73842,19869,19869,68251,68251,39195,39195,29788,29788,29165,29165,16151,16151,71659,71659,17828,17828,47541,47541,44819,44819,22742,22742,24817,24817,663,663,41438,41438,15184,15184,21615,21615,24369,24369,17478,17478,13290,13290,13755,13755,14036,14036,25403,25403,6930,6930,58305,58305,18945,18945,11717,11717,28052,28052,17885,17885,13383,13383
13,23151,23151,39807,39807,36581,36581,40752,40752,47292,47292,88033,88033,52087,52087,23474,23474,4193,4193,11533,11533,12015,12015,47393,47393,19962,19962,48088,48088,6903,6903,13762,13762,28414,28414,108876,108876,5007,5007,13965,13965,14301,14301,59833,59833,29686,29686,10109,10109,88756,88756,40083,40083,27885,27885,71309,71309,2454,2454,14851,14851,3222,3222,15672,15672,70739,70739,68124,68124,13802,13802,20951,20951,787,787,9558,9558,54116,54116,26635,26635,52802,52802,20843,20843,22608,22608,9264,9264,24050,24050,56397,56397,17584,17584,21517,21517,42659,42659,15950,15950,23468,23468,32241,32241,10738,10738,10715,10715,32235,32235,27422,27422,50877,50877,54372,54372,74225,74225,19886,19886,68764,68764,37978,37978,29073,29073,29525,29525,16663,16663,70858,70858,17448,17448,47203,47203,44656,44656,25823,25823,24669,24669,714,714,41711,41711,15783,15783,21658,21658,24256,24256,17670,17670,13132,13132,13923,13923,14870,14870,26337,26337,7118,7118,59265,59265,19881,19881,12052,12052,27397,27397,18361,18361,13458,13458
14,22848,22848,39617,39617,35736,35736,37514,37514,47396,47396,87956,87956,52648,52648,22841,22841,4070,4070,11158,11158,11484,11484,45962,45962,20003,20003,48165,48165,6777,6777,13484,13484,28921,28921,109360,109360,4896,4896,14006,14006,14126,14126,60349,60349,29748,29748,9888,9888,87481,87481,37843,37843,28038,28038,71028,71028,2516,2516,15092,15092,3177,3177,15132,15132,69796,69796,68580,68580,14333,14333,18893,18893,797,797,9849,9849,53783,53783,27649,27649,51135,51135,20346,20346,22842,22842,9373,9373,23314,23314,56430,56430,17623,17623,21918,21918,41647,41647,16022,16022,23161,23161,31798,31798,10520,10520,10522,10522,32092,32092,27390,27390,50853,50853,54852,54852,73475,73475,19469,19469,67174,67174,38784,38784,29334,29334,29111,29111,16207,16207,70743,70743,18431,18431,47363,47363,44643,44643,28138,28138,25209,25209,743,743,40678,40678,16205,16205,22057,22057,24610,24610,17302,17302,13056,13056,14347,14347,14556,14556,26979,26979,6962,6962,58737,58737,19523,19523,12674,12674,28255,28255,19105,19105,13415,13415
15,23150,23150,40609,40609,36378,36378,34927,34927,47349,47349,87733,87733,53554,53554,22840,22840,4192,4192,12183,12183,11543,11543,46462,46462,20422,20422,47313,47313,6654,6654,13566,13566,30077,30077,109826,109826,4884,4884,14213,14213,13861,13861,60870,60870,29802,29802,10905,10905,87659,87659,38425,38425,27708,27708,72822,72822,2371,2371,14754,14754,3214,3214,15618,15618,71639,71639,68406,68406,14241,14241,19667,19667,773,773,9841,9841,53616,53616,27263,27263,51632,51632,21029,21029,22552,22552,8955,8955,23978,23978,56167,56167,18056,18056,21559,21559,42371,42371,15629,15629,23391,23391,32066,32066,10520,10520,10449,10449,31886,31886,27701,27701,50179,50179,54709,54709,73251,73251,19129,19129,67800,67800,40721,40721,30009,30009,28994,28994,15929,15929,71569,71569,18723,18723,47250,47250,44765,44765,30697,30697,24997,24997,736,736,41164,41164,16700,16700,22158,22158,24462,24462,17542,17542,13057,13057,14703,14703,14677,14677,26850,26850,6938,6938,59574,59574,20158,20158,12746,12746,28214,28214,19242,19242,13663,13663
16,23593,23593,39650,39650,37233,37233,31290,31290,48121,48121,88475,88475,54248,54248,23068,23068,3889,3889,11590,11590,11733,11733,45855,45855,20692,20692,48309,48309,6696,6696,13648,13648,29906,29906,110421,110421,4855,4855,14283,14283,13831,13831,60528,60528,29768,29768,10066,10066,85721,85721,36593,36593,28333,28333,72934,72934,2477,2477,14720,14720,3273,3273,15370,15370,71454,71454,68633,68633,14279,14279,18109,18109,760,760,9947,9947,54468,54468,27269,27269,51563,51563,21258,21258,23255,23255,9426,9426,24136,24136,56045,56045,17625,17625,21318,21318,43162,43162,15552,15552,23833,23833,32140,32140,10511,10511,10737,10737,32204,32204,27279,27279,50812,50812,53765,53765,73788,73788,19093,19093,68338,68338,42203,42203,29643,29643,28899,28899,16479,16479,71030,71030,18724,18724,47000,47000,44466,44466,31940,31940,24292,24292,730,730,41323,41323,17010,17010,22637,22637,24418,24418,17947,17947,12534,12534,14519,14519,14571,14571,27319,27319,6915,6915,59892,59892,19650,19650,12829,12829,28258,28258,19057,19057,13695,13695
17,22886,22886,40042,40042,36729,36729,32563,32563,48284,48284,89126,89126,54450,54450,22940,22940,4425,4425,11314,11314,11807,11807,46678,46678,20471,20471,47757,47757,6491,6491,13856,13856,30713,30713,109684,109684,4888,4888,14673,14673,14247,14247,61747,61747,29747,29747,10266,10266,89734,89734,35972,35972,28474,28474,76137,76137,2283,2283,14441,14441,3080,3080,15035,15035,71806,71806,68506,68506,15505,15505,18520,18520,751,751,9778,9778,54192,54192,27768,27768,51642,51642,22107,22107,24131,24131,9321,9321,24742,24742,55243,55243,17461,17461,21328,21328,44241,44241,15317,15317,23996,23996,31872,31872,10302,10302,10890,10890,32003,32003,26741,26741,51044,51044,53193,53193,73218,73218,19807,19807,65955,65955,46600,46600,31857,31857,28865,28865,16211,16211,71331,71331,18478,18478,47267,47267,44349,44349,33369,33369,24467,24467,730,730,41358,41358,17015,17015,22756,22756,25100,25100,17792,17792,12590,12590,14427,14427,14624,14624,26965,26965,6744,6744,59395,59395,19729,19729,13041,13041,27914,27914,19403,19403,13843,13843
18,23222,23222,39988,39988,36753,36753,30938,30938,47576,47576,89330,89330,54025,54025,23015,23015,5262,5262,11679,11679,12329,12329,46562,46562,20456,20456,47869,47869,6607,6607,13337,13337,31120,31120,110753,110753,4977,4977,14905,14905,14733,14733,61877,61877,30182,30182,10980,10980,86307,86307,43376,43376,28656,28656,86177,86177,2369,2369,14686,14686,3105,3105,15567,15567,71463,71463,67548,67548,16987,16987,18214,18214,820,820,9977,9977,53923,53923,27388,27388,51908,51908,22589,22589,27050,27050,9191,9191,24848,24848,56487,56487,18055,18055,21318,21318,49951,49951,15695,15695,25850,25850,31950,31950,10661,10661,10943,10943,32404,32404,27013,27013,50110,50110,55025,55025,73674,73674,22202,22202,66263,66263,49991,49991,31613,31613,29359,29359,15969,15969,73835,73835,18343,18343,47761,47761,45199,45199,35436,35436,24849,24849,838,838,41997,41997,17279,17279,22498,22498,24456,24456,17989,17989,11918,11918,14383,14383,14529,14529,27340,27340,6584,6584,59333,59333,20023,20023,12708,12708,27706,27706,19308,19308,13943,13943
19,22736,22736,40670,40670,37183,37183,31611,31611,47153,47153,86443,86443,54790,54790,22224,22224,5479,5479,11415,11415,12269,12269,44960,44960,20641,20641,47841,47841,6548,6548,14075,14075,29132,29132,110093,110093,4776,4776,15008,15008,14312,14312,61145,61145,30293,30293,11755,11755,85688,85688,35173,35173,29205,29205,94672,94672,2483,2483,14232,14232,3296,3296,15646,15646,72290,72290,66485,66485,19306,19306,18551,18551,747,747,10648,10648,55213,55213,27555,27555,52326,52326,23852,23852,27725,27725,9495,9495,25171,25171,55337,55337,17818,17818,21423,21423,50625,50625,16056,16056,27235,27235,31982,31982,11225,11225,11298,11298,32398,32398,27090,27090,50945,50945,54280,54280,73232,73232,24967,24967,66271,66271,51084,51084,31982,31982,30352,30352,16472,16472,80043,80043,18563,18563,47542,47542,46493,46493,37044,37044,25316,25316,683,683,41373,41373,17758,17758,22596,22596,25056,25056,17902,17902,11984,11984,14730,14730,14606,14606,27444,27444,7010,7010,59174,59174,19856,19856,13106,13106,27954,27954,19526,19526,14096,14096
20,23085,23085,39703,39703,37423,37423,29942,29942,47424,47424,87126,87126,56172,56172,22829,22829,7777,7777,11256,11256,11726,11726,45654,45654,21346,21346,47795,47795,6820,6820,13663,13663,28494,28494,110768,110768,4988,4988,14800,14800,14376,14376,61035,61035,29702,29702,10750,10750,85800,85800,35554,35554,28840,28840,112757,112757,2263,2263,14859,14859,3187,3187,15858,15858,70345,70345,66483,66483,34557,34557,18552,18552,823,823,10675,10675,54965,54965,27242,27242,51105,51105,24767,24767,24842,24842,9155,9155,24932,24932,55227,55227,17986,17986,21329,21329,47945,47945,15635,15635,28733,28733,32758,32758,11097,11097,11298,11298,31812,31812,27236,27236,50201,50201,53805,53805,73418,73418,23321,23321,66015,66015,50788,50788,31254,31254,29226,29226,16005,16005,84171,84171,18355,18355,48660,48660,45777,45777,37533,37533,26111,26111,688,688,40959,40959,18405,18405,23414,23414,24528,24528,17862,17862,11911,11911,15193,15193,15178,15178,27756,27756,6993,6993,59999,59999,20643,20643,13214,13214,28633,28633,20331,20331,14327,14327
