 ,IntDen1,RawIntDen1,IntDen2,RawIntDen2,IntDen3,RawIntDen3,IntDen4,RawIntDen4,IntDen5,RawIntDen5,IntDen6,RawIntDen6,IntDen7,RawIntDen7,IntDen8,RawIntDen8,IntDen9,RawIntDen9,IntDen10,RawIntDen10,IntDen11,RawIntDen11,IntDen12,RawIntDen12,IntDen13,RawIntDen13,IntDen14,RawIntDen14,IntDen15,RawIntDen15,IntDen16,RawIntDen16,IntDen17,RawIntDen17,IntDen18,RawIntDen18,IntDen19,RawIntDen19,IntDen20,RawIntDen20,IntDen21,RawIntDen21,IntDen22,RawIntDen22,IntDen23,RawIntDen23,IntDen24,RawIntDen24,IntDen25,RawIntDen25,IntDen26,RawIntDen26,IntDen27,RawIntDen27,IntDen28,RawIntDen28,IntDen29,RawIntDen29,IntDen30,RawIntDen30,IntDen31,RawIntDen31,IntDen32,RawIntDen32,IntDen33,RawIntDen33,IntDen34,RawIntDen34,IntDen35,RawIntDen35,IntDen36,RawIntDen36,IntDen37,RawIntDen37,IntDen38,RawIntDen38,IntDen39,RawIntDen39,IntDen40,RawIntDen40,IntDen41,RawIntDen41,IntDen42,RawIntDen42,IntDen43,RawIntDen43,IntDen44,RawIntDen44,IntDen45,RawIntDen45,IntDen46,RawIntDen46,IntDen47,RawIntDen47,IntDen48,RawIntDen48,IntDen49,RawIntDen49,IntDen50,RawIntDen50,IntDen51,RawIntDen51,IntDen52,RawIntDen52,IntDen53,RawIntDen53,IntDen54,RawIntDen54,IntDen55,RawIntDen55,IntDen56,RawIntDen56,IntDen57,RawIntDen57,IntDen58,RawIntDen58,IntDen59,RawIntDen59,IntDen60,RawIntDen60,IntDen61,RawIntDen61,IntDen62,RawIntDen62,IntDen63,RawIntDen63,IntDen64,RawIntDen64,IntDen65,RawIntDen65,IntDen66,RawIntDen66
11,14253,14253,17474,17474,6076,6076,20501,20501,2727,2727,11886,11886,12381,12381,18843,18843,42308,42308,53366,53366,7421,7421,22274,22274,15876,15876,31852,31852,72358,72358,92201,92201,30019,30019,24388,24388,64544,64544,15929,15929,13852,13852,14218,14218,41723,41723,49263,49263,51017,51017,37962,37962,47696,47696,4838,4838,42537,42537,190652,190652,68936,68936,165513,165513,85550,85550,26068,26068,175636,175636,5276,5276,23276,23276,37732,37732,6869,6869,21436,21436,52848,52848,10664,10664,16525,16525,9918,9918,10498,10498,17664,17664,23048,23048,76882,76882,741,741,49902,49902,10074,10074,22984,22984,9308,9308,9298,9298,18686,18686,9696,9696,14850,14850,8624,8624,17598,17598,19155,19155,4143,4143,6381,6381,22139,22139,7330,7330,6651,6651,1655,1655
12,12733,12733,15235,15235,6198,6198,19635,19635,2454,2454,11410,11410,12633,12633,19134,19134,44289,44289,55444,55444,7259,7259,22326,22326,12123,12123,29741,29741,53126,53126,67335,67335,30206,30206,22833,22833,62470,62470,13690,13690,14418,14418,13730,13730,41989,41989,27696,27696,31356,31356,24823,24823,49186,49186,4863,4863,26164,26164,169596,169596,59487,59487,119321,119321,55374,55374,21334,21334,150088,150088,5428,5428,20493,20493,26300,26300,6182,6182,15015,15015,52304,52304,9958,9958,16884,16884,9842,9842,10415,10415,17645,17645,21704,21704,77948,77948,829,829,45526,45526,10054,10054,22592,22592,9070,9070,9291,9291,18766,18766,10026,10026,13231,13231,8626,8626,18113,18113,18126,18126,4501,4501,5737,5737,18698,18698,7652,7652,6147,6147,673,673
13,11902,11902,14852,14852,6038,6038,19879,19879,2494,2494,11707,11707,12582,12582,19812,19812,43682,43682,56135,56135,7466,7466,22742,22742,11657,11657,29865,29865,52973,52973,48871,48871,30960,30960,22889,22889,63853,63853,13315,13315,14389,14389,13846,13846,42870,42870,24750,24750,29956,29956,25462,25462,50524,50524,4695,4695,26172,26172,167600,167600,58577,58577,121051,121051,54149,54149,21159,21159,151734,151734,5271,5271,19684,19684,27654,27654,6202,6202,15589,15589,53335,53335,10183,10183,16875,16875,10231,10231,10317,10317,18122,18122,21975,21975,85199,85199,786,786,46638,46638,10194,10194,23926,23926,8846,8846,9062,9062,19146,19146,9951,9951,12948,12948,9019,9019,18366,18366,19433,19433,4530,4530,5751,5751,18364,18364,7542,7542,6331,6331,765,765
14,13966,13966,16664,16664,6138,6138,19665,19665,2497,2497,11338,11338,12701,12701,19354,19354,43487,43487,56877,56877,7043,7043,23089,23089,11437,11437,30416,30416,51638,51638,45585,45585,30924,30924,22781,22781,69743,69743,13380,13380,14393,14393,13167,13167,41865,41865,25550,25550,30005,30005,25159,25159,51766,51766,5075,5075,26522,26522,167611,167611,58194,58194,117900,117900,53935,53935,21199,21199,152183,152183,5283,5283,19895,19895,27165,27165,6101,6101,15203,15203,52806,52806,9633,9633,17312,17312,10265,10265,10271,10271,17683,17683,23749,23749,86333,86333,794,794,47294,47294,10329,10329,24097,24097,8916,8916,9420,9420,20325,20325,9872,9872,13221,13221,9092,9092,18259,18259,19867,19867,4802,4802,5813,5813,19183,19183,8077,8077,6045,6045,702,702
15,15617,15617,18388,18388,6537,6537,20705,20705,2590,2590,11251,11251,12558,12558,19350,19350,42599,42599,59436,59436,6966,6966,22557,22557,11384,11384,30644,30644,51168,51168,44548,44548,31451,31451,23150,23150,76697,76697,13345,13345,14460,14460,13076,13076,42032,42032,29819,29819,31819,31819,25156,25156,49938,49938,4777,4777,26915,26915,166697,166697,59007,59007,119807,119807,55548,55548,21769,21769,152899,152899,5465,5465,19819,19819,27857,27857,6171,6171,14940,14940,53666,53666,9616,9616,17361,17361,10158,10158,10744,10744,17860,17860,23650,23650,88397,88397,815,815,47754,47754,10665,10665,23808,23808,9022,9022,9232,9232,20557,20557,10587,10587,13116,13116,9474,9474,18520,18520,19321,19321,4628,4628,5931,5931,19047,19047,7898,7898,6254,6254,704,704
16,14883,14883,18549,18549,7263,7263,20263,20263,2477,2477,11306,11306,12466,12466,19483,19483,42674,42674,61648,61648,7071,7071,22207,22207,11506,11506,30742,30742,50178,50178,44071,44071,32831,32831,22402,22402,85595,85595,13469,13469,14553,14553,13194,13194,42213,42213,32674,32674,31955,31955,25131,25131,50226,50226,4938,4938,26759,26759,163201,163201,58637,58637,114810,114810,55384,55384,21991,21991,152607,152607,5343,5343,20012,20012,28600,28600,6417,6417,15022,15022,53390,53390,10066,10066,16860,16860,9907,9907,11060,11060,17954,17954,23937,23937,91465,91465,823,823,49061,49061,10922,10922,24679,24679,9166,9166,9575,9575,21305,21305,10160,10160,13343,13343,9636,9636,18697,18697,20083,20083,4719,4719,6505,6505,18987,18987,8351,8351,6263,6263,749,749
17,13769,13769,19253,19253,7837,7837,19947,19947,2273,2273,10994,10994,12465,12465,19473,19473,42075,42075,65224,65224,7415,7415,22082,22082,11282,11282,30788,30788,49771,49771,42182,42182,33630,33630,22683,22683,89275,89275,13173,13173,14668,14668,13365,13365,41858,41858,30050,30050,33569,33569,25467,25467,48811,48811,4603,4603,26971,26971,160050,160050,59315,59315,108792,108792,54943,54943,21566,21566,153546,153546,5452,5452,22047,22047,28675,28675,6205,6205,14962,14962,52742,52742,10200,10200,17216,17216,9963,9963,11045,11045,18528,18528,23953,23953,94794,94794,822,822,48536,48536,10632,10632,24617,24617,8763,8763,9341,9341,21767,21767,10465,10465,13082,13082,9151,9151,18139,18139,20269,20269,4918,4918,6138,6138,20347,20347,8413,8413,6306,6306,827,827
18,14149,14149,18919,18919,7984,7984,20452,20452,2367,2367,11090,11090,12733,12733,19723,19723,41609,41609,66982,66982,7328,7328,22410,22410,10976,10976,30957,30957,49751,49751,41216,41216,34524,34524,22787,22787,90654,90654,13569,13569,14422,14422,13113,13113,42642,42642,30594,30594,31666,31666,25129,25129,48265,48265,4551,4551,26680,26680,160186,160186,58467,58467,109194,109194,55753,55753,21442,21442,150814,150814,5230,5230,21610,21610,29392,29392,6233,6233,14685,14685,53875,53875,10454,10454,16914,16914,9985,9985,11336,11336,17724,17724,23771,23771,98436,98436,837,837,48652,48652,10391,10391,24903,24903,9371,9371,9112,9112,22213,22213,10370,10370,12909,12909,9943,9943,18334,18334,20743,20743,4827,4827,6352,6352,20677,20677,8460,8460,6415,6415,749,749
19,13762,13762,19289,19289,8429,8429,20577,20577,2087,2087,11050,11050,12605,12605,19308,19308,41643,41643,67131,67131,7435,7435,22042,22042,10933,10933,31583,31583,49927,49927,39763,39763,35486,35486,21828,21828,88788,88788,13350,13350,14397,14397,14062,14062,44849,44849,30103,30103,31770,31770,25239,25239,49210,49210,4730,4730,27371,27371,157294,157294,59072,59072,104391,104391,55850,55850,20951,20951,148888,148888,4994,4994,22715,22715,30824,30824,6379,6379,14549,14549,53730,53730,10413,10413,17029,17029,9976,9976,11157,11157,17782,17782,23757,23757,100623,100623,820,820,49777,49777,10679,10679,24697,24697,9031,9031,9658,9658,22835,22835,10746,10746,12962,12962,9703,9703,17870,17870,20758,20758,5255,5255,6402,6402,20801,20801,8456,8456,6624,6624,725,725
20,14065,14065,18289,18289,8009,8009,20083,20083,2418,2418,10909,10909,12438,12438,19906,19906,41582,41582,68283,68283,7417,7417,22045,22045,10904,10904,31477,31477,49873,49873,38897,38897,37645,37645,22381,22381,88086,88086,13540,13540,14317,14317,13086,13086,47641,47641,30010,30010,30742,30742,25444,25444,48273,48273,4687,4687,27013,27013,158948,158948,59077,59077,106405,106405,55704,55704,21063,21063,148805,148805,5324,5324,22464,22464,30416,30416,6372,6372,14820,14820,53896,53896,10619,10619,17038,17038,9798,9798,11383,11383,17671,17671,23777,23777,100148,100148,796,796,49858,49858,10780,10780,24243,24243,9206,9206,9627,9627,23213,23213,11016,11016,13072,13072,9792,9792,18240,18240,21122,21122,5095,5095,6681,6681,20490,20490,8331,8331,6380,6380,866,866
21,13820,13820,18740,18740,7900,7900,20621,20621,2260,2260,10970,10970,13005,13005,19483,19483,41003,41003,66885,66885,7557,7557,22232,22232,10850,10850,31408,31408,49412,49412,39044,39044,38775,38775,22135,22135,87436,87436,13196,13196,14073,14073,13267,13267,48699,48699,29025,29025,30939,30939,25176,25176,48491,48491,4569,4569,26969,26969,155694,155694,58837,58837,102287,102287,55647,55647,20806,20806,148854,148854,5326,5326,23879,23879,30920,30920,6314,6314,14657,14657,54253,54253,10896,10896,16845,16845,10187,10187,11696,11696,17748,17748,22998,22998,101345,101345,651,651,49964,49964,11034,11034,25299,25299,9187,9187,9763,9763,23163,23163,10912,10912,12897,12897,9898,9898,18398,18398,21470,21470,4675,4675,6304,6304,20671,20671,8617,8617,6635,6635,864,864
22,13394,13394,18650,18650,8250,8250,20754,20754,2388,2388,11493,11493,12692,12692,19712,19712,41333,41333,66950,66950,7436,7436,22130,22130,10924,10924,31652,31652,50192,50192,39077,39077,43320,43320,21516,21516,85229,85229,13110,13110,13909,13909,13375,13375,51007,51007,29036,29036,29472,29472,25607,25607,48972,48972,4503,4503,26165,26165,155099,155099,58242,58242,101888,101888,55619,55619,20798,20798,146604,146604,5463,5463,21887,21887,29928,29928,6187,6187,14760,14760,53215,53215,11096,11096,16980,16980,10275,10275,11435,11435,17699,17699,23033,23033,101697,101697,806,806,49717,49717,10549,10549,24962,24962,9309,9309,9657,9657,23752,23752,10659,10659,13111,13111,10120,10120,17863,17863,20907,20907,5045,5045,7175,7175,20524,20524,8833,8833,6491,6491,1119,1119
23,13197,13197,18165,18165,7790,7790,20628,20628,2368,2368,11278,11278,13179,13179,19424,19424,41059,41059,66742,66742,7241,7241,22298,22298,10894,10894,31326,31326,49902,49902,37126,37126,46109,46109,21847,21847,84597,84597,12706,12706,14186,14186,13216,13216,55738,55738,29104,29104,29839,29839,25710,25710,49248,49248,4576,4576,26062,26062,156384,156384,58328,58328,104378,104378,56106,56106,20396,20396,147467,147467,5111,5111,22125,22125,29545,29545,6563,6563,15082,15082,53890,53890,10981,10981,16484,16484,9768,9768,11435,11435,18193,18193,23288,23288,101917,101917,818,818,51022,51022,10767,10767,25183,25183,9411,9411,9641,9641,24020,24020,10967,10967,12929,12929,10396,10396,17981,17981,21321,21321,5176,5176,6947,6947,20523,20523,8773,8773,6211,6211,1255,1255
24,13236,13236,17603,17603,7627,7627,20614,20614,2400,2400,11892,11892,13131,13131,20289,20289,40211,40211,65143,65143,7360,7360,22055,22055,10494,10494,31807,31807,49355,49355,36805,36805,52011,52011,21702,21702,81972,81972,13215,13215,13709,13709,13445,13445,60391,60391,28223,28223,29283,29283,24891,24891,47727,47727,4549,4549,25794,25794,157031,157031,57849,57849,102441,102441,58437,58437,20825,20825,149488,149488,5178,5178,22532,22532,29745,29745,6124,6124,14694,14694,53876,53876,10891,10891,16751,16751,10179,10179,11438,11438,17318,17318,23037,23037,100010,100010,702,702,50465,50465,10596,10596,25696,25696,9236,9236,9308,9308,24726,24726,10522,10522,13164,13164,10398,10398,17836,17836,22105,22105,5006,5006,7730,7730,20313,20313,8849,8849,6602,6602,1235,1235
