 ,IntDen1,RawIntDen1,IntDen2,RawIntDen2,IntDen3,RawIntDen3,IntDen4,RawIntDen4,IntDen5,RawIntDen5,IntDen6,RawIntDen6,IntDen7,RawIntDen7,IntDen8,RawIntDen8,IntDen9,RawIntDen9,IntDen10,RawIntDen10,IntDen11,RawIntDen11,IntDen12,RawIntDen12,IntDen13,RawIntDen13,IntDen14,RawIntDen14,IntDen15,RawIntDen15,IntDen16,RawIntDen16,IntDen17,RawIntDen17,IntDen18,RawIntDen18,IntDen19,RawIntDen19,IntDen20,RawIntDen20,IntDen21,RawIntDen21,IntDen22,RawIntDen22,IntDen23,RawIntDen23,IntDen24,RawIntDen24,IntDen25,RawIntDen25,IntDen26,RawIntDen26,IntDen27,RawIntDen27
1,22798,22798,2169,2169,22444,22444,10360,10360,39879,39879,13427,13427,7890,7890,14044,14044,11780,11780,60500,60500,7136,7136,24869,24869,9161,9161,4052,4052,3818,3818,9131,9131,4698,4698,2513,2513,31508,31508,18850,18850,8929,8929,16739,16739,16518,16518,7156,7156,5940,5940,3101,3101,4947,4947
2,22647,22647,2260,2260,20710,20710,9714,9714,41188,41188,13696,13696,8243,8243,14818,14818,12023,12023,58395,58395,7054,7054,24681,24681,8457,8457,4126,4126,3910,3910,8257,8257,4774,4774,2406,2406,29553,29553,18204,18204,9292,9292,16684,16684,15376,15376,6996,6996,5787,5787,2954,2954,5097,5097
3,22452,22452,2148,2148,20565,20565,9554,9554,43919,43919,13387,13387,8070,8070,14754,14754,12635,12635,59827,59827,7393,7393,24488,24488,8359,8359,4247,4247,3845,3845,7573,7573,4598,4598,2410,2410,29488,29488,17932,17932,9105,9105,16680,16680,15813,15813,7115,7115,6138,6138,3156,3156,5264,5264
4,21885,21885,2197,2197,20188,20188,9509,9509,45099,45099,14027,14027,8322,8322,14886,14886,13311,13311,65184,65184,7820,7820,23726,23726,8340,8340,4213,4213,3963,3963,7285,7285,4804,4804,2474,2474,26880,26880,17980,17980,8663,8663,17063,17063,15399,15399,7044,7044,5664,5664,3180,3180,5087,5087
5,22217,22217,2138,2138,19874,19874,9238,9238,45471,45471,13722,13722,8509,8509,14946,14946,13228,13228,66412,66412,8327,8327,23473,23473,7797,7797,4265,4265,4289,4289,7161,7161,4645,4645,2198,2198,25614,25614,17213,17213,8593,8593,16532,16532,14498,14498,6959,6959,5875,5875,3004,3004,5379,5379
6,21933,21933,1919,1919,19997,19997,9126,9126,46391,46391,13592,13592,8619,8619,15642,15642,13835,13835,66358,66358,7996,7996,22249,22249,7402,7402,4415,4415,4209,4209,6483,6483,4661,4661,2512,2512,26117,26117,17555,17555,8833,8833,16311,16311,13974,13974,7337,7337,5787,5787,3263,3263,5419,5419
7,21524,21524,1959,1959,19680,19680,9206,9206,47373,47373,13218,13218,8869,8869,15778,15778,14473,14473,64081,64081,8311,8311,22320,22320,7612,7612,4389,4389,4242,4242,6081,6081,4689,4689,2312,2312,24431,24431,17104,17104,8833,8833,16273,16273,13704,13704,7169,7169,5507,5507,3075,3075,5517,5517
8,21291,21291,2120,2120,19919,19919,9103,9103,48919,48919,13485,13485,8873,8873,15745,15745,15392,15392,62383,62383,8277,8277,21520,21520,7195,7195,4534,4534,4350,4350,5812,5812,4656,4656,2276,2276,22362,22362,17114,17114,8844,8844,15858,15858,13793,13793,7385,7385,5243,5243,3248,3248,5356,5356
9,20433,20433,2056,2056,20550,20550,9182,9182,48715,48715,13853,13853,8799,8799,15653,15653,15904,15904,61413,61413,8534,8534,20979,20979,6639,6639,4486,4486,4309,4309,5850,5850,4842,4842,2302,2302,22101,22101,16787,16787,8687,8687,15583,15583,13650,13650,7456,7456,5552,5552,3113,3113,5558,5558
10,20768,20768,1989,1989,20006,20006,9153,9153,50589,50589,13422,13422,9017,9017,16545,16545,16037,16037,62458,62458,9218,9218,19670,19670,6823,6823,4880,4880,4542,4542,5263,5263,4833,4833,2255,2255,20527,20527,16298,16298,8912,8912,15378,15378,13348,13348,7132,7132,5019,5019,3212,3212,5326,5326
11,19977,19977,1775,1775,20524,20524,8970,8970,50388,50388,13065,13065,8996,8996,17427,17427,16758,16758,60095,60095,8824,8824,19143,19143,6312,6312,4427,4427,4239,4239,5315,5315,4458,4458,2108,2108,20184,20184,16161,16161,8738,8738,14307,14307,12710,12710,7330,7330,5088,5088,3162,3162,5197,5197
12,20032,20032,1877,1877,21002,21002,8617,8617,53156,53156,13352,13352,8785,8785,17821,17821,17791,17791,52654,52654,8940,8940,17476,17476,5569,5569,4677,4677,3916,3916,4919,4919,4905,4905,2256,2256,17145,17145,15126,15126,8329,8329,13419,13419,11712,11712,6866,6866,4680,4680,2907,2907,5263,5263
13,21315,21315,1856,1856,21118,21118,8442,8442,54694,54694,12659,12659,8984,8984,17552,17552,18087,18087,54244,54244,8833,8833,18077,18077,5756,5756,4487,4487,4133,4133,4742,4742,4894,4894,2000,2000,16704,16704,14778,14778,8159,8159,13290,13290,11705,11705,7319,7319,4597,4597,3109,3109,5340,5340
14,25593,25593,1872,1872,20509,20509,8701,8701,54658,54658,12544,12544,9063,9063,17576,17576,17939,17939,52711,52711,8526,8526,17711,17711,5712,5712,4657,4657,4268,4268,4743,4743,4517,4517,2202,2202,16245,16245,14705,14705,8337,8337,13620,13620,11623,11623,7090,7090,4858,4858,3002,3002,5452,5452
15,34994,34994,1982,1982,20849,20849,8811,8811,56522,56522,12301,12301,9323,9323,17163,17163,17751,17751,53149,53149,8814,8814,17703,17703,5563,5563,5055,5055,4157,4157,4497,4497,4557,4557,2165,2165,15262,15262,14551,14551,8614,8614,13331,13331,11493,11493,7080,7080,4706,4706,3208,3208,5379,5379
16,52160,52160,2204,2204,20786,20786,8584,8584,57099,57099,12658,12658,8839,8839,17332,17332,17928,17928,52683,52683,8758,8758,17373,17373,5586,5586,4990,4990,4265,4265,4553,4553,4570,4570,2132,2132,15541,15541,14554,14554,8473,8473,13076,13076,11725,11725,7277,7277,4872,4872,3159,3159,5220,5220
17,56710,56710,2076,2076,21183,21183,8914,8914,60771,60771,12713,12713,8962,8962,17456,17456,18213,18213,52467,52467,8687,8687,17386,17386,5723,5723,4916,4916,4465,4465,4406,4406,4330,4330,2059,2059,15041,15041,14398,14398,8614,8614,12916,12916,11826,11826,6969,6969,4900,4900,3039,3039,5560,5560
18,56054,56054,2076,2076,20670,20670,8734,8734,63471,63471,12495,12495,9167,9167,17077,17077,18639,18639,52022,52022,8493,8493,17165,17165,5414,5414,4777,4777,4306,4306,4402,4402,4229,4229,2105,2105,15276,15276,14178,14178,8521,8521,12832,12832,12001,12001,7415,7415,4582,4582,2997,2997,5394,5394
19,52970,52970,2107,2107,20932,20932,8520,8520,72072,72072,12511,12511,9202,9202,17234,17234,18797,18797,50257,50257,8336,8336,16874,16874,5405,5405,4755,4755,4504,4504,4745,4745,4653,4653,2127,2127,14772,14772,14011,14011,8712,8712,12644,12644,11392,11392,7438,7438,4621,4621,3126,3126,5373,5373
20,46881,46881,2155,2155,21403,21403,8643,8643,76483,76483,12045,12045,9097,9097,17423,17423,19017,19017,50126,50126,8425,8425,17272,17272,5426,5426,4937,4937,4397,4397,4656,4656,4449,4449,2173,2173,14344,14344,14252,14252,8626,8626,12822,12822,11122,11122,7563,7563,4690,4690,3246,3246,5247,5247
21,40161,40161,1996,1996,20986,20986,8469,8469,78526,78526,13067,13067,9139,9139,17387,17387,18931,18931,52498,52498,8472,8472,17662,17662,5349,5349,4901,4901,4556,4556,4626,4626,4460,4460,2000,2000,14607,14607,14078,14078,8571,8571,12371,12371,11287,11287,7281,7281,4772,4772,3238,3238,5535,5535
22,39027,39027,2030,2030,20810,20810,8488,8488,75610,75610,12757,12757,9349,9349,16869,16869,18381,18381,49234,49234,8447,8447,16980,16980,5337,5337,5088,5088,4462,4462,4556,4556,4401,4401,2027,2027,14741,14741,13938,13938,8850,8850,12401,12401,11299,11299,7232,7232,4680,4680,3024,3024,5308,5308
23,44438,44438,1962,1962,20601,20601,8752,8752,76992,76992,12377,12377,8811,8811,17017,17017,19210,19210,50291,50291,8913,8913,17116,17116,5520,5520,5148,5148,4573,4573,4219,4219,4328,4328,2021,2021,14472,14472,14250,14250,8718,8718,12472,12472,11613,11613,7521,7521,4743,4743,3049,3049,5142,5142
24,45544,45544,2175,2175,21606,21606,8704,8704,76483,76483,12152,12152,8996,8996,17144,17144,18829,18829,50428,50428,8704,8704,17646,17646,5401,5401,4971,4971,4576,4576,4401,4401,4426,4426,2147,2147,14453,14453,13807,13807,9092,9092,12191,12191,11564,11564,7487,7487,4921,4921,3091,3091,5373,5373
25,43508,43508,2301,2301,21226,21226,8922,8922,78189,78189,12522,12522,9155,9155,16489,16489,18574,18574,50630,50630,9026,9026,17700,17700,5313,5313,5028,5028,4276,4276,4246,4246,4332,4332,2026,2026,14454,14454,13760,13760,8814,8814,12188,12188,11385,11385,7558,7558,4486,4486,3039,3039,5495,5495
26,43143,43143,2209,2209,21314,21314,8750,8750,79030,79030,12346,12346,9220,9220,16512,16512,18977,18977,49198,49198,9028,9028,17398,17398,5211,5211,4822,4822,4491,4491,4482,4482,4144,4144,2190,2190,14246,14246,13833,13833,8717,8717,12285,12285,11491,11491,7216,7216,4519,4519,2966,2966,5339,5339
27,40129,40129,2175,2175,21212,21212,8452,8452,77035,77035,12725,12725,9368,9368,16515,16515,18403,18403,50773,50773,8982,8982,16921,16921,5365,5365,4949,4949,4537,4537,4206,4206,4111,4111,2085,2085,13977,13977,13873,13873,8785,8785,11938,11938,11959,11959,7576,7576,4532,4532,3216,3216,5490,5490
28,38067,38067,2264,2264,21051,21051,8523,8523,78623,78623,12721,12721,9073,9073,16767,16767,18798,18798,49865,49865,8992,8992,17533,17533,5572,5572,5101,5101,4321,4321,4484,4484,4343,4343,1999,1999,14193,14193,13648,13648,8850,8850,11731,11731,11580,11580,7418,7418,4540,4540,3012,3012,5604,5604
29,37269,37269,2146,2146,21324,21324,8680,8680,78939,78939,12812,12812,9233,9233,16460,16460,18855,18855,49836,49836,9063,9063,17210,17210,5319,5319,5053,5053,4376,4376,4375,4375,4369,4369,2077,2077,14185,14185,13789,13789,8521,8521,12068,12068,11476,11476,7379,7379,4381,4381,2998,2998,5355,5355
30,34413,34413,2120,2120,20350,20350,8857,8857,78786,78786,12558,12558,8914,8914,16565,16565,18574,18574,49694,49694,9065,9065,16805,16805,5285,5285,5153,5153,4317,4317,4283,4283,4099,4099,1980,1980,14295,14295,13437,13437,8721,8721,12185,12185,11473,11473,7575,7575,4441,4441,2940,2940,5350,5350
31,32204,32204,2143,2143,20886,20886,8909,8909,79211,79211,12680,12680,9077,9077,16245,16245,18739,18739,51271,51271,9001,9001,16805,16805,5295,5295,5045,5045,4450,4450,4136,4136,4038,4038,2094,2094,14212,14212,13838,13838,8625,8625,11893,11893,11781,11781,7716,7716,4241,4241,3044,3044,5507,5507
32,28997,28997,2230,2230,20731,20731,8405,8405,79410,79410,12434,12434,8770,8770,15748,15748,19208,19208,51303,51303,8911,8911,16793,16793,5358,5358,5048,5048,4275,4275,4541,4541,4116,4116,2160,2160,14204,14204,13313,13313,8633,8633,12092,12092,11823,11823,7367,7367,4560,4560,2929,2929,5260,5260
33,26252,26252,2033,2033,20838,20838,8699,8699,80168,80168,12413,12413,9084,9084,16092,16092,18253,18253,50173,50173,9257,9257,16981,16981,5318,5318,5312,5312,4402,4402,4307,4307,4122,4122,1975,1975,14330,14330,13434,13434,8574,8574,11904,11904,11724,11724,7305,7305,4555,4555,3057,3057,5215,5215
34,25326,25326,2002,2002,21244,21244,8918,8918,80747,80747,12283,12283,9247,9247,15719,15719,18989,18989,49998,49998,9051,9051,16787,16787,5143,5143,4969,4969,4484,4484,4140,4140,4280,4280,2029,2029,14347,14347,13396,13396,8539,8539,11772,11772,11774,11774,7309,7309,4499,4499,3002,3002,5249,5249
35,23689,23689,2027,2027,21099,21099,8722,8722,80675,80675,12975,12975,8986,8986,15617,15617,18667,18667,49483,49483,8801,8801,16502,16502,5242,5242,4941,4941,4450,4450,4147,4147,4160,4160,1934,1934,14125,14125,13487,13487,8780,8780,11704,11704,11358,11358,7514,7514,4235,4235,2930,2930,5237,5237
36,22395,22395,1957,1957,21064,21064,8715,8715,80722,80722,12531,12531,9118,9118,15411,15411,18842,18842,50061,50061,9187,9187,16899,16899,5350,5350,5141,5141,4269,4269,4457,4457,4131,4131,2021,2021,14402,14402,13458,13458,8743,8743,11590,11590,11198,11198,7409,7409,4450,4450,3013,3013,5210,5210
37,22660,22660,2087,2087,21243,21243,8757,8757,80224,80224,12903,12903,9115,9115,15752,15752,19171,19171,50638,50638,8553,8553,17160,17160,5541,5541,4993,4993,4334,4334,4172,4172,4377,4377,2134,2134,14793,14793,13438,13438,8495,8495,11810,11810,11465,11465,7706,7706,4401,4401,2794,2794,5354,5354
38,22790,22790,1898,1898,21655,21655,8714,8714,77802,77802,12724,12724,8941,8941,16371,16371,19213,19213,51514,51514,9017,9017,16745,16745,5362,5362,5172,5172,4420,4420,4226,4226,3968,3968,2119,2119,14284,14284,13068,13068,8545,8545,11738,11738,11463,11463,7716,7716,4473,4473,3245,3245,5336,5336
39,23038,23038,1794,1794,21990,21990,8690,8690,79990,79990,12675,12675,8780,8780,16036,16036,18846,18846,50727,50727,8830,8830,16670,16670,5257,5257,5422,5422,4553,4553,4234,4234,4023,4023,2020,2020,14588,14588,13181,13181,8453,8453,11314,11314,11430,11430,7250,7250,4576,4576,2976,2976,5291,5291
40,22740,22740,1884,1884,22168,22168,9025,9025,77540,77540,12602,12602,8692,8692,16232,16232,19300,19300,51685,51685,8551,8551,17099,17099,5298,5298,4864,4864,4398,4398,4125,4125,3939,3939,1963,1963,14395,14395,13373,13373,8364,8364,11608,11608,11648,11648,7388,7388,4403,4403,3018,3018,5093,5093
