 ,IntDen1,RawIntDen1,IntDen2,RawIntDen2,IntDen3,RawIntDen3,IntDen4,RawIntDen4,IntDen5,RawIntDen5,IntDen6,RawIntDen6,IntDen7,RawIntDen7,IntDen8,RawIntDen8,IntDen9,RawIntDen9,IntDen10,RawIntDen10,IntDen11,RawIntDen11,IntDen12,RawIntDen12,IntDen13,RawIntDen13,IntDen14,RawIntDen14,IntDen15,RawIntDen15,IntDen16,RawIntDen16,IntDen17,RawIntDen17,IntDen18,RawIntDen18,IntDen19,RawIntDen19,IntDen20,RawIntDen20,IntDen21,RawIntDen21,IntDen22,RawIntDen22,IntDen23,RawIntDen23,IntDen24,RawIntDen24,IntDen25,RawIntDen25,IntDen26,RawIntDen26,IntDen27,RawIntDen27,IntDen28,RawIntDen28,IntDen29,RawIntDen29,IntDen30,RawIntDen30,IntDen31,RawIntDen31,IntDen32,RawIntDen32,IntDen33,RawIntDen33,IntDen34,RawIntDen34,IntDen35,RawIntDen35,IntDen36,RawIntDen36,IntDen37,RawIntDen37,IntDen38,RawIntDen38,IntDen39,RawIntDen39,IntDen40,RawIntDen40,IntDen41,RawIntDen41,IntDen42,RawIntDen42,IntDen43,RawIntDen43,IntDen44,RawIntDen44,IntDen45,RawIntDen45,IntDen46,RawIntDen46,IntDen47,RawIntDen47,IntDen48,RawIntDen48,IntDen49,RawIntDen49,IntDen50,RawIntDen50,IntDen51,RawIntDen51,IntDen52,RawIntDen52,IntDen53,RawIntDen53,IntDen54,RawIntDen54,IntDen55,RawIntDen55,IntDen56,RawIntDen56,IntDen57,RawIntDen57,IntDen58,RawIntDen58,IntDen59,RawIntDen59,IntDen60,RawIntDen60,IntDen61,RawIntDen61,IntDen62,RawIntDen62,IntDen63,RawIntDen63,IntDen64,RawIntDen64,IntDen65,RawIntDen65,IntDen66,RawIntDen66,IntDen67,RawIntDen67,IntDen68,RawIntDen68,IntDen69,RawIntDen69,IntDen70,RawIntDen70,IntDen71,RawIntDen71,IntDen72,RawIntDen72,IntDen73,RawIntDen73,IntDen74,RawIntDen74,IntDen75,RawIntDen75,IntDen76,RawIntDen76,IntDen77,RawIntDen77,IntDen78,RawIntDen78,IntDen79,RawIntDen79,IntDen80,RawIntDen80,IntDen81,RawIntDen81,IntDen82,RawIntDen82,IntDen83,RawIntDen83,IntDen84,RawIntDen84,IntDen85,RawIntDen85,IntDen86,RawIntDen86,IntDen87,RawIntDen87,IntDen88,RawIntDen88,IntDen89,RawIntDen89,IntDen90,RawIntDen90
24,52605,52605,16108,16108,67498,67498,20902,20902,130560,130560,28731,28731,15865,15865,18116,18116,10219,10219,15933,15933,30743,30743,15291,15291,15605,15605,18775,18775,26160,26160,20500,20500,9433,9433,23777,23777,18313,18313,18911,18911,30269,30269,13186,13186,14895,14895,14099,14099,32332,32332,8686,8686,105366,105366,37015,37015,19135,19135,46568,46568,28055,28055,19627,19627,37507,37507,6544,6544,13694,13694,33896,33896,62246,62246,43588,43588,29835,29835,25784,25784,40319,40319,12198,12198,20184,20184,123915,123915,18363,18363,66296,66296,10293,10293,43021,43021,74612,74612,7219,7219,208981,208981,13040,13040,12949,12949,17639,17639,9128,9128,38297,38297,18915,18915,40147,40147,32366,32366,20640,20640,41912,41912,14625,14625,21038,21038,70546,70546,18154,18154,26947,26947,13183,13183,20028,20028,24334,24334,47554,47554,33820,33820,39940,39940,39955,39955,24791,24791,14766,14766,24015,24015,95199,95199,49147,49147,22533,22533,61326,61326,13771,13771,30589,30589,62909,62909,8853,8853,16832,16832,3212,3212,31482,31482,15628,15628,10471,10471,57067,57067
25,53909,53909,16155,16155,64793,64793,20145,20145,131603,131603,28961,28961,15157,15157,18267,18267,10310,10310,15838,15838,31365,31365,15061,15061,14826,14826,20970,20970,25700,25700,21304,21304,9564,9564,23860,23860,11708,11708,19121,19121,20856,20856,12950,12950,14519,14519,13777,13777,32735,32735,8360,8360,125427,125427,35930,35930,18927,18927,38990,38990,27691,27691,19244,19244,37299,37299,6648,6648,13161,13161,34676,34676,59051,59051,43440,43440,40129,40129,28537,28537,40994,40994,12097,12097,20753,20753,123002,123002,17753,17753,66671,66671,10519,10519,42571,42571,74442,74442,7248,7248,210882,210882,13454,13454,12937,12937,17184,17184,9154,9154,37752,37752,18842,18842,39714,39714,31567,31567,20889,20889,40893,40893,14484,14484,20509,20509,69972,69972,18619,18619,26110,26110,13221,13221,20492,20492,23066,23066,47799,47799,32283,32283,39329,39329,39555,39555,24204,24204,14968,14968,23086,23086,94998,94998,47287,47287,21892,21892,62443,62443,13550,13550,31458,31458,61865,61865,8305,8305,16333,16333,2820,2820,30443,30443,15334,15334,10403,10403,55073,55073
26,55262,55262,15981,15981,62154,62154,19537,19537,128790,128790,27617,27617,14309,14309,17391,17391,9963,9963,15560,15560,30868,30868,14917,14917,14956,14956,21662,21662,25587,25587,22665,22665,9099,9099,23619,23619,15721,15721,20338,20338,36237,36237,12693,12693,14567,14567,14306,14306,32816,32816,8130,8130,126839,126839,33122,33122,20169,20169,44984,44984,26972,26972,18735,18735,33877,33877,6147,6147,14504,14504,34934,34934,43606,43606,39992,39992,50369,50369,35598,35598,40367,40367,11848,11848,20399,20399,121084,121084,17110,17110,52226,52226,10364,10364,41949,41949,77341,77341,6998,6998,208858,208858,13504,13504,12527,12527,16848,16848,8742,8742,36948,36948,18452,18452,38807,38807,30145,30145,20521,20521,39742,39742,14666,14666,19923,19923,69416,69416,18396,18396,24940,24940,13285,13285,21597,21597,23190,23190,49790,49790,32137,32137,37507,37507,40891,40891,23482,23482,15008,15008,22805,22805,93381,93381,45094,45094,21133,21133,61334,61334,13318,13318,30867,30867,60559,60559,7433,7433,16177,16177,2540,2540,29881,29881,15395,15395,9556,9556,53522,53522
27,55240,55240,15480,15480,60278,60278,20050,20050,128017,128017,27863,27863,14197,14197,18063,18063,9731,9731,15315,15315,30345,30345,14999,14999,14469,14469,21041,21041,24536,24536,21948,21948,8618,8618,23300,23300,16070,16070,22046,22046,42250,42250,12453,12453,14452,14452,14750,14750,33116,33116,7758,7758,125438,125438,32934,32934,22415,22415,52557,52557,24293,24293,15941,15941,38324,38324,4199,4199,14921,14921,34269,34269,54256,54256,29851,29851,48917,48917,48683,48683,39016,39016,12045,12045,20664,20664,124901,124901,16698,16698,60402,60402,10225,10225,41871,41871,75569,75569,7294,7294,208042,208042,12811,12811,12362,12362,16277,16277,8975,8975,36787,36787,18567,18567,38346,38346,29099,29099,20020,20020,38682,38682,13779,13779,19438,19438,68057,68057,18436,18436,23984,23984,12580,12580,21656,21656,22334,22334,50463,50463,31513,31513,36119,36119,40041,40041,23865,23865,14943,14943,21683,21683,89933,89933,44269,44269,21430,21430,61372,61372,13302,13302,31421,31421,59809,59809,7719,7719,15486,15486,2448,2448,30101,30101,15551,15551,9457,9457,52460,52460
28,55590,55590,15989,15989,61565,61565,19571,19571,129186,129186,26876,26876,13168,13168,17897,17897,9727,9727,16102,16102,31105,31105,14465,14465,14788,14788,20376,20376,24334,24334,21522,21522,8990,8990,23281,23281,17684,17684,22592,22592,41839,41839,12528,12528,13610,13610,14873,14873,32497,32497,7163,7163,124290,124290,32134,32134,21998,21998,52643,52643,21256,21256,14104,14104,37121,37121,4591,4591,13776,13776,34416,34416,54506,54506,34428,34428,47070,47070,35909,35909,39710,39710,11764,11764,19224,19224,120606,120606,16180,16180,63378,63378,10267,10267,41052,41052,77302,77302,6892,6892,216957,216957,13033,13033,12074,12074,16007,16007,8582,8582,35916,35916,18482,18482,38161,38161,29306,29306,20583,20583,37731,37731,13470,13470,18316,18316,68543,68543,18054,18054,22796,22796,12226,12226,21752,21752,22033,22033,52691,52691,31660,31660,36151,36151,40528,40528,24011,24011,14460,14460,21380,21380,87419,87419,43459,43459,20922,20922,60466,60466,12998,12998,31306,31306,58582,58582,7433,7433,15687,15687,2368,2368,29643,29643,15167,15167,9212,9212,51145,51145
29,56075,56075,16089,16089,60849,60849,19550,19550,128647,128647,26685,26685,12935,12935,17502,17502,9873,9873,15779,15779,30636,30636,14222,14222,14102,14102,20404,20404,24954,24954,20370,20370,8591,8591,23152,23152,15132,15132,25046,25046,38846,38846,12531,12531,13391,13391,15833,15833,32067,32067,7457,7457,123918,123918,31557,31557,22229,22229,51091,51091,21507,21507,13946,13946,34945,34945,4872,4872,14048,14048,34293,34293,51966,51966,34745,34745,45741,45741,32174,32174,38073,38073,12033,12033,18740,18740,116425,116425,15658,15658,62478,62478,10338,10338,40593,40593,75144,75144,6889,6889,219813,219813,12879,12879,12010,12010,15964,15964,8563,8563,35412,35412,18630,18630,37648,37648,28500,28500,20546,20546,37601,37601,13329,13329,18364,18364,67011,67011,18429,18429,22391,22391,11777,11777,22915,22915,21686,21686,53658,53658,30254,30254,35062,35062,41991,41991,24105,24105,14035,14035,20463,20463,85630,85630,41936,41936,20655,20655,60759,60759,12768,12768,31620,31620,57883,57883,7454,7454,14736,14736,2151,2151,29343,29343,15024,15024,9396,9396,50009,50009
30,55297,55297,15611,15611,63472,63472,19026,19026,125807,125807,26276,26276,12087,12087,17373,17373,10111,10111,14811,14811,29630,29630,14356,14356,14106,14106,21240,21240,23464,23464,19911,19911,8607,8607,22843,22843,19286,19286,26540,26540,35835,35835,12391,12391,12627,12627,16047,16047,31485,31485,6979,6979,121190,121190,30863,30863,21663,21663,51908,51908,20408,20408,13318,13318,34123,34123,4509,4509,13646,13646,33310,33310,51307,51307,34499,34499,45670,45670,30749,30749,38391,38391,12195,12195,17341,17341,115449,115449,14773,14773,62266,62266,9514,9514,40312,40312,74479,74479,7011,7011,225125,225125,12094,12094,11769,11769,15681,15681,8660,8660,34735,34735,18443,18443,37099,37099,28322,28322,19800,19800,36077,36077,12903,12903,17881,17881,66899,66899,18150,18150,21823,21823,11697,11697,23182,23182,21298,21298,52981,52981,30004,30004,34476,34476,42012,42012,23843,23843,14003,14003,21122,21122,84062,84062,40988,40988,20242,20242,60129,60129,12744,12744,31834,31834,56506,56506,7287,7287,14448,14448,1824,1824,29291,29291,14986,14986,8962,8962,48715,48715
31,55504,55504,16197,16197,61376,61376,19440,19440,126294,126294,24546,24546,11921,11921,16817,16817,17928,17928,18819,18819,29694,29694,14195,14195,13988,13988,21250,21250,22618,22618,20114,20114,8202,8202,22486,22486,20291,20291,27233,27233,30215,30215,12448,12448,12109,12109,16012,16012,31715,31715,7057,7057,120830,120830,29132,29132,21742,21742,55153,55153,20674,20674,13586,13586,32823,32823,4524,4524,14243,14243,34226,34226,49896,49896,34555,34555,40043,40043,29684,29684,38197,38197,11788,11788,17002,17002,112653,112653,14291,14291,61469,61469,9818,9818,39970,39970,75978,75978,6560,6560,228765,228765,12546,12546,11248,11248,14942,14942,8496,8496,34567,34567,17804,17804,36069,36069,27722,27722,20407,20407,35178,35178,12245,12245,17609,17609,66004,66004,17627,17627,21468,21468,11528,11528,22696,22696,20999,20999,53640,53640,28895,28895,33763,33763,44394,44394,24759,24759,14089,14089,20309,20309,82423,82423,40754,40754,20304,20304,59623,59623,12493,12493,33127,33127,57135,57135,7162,7162,14528,14528,2039,2039,29029,29029,15006,15006,9108,9108,48180,48180
32,54622,54622,15505,15505,59094,59094,19077,19077,124685,124685,24431,24431,11202,11202,17069,17069,17389,17389,29060,29060,30193,30193,14459,14459,13813,13813,21206,21206,22771,22771,19646,19646,7789,7789,22495,22495,14359,14359,28602,28602,28503,28503,12135,12135,12460,12460,16227,16227,31844,31844,6935,6935,119680,119680,27561,27561,21374,21374,58149,58149,20992,20992,13162,13162,32917,32917,4670,4670,14101,14101,34516,34516,47856,47856,34954,34954,38570,38570,29840,29840,38736,38736,12191,12191,17100,17100,110112,110112,13892,13892,62371,62371,9520,9520,40977,40977,78470,78470,6740,6740,233034,233034,12210,12210,11091,11091,15398,15398,8619,8619,33788,33788,17864,17864,35703,35703,27458,27458,20489,20489,33288,33288,12310,12310,17367,17367,65312,65312,17777,17777,20781,20781,11236,11236,22664,22664,21189,21189,51823,51823,28250,28250,33431,33431,47231,47231,24541,24541,13914,13914,19923,19923,80997,80997,40479,40479,19919,19919,59770,59770,12216,12216,32988,32988,56635,56635,7298,7298,13555,13555,1638,1638,28028,28028,14490,14490,8544,8544,46973,46973
33,54985,54985,15728,15728,54286,54286,18565,18565,121540,121540,22375,22375,11223,11223,16819,16819,16369,16369,23127,23127,29214,29214,14529,14529,14207,14207,21333,21333,22213,22213,18822,18822,8057,8057,22453,22453,15424,15424,27523,27523,34677,34677,12171,12171,12202,12202,15856,15856,31983,31983,6677,6677,108639,108639,26956,26956,21186,21186,50807,50807,20464,20464,13489,13489,31858,31858,4687,4687,13949,13949,33662,33662,46595,46595,35384,35384,38531,38531,30551,30551,37962,37962,12157,12157,16680,16680,111564,111564,13750,13750,62185,62185,9396,9396,39250,39250,76913,76913,6415,6415,232480,232480,12247,12247,10889,10889,14844,14844,8233,8233,33240,33240,17822,17822,35020,35020,26689,26689,20594,20594,32788,32788,12075,12075,16672,16672,64657,64657,17323,17323,20198,20198,11207,11207,22629,22629,20505,20505,53950,53950,28036,28036,32078,32078,47493,47493,24479,24479,13956,13956,19742,19742,79750,79750,39472,39472,19697,19697,61123,61123,12050,12050,33542,33542,55014,55014,6915,6915,13747,13747,1577,1577,28758,28758,14623,14623,8552,8552,46519,46519
