 ,IntDen1,RawIntDen1,IntDen2,RawIntDen2,IntDen3,RawIntDen3,IntDen4,RawIntDen4,IntDen5,RawIntDen5,IntDen6,RawIntDen6,IntDen7,RawIntDen7,IntDen8,RawIntDen8,IntDen9,RawIntDen9,IntDen10,RawIntDen10,IntDen11,RawIntDen11,IntDen12,RawIntDen12,IntDen13,RawIntDen13,IntDen14,RawIntDen14,IntDen15,RawIntDen15,IntDen16,RawIntDen16,IntDen17,RawIntDen17,IntDen18,RawIntDen18,IntDen19,RawIntDen19,IntDen20,RawIntDen20,IntDen21,RawIntDen21,IntDen22,RawIntDen22,IntDen23,RawIntDen23,IntDen24,RawIntDen24,IntDen25,RawIntDen25,IntDen26,RawIntDen26,IntDen27,RawIntDen27,IntDen28,RawIntDen28,IntDen29,RawIntDen29,IntDen30,RawIntDen30,IntDen31,RawIntDen31,IntDen32,RawIntDen32,IntDen33,RawIntDen33,IntDen34,RawIntDen34,IntDen35,RawIntDen35,IntDen36,RawIntDen36,IntDen37,RawIntDen37,IntDen38,RawIntDen38,IntDen39,RawIntDen39,IntDen40,RawIntDen40,IntDen41,RawIntDen41,IntDen42,RawIntDen42,IntDen43,RawIntDen43,IntDen44,RawIntDen44,IntDen45,RawIntDen45,IntDen46,RawIntDen46,IntDen47,RawIntDen47,IntDen48,RawIntDen48,IntDen49,RawIntDen49,IntDen50,RawIntDen50,IntDen51,RawIntDen51,IntDen52,RawIntDen52,IntDen53,RawIntDen53
31,27266,27266,32802,32802,18424,18424,158808,158808,30406,30406,59758,59758,56598,56598,17245,17245,36665,36665,95376,95376,53424,53424,40770,40770,19351,19351,12665,12665,59266,59266,17420,17420,28527,28527,99413,99413,97483,97483,59785,59785,51382,51382,18699,18699,43944,43944,43652,43652,42168,42168,16990,16990,43178,43178,49646,49646,45940,45940,89780,89780,78157,78157,20060,20060,100486,100486,13528,13528,81888,81888,39077,39077,183041,183041,28843,28843,76124,76124,88239,88239,36844,36844,74675,74675,54375,54375,74753,74753,9181,9181,79239,79239,154620,154620,98807,98807,19276,19276,54733,54733,23058,23058,39589,39589,30847,30847
32,28084,28084,33773,33773,18466,18466,161080,161080,32790,32790,58914,58914,55645,55645,17467,17467,42117,42117,104675,104675,53058,53058,37869,37869,19020,19020,12502,12502,58965,58965,18090,18090,28052,28052,96440,96440,96390,96390,61138,61138,50237,50237,18415,18415,43610,43610,44347,44347,42105,42105,16429,16429,41958,41958,50243,50243,46810,46810,89816,89816,79256,79256,19714,19714,100171,100171,12778,12778,81847,81847,38930,38930,185337,185337,28426,28426,80020,80020,89226,89226,36959,36959,73961,73961,54319,54319,75546,75546,9102,9102,77544,77544,153189,153189,91191,91191,19237,19237,53920,53920,23055,23055,39840,39840,31660,31660
33,27139,27139,30464,30464,18564,18564,156749,156749,38392,38392,57218,57218,53840,53840,17547,17547,41292,41292,104532,104532,53752,53752,35892,35892,19079,19079,12978,12978,58633,58633,18091,18091,28976,28976,92427,92427,96536,96536,60703,60703,51180,51180,18683,18683,43340,43340,43603,43603,40772,40772,16672,16672,42690,42690,49484,49484,46139,46139,90072,90072,76813,76813,19734,19734,101572,101572,12690,12690,81432,81432,39370,39370,184845,184845,28315,28315,84963,84963,89185,89185,36654,36654,72237,72237,55767,55767,75116,75116,8895,8895,78738,78738,149074,149074,83849,83849,19062,19062,54806,54806,22236,22236,39104,39104,30820,30820
34,26584,26584,29727,29727,18349,18349,164926,164926,42855,42855,57040,57040,53920,53920,17272,17272,39202,39202,112065,112065,54782,54782,35017,35017,19967,19967,12412,12412,58506,58506,18120,18120,28181,28181,93459,93459,97256,97256,60405,60405,51009,51009,18767,18767,42564,42564,43311,43311,41534,41534,17512,17512,47729,47729,59951,59951,48377,48377,90323,90323,77095,77095,19352,19352,102503,102503,13116,13116,80321,80321,38473,38473,183690,183690,29449,29449,90055,90055,89305,89305,36183,36183,72280,72280,53647,53647,74606,74606,8904,8904,77312,77312,147408,147408,77335,77335,19133,19133,53471,53471,22518,22518,38754,38754,31437,31437
35,22759,22759,49090,49090,18533,18533,161288,161288,42189,42189,61591,61591,52535,52535,17185,17185,39061,39061,113635,113635,53729,53729,33594,33594,20230,20230,12513,12513,58532,58532,17888,17888,27461,27461,94330,94330,97139,97139,61113,61113,52634,52634,18716,18716,43035,43035,43523,43523,41976,41976,17023,17023,45354,45354,74384,74384,52250,52250,89826,89826,79909,79909,19281,19281,101747,101747,17282,17282,82246,82246,38614,38614,183068,183068,29941,29941,94209,94209,89678,89678,36265,36265,72540,72540,53718,53718,75968,75968,8931,8931,77546,77546,152369,152369,73209,73209,18893,18893,53921,53921,21994,21994,38794,38794,31048,31048
36,19787,19787,49326,49326,18182,18182,162390,162390,41783,41783,60506,60506,50733,50733,17323,17323,39220,39220,117297,117297,54697,54697,32697,32697,22039,22039,12205,12205,58914,58914,17782,17782,27929,27929,91893,91893,96917,96917,60805,60805,53302,53302,19630,19630,42615,42615,44063,44063,41906,41906,16946,16946,64710,64710,69621,69621,50965,50965,90040,90040,80089,80089,18919,18919,103844,103844,17169,17169,84952,84952,39796,39796,183225,183225,31037,31037,93925,93925,90645,90645,37136,37136,70489,70489,52460,52460,75115,75115,8850,8850,77507,77507,144362,144362,68449,68449,18402,18402,53884,53884,21929,21929,38547,38547,30932,30932
37,18794,18794,47541,47541,18294,18294,166848,166848,41412,41412,58876,58876,49478,49478,16889,16889,43381,43381,130860,130860,54346,54346,31792,31792,18867,18867,12274,12274,57775,57775,17836,17836,28268,28268,99561,99561,96971,96971,61299,61299,51480,51480,20775,20775,42138,42138,44097,44097,40991,40991,17146,17146,71490,71490,67965,67965,50963,50963,92755,92755,91135,91135,18215,18215,113304,113304,16321,16321,84252,84252,39543,39543,184673,184673,30528,30528,95307,95307,90387,90387,35579,35579,70733,70733,52228,52228,75425,75425,8327,8327,76990,76990,143971,143971,65210,65210,18592,18592,53185,53185,21513,21513,37495,37495,30598,30598
38,19620,19620,52658,52658,18253,18253,178498,178498,39030,39030,60301,60301,48665,48665,17203,17203,47925,47925,141441,141441,57847,57847,31948,31948,24178,24178,12080,12080,60678,60678,18147,18147,27450,27450,103166,103166,98083,98083,62694,62694,62458,62458,20422,20422,41496,41496,48232,48232,41741,41741,16736,16736,70474,70474,67506,67506,55918,55918,93703,93703,100854,100854,18504,18504,110572,110572,17685,17685,82902,82902,40302,40302,184221,184221,30394,30394,96056,96056,92398,92398,36046,36046,70327,70327,52108,52108,74634,74634,8597,8597,76155,76155,145126,145126,61457,61457,18239,18239,52703,52703,21652,21652,37073,37073,31340,31340
39,19586,19586,50236,50236,17746,17746,182830,182830,37352,37352,66942,66942,47618,47618,16994,16994,45292,45292,133811,133811,67500,67500,31574,31574,44738,44738,12128,12128,67895,67895,17258,17258,27079,27079,105101,105101,96620,96620,62381,62381,62750,62750,20614,20614,42422,42422,51282,51282,41808,41808,16670,16670,73591,73591,73166,73166,57686,57686,97269,97269,73114,73114,18612,18612,116516,116516,17215,17215,83213,83213,39487,39487,183504,183504,30521,30521,96195,96195,91404,91404,37244,37244,68602,68602,52216,52216,74815,74815,8065,8065,76729,76729,146313,146313,61000,61000,18649,18649,53280,53280,21808,21808,37801,37801,31049,31049
40,20332,20332,48343,48343,18420,18420,180808,180808,36263,36263,72389,72389,47004,47004,16951,16951,47448,47448,130362,130362,67181,67181,32290,32290,43839,43839,12272,12272,70163,70163,17760,17760,26536,26536,115886,115886,97876,97876,62072,62072,66080,66080,21045,21045,43042,43042,55967,55967,42538,42538,17105,17105,73023,73023,70973,70973,56927,56927,109454,109454,75643,75643,17965,17965,119384,119384,16463,16463,83447,83447,40404,40404,186491,186491,31069,31069,99235,99235,91876,91876,37768,37768,69615,69615,51393,51393,74529,74529,8596,8596,76905,76905,145266,145266,59944,59944,18438,18438,53283,53283,21756,21756,37461,37461,30553,30553
