 ,IntDen1,RawIntDen1,IntDen2,RawIntDen2,IntDen3,RawIntDen3,IntDen4,RawIntDen4,IntDen5,RawIntDen5,IntDen6,RawIntDen6,IntDen7,RawIntDen7,IntDen8,RawIntDen8,IntDen9,RawIntDen9,IntDen10,RawIntDen10,IntDen11,RawIntDen11,IntDen12,RawIntDen12,IntDen13,RawIntDen13,IntDen14,RawIntDen14,IntDen15,RawIntDen15,IntDen16,RawIntDen16,IntDen17,RawIntDen17,IntDen18,RawIntDen18,IntDen19,RawIntDen19,IntDen20,RawIntDen20,IntDen21,RawIntDen21,IntDen22,RawIntDen22,IntDen23,RawIntDen23,IntDen24,RawIntDen24,IntDen25,RawIntDen25,IntDen26,RawIntDen26,IntDen27,RawIntDen27,IntDen28,RawIntDen28,IntDen29,RawIntDen29,IntDen30,RawIntDen30,IntDen31,RawIntDen31,IntDen32,RawIntDen32,IntDen33,RawIntDen33,IntDen34,RawIntDen34,IntDen35,RawIntDen35,IntDen36,RawIntDen36,IntDen37,RawIntDen37,IntDen38,RawIntDen38,IntDen39,RawIntDen39,IntDen40,RawIntDen40,IntDen41,RawIntDen41,IntDen42,RawIntDen42,IntDen43,RawIntDen43,IntDen44,RawIntDen44,IntDen45,RawIntDen45,IntDen46,RawIntDen46,IntDen47,RawIntDen47,IntDen48,RawIntDen48,IntDen49,RawIntDen49,IntDen50,RawIntDen50,IntDen51,RawIntDen51,IntDen52,RawIntDen52,IntDen53,RawIntDen53
11,20212,20212,30128,30128,20480,20480,149270,149270,24624,24624,72995,72995,52267,52267,18177,18177,36547,36547,83556,83556,60909,60909,30542,30542,18942,18942,12109,12109,57437,57437,17088,17088,30759,30759,88571,88571,96447,96447,65091,65091,55363,55363,19371,19371,55953,55953,45027,45027,43713,43713,16034,16034,43186,43186,49848,49848,47049,47049,97028,97028,93100,93100,25130,25130,95284,95284,12638,12638,85675,85675,39581,39581,159106,159106,39521,39521,66695,66695,80012,80012,35563,35563,100833,100833,43742,43742,81782,81782,12024,12024,87540,87540,179892,179892,127488,127488,24036,24036,75476,75476,29268,29268,48426,48426,48052,48052
12,20234,20234,29594,29594,19150,19150,154122,154122,24662,24662,73574,73574,54497,54497,17507,17507,36104,36104,83182,83182,59573,59573,31004,31004,19655,19655,11382,11382,60859,60859,15851,15851,29195,29195,82997,82997,98227,98227,65149,65149,55856,55856,19020,19020,55267,55267,42778,42778,42828,42828,15839,15839,44345,44345,50125,50125,45173,45173,93982,93982,92917,92917,24251,24251,97911,97911,12446,12446,83567,83567,40408,40408,160592,160592,40413,40413,66891,66891,81278,81278,36617,36617,99955,99955,46196,46196,77453,77453,11795,11795,82068,82068,173270,173270,102714,102714,22494,22494,61886,61886,27389,27389,40578,40578,40679,40679
13,19359,19359,29633,29633,19242,19242,156255,156255,25009,25009,73363,73363,55773,55773,17674,17674,36158,36158,84143,84143,57128,57128,31013,31013,19721,19721,11565,11565,61787,61787,16596,16596,30010,30010,83327,83327,100713,100713,64883,64883,55837,55837,19083,19083,55486,55486,41927,41927,42713,42713,15703,15703,42938,42938,48955,48955,45082,45082,94961,94961,91431,91431,24427,24427,99455,99455,12477,12477,84204,84204,39640,39640,161224,161224,38698,38698,67552,67552,81177,81177,36901,36901,100638,100638,47271,47271,77881,77881,11798,11798,82247,82247,177792,177792,102491,102491,22490,22490,61843,61843,27397,27397,41080,41080,39532,39532
14,18678,18678,28956,28956,18942,18942,155364,155364,24496,24496,72503,72503,53966,53966,17300,17300,36377,36377,84139,84139,54730,54730,30948,30948,18882,18882,11200,11200,59771,59771,16859,16859,30274,30274,83973,83973,101074,101074,62932,62932,55429,55429,19206,19206,54164,54164,41540,41540,42856,42856,15831,15831,43157,43157,49638,49638,45914,45914,91909,91909,90479,90479,24459,24459,98686,98686,12388,12388,84083,84083,39043,39043,159723,159723,38574,38574,66397,66397,80700,80700,36612,36612,100722,100722,44980,44980,77827,77827,11072,11072,83689,83689,181331,181331,103804,103804,22404,22404,62932,62932,26856,26856,41186,41186,39121,39121
15,17768,17768,28680,28680,18978,18978,155177,155177,24503,24503,72424,72424,54799,54799,17095,17095,35579,35579,83600,83600,54107,54107,30556,30556,18863,18863,11441,11441,59711,59711,16842,16842,29676,29676,85824,85824,99521,99521,61747,61747,55004,55004,19209,19209,52641,52641,41656,41656,42746,42746,15997,15997,41915,41915,49191,49191,44898,44898,91052,91052,89873,89873,23704,23704,98140,98140,12409,12409,82917,82917,38689,38689,161576,161576,38006,38006,66468,66468,79782,79782,36237,36237,97551,97551,44869,44869,77814,77814,11456,11456,83820,83820,175099,175099,104789,104789,21851,21851,62106,62106,26987,26987,41471,41471,36719,36719
16,18248,18248,28758,28758,19162,19162,156461,156461,24305,24305,75214,75214,54419,54419,17329,17329,36217,36217,85460,85460,54313,54313,30348,30348,18490,18490,11293,11293,60447,60447,16926,16926,29812,29812,83929,83929,101314,101314,61649,61649,54549,54549,19139,19139,52386,52386,41748,41748,43634,43634,16306,16306,42616,42616,49402,49402,44761,44761,90470,90470,88956,88956,23613,23613,97561,97561,12098,12098,84235,84235,38641,38641,161582,161582,36680,36680,67275,67275,79654,79654,35415,35415,95814,95814,47539,47539,77442,77442,11053,11053,84498,84498,171732,171732,102687,102687,21866,21866,60884,60884,26887,26887,39910,39910,36078,36078
17,17934,17934,28896,28896,19121,19121,159974,159974,24968,24968,75425,75425,56132,56132,17706,17706,35761,35761,85159,85159,54854,54854,29837,29837,18833,18833,11475,11475,59924,59924,16763,16763,29821,29821,85263,85263,100567,100567,61014,61014,53694,53694,18685,18685,51818,51818,40785,40785,43128,43128,15810,15810,41994,41994,49254,49254,45824,45824,90450,90450,86390,86390,23505,23505,98344,98344,11904,11904,82715,82715,38829,38829,164625,164625,35100,35100,66541,66541,80828,80828,36620,36620,93953,93953,47199,47199,77387,77387,10709,10709,84063,84063,169400,169400,102738,102738,21509,21509,60680,60680,26784,26784,39579,39579,35177,35177
18,18577,18577,28348,28348,18882,18882,163764,163764,24169,24169,74640,74640,57501,57501,17163,17163,35997,35997,88803,88803,53487,53487,29157,29157,19000,19000,11283,11283,60224,60224,16807,16807,29669,29669,85396,85396,102299,102299,59835,59835,54019,54019,19243,19243,50063,50063,40914,40914,42705,42705,15915,15915,41736,41736,49590,49590,44160,44160,88739,88739,87005,87005,23681,23681,97761,97761,11842,11842,82936,82936,38569,38569,165020,165020,34590,34590,67133,67133,81453,81453,35708,35708,91881,91881,48170,48170,76343,76343,10783,10783,82940,82940,167066,167066,102027,102027,21598,21598,59387,59387,25569,25569,39548,39548,34698,34698
19,18149,18149,28121,28121,18760,18760,167957,167957,23782,23782,75202,75202,59256,59256,17106,17106,36454,36454,99602,99602,53817,53817,29571,29571,18958,18958,11522,11522,58911,58911,17170,17170,30000,30000,86727,86727,101674,101674,59570,59570,53300,53300,19190,19190,50640,50640,41227,41227,43295,43295,16736,16736,41712,41712,50610,50610,45114,45114,88778,88778,85213,85213,23245,23245,99285,99285,11996,11996,82175,82175,38996,38996,171003,171003,34008,34008,67764,67764,79565,79565,36280,36280,90387,90387,47591,47591,77329,77329,10633,10633,83721,83721,166711,166711,102554,102554,21734,21734,60438,60438,25613,25613,38371,38371,33903,33903
20,18373,18373,28650,28650,18741,18741,170180,170180,23671,23671,74350,74350,60233,60233,17476,17476,40020,40020,111961,111961,52871,52871,30457,30457,18881,18881,11424,11424,59101,59101,17227,17227,29630,29630,88554,88554,103178,103178,58873,58873,53158,53158,19047,19047,49090,49090,41997,41997,42756,42756,16642,16642,42605,42605,52319,52319,44975,44975,88614,88614,84038,84038,23132,23132,99421,99421,11649,11649,81875,81875,38510,38510,177980,177980,32600,32600,66135,66135,81035,81035,36208,36208,87941,87941,46856,46856,76633,76633,10911,10911,82729,82729,169870,169870,101364,101364,21056,21056,59986,59986,25943,25943,38962,38962,34014,34014
