 ,IntDen1,RawIntDen1,IntDen2,RawIntDen2,IntDen3,RawIntDen3,IntDen4,RawIntDen4,IntDen5,RawIntDen5,IntDen6,RawIntDen6,IntDen7,RawIntDen7,IntDen8,RawIntDen8,IntDen9,RawIntDen9,IntDen10,RawIntDen10,IntDen11,RawIntDen11,IntDen12,RawIntDen12,IntDen13,RawIntDen13,IntDen14,RawIntDen14,IntDen15,RawIntDen15,IntDen16,RawIntDen16,IntDen17,RawIntDen17,IntDen18,RawIntDen18,IntDen19,RawIntDen19,IntDen20,RawIntDen20,IntDen21,RawIntDen21,IntDen22,RawIntDen22,IntDen23,RawIntDen23,IntDen24,RawIntDen24,IntDen25,RawIntDen25,IntDen26,RawIntDen26,IntDen27,RawIntDen27,IntDen28,RawIntDen28,IntDen29,RawIntDen29,IntDen30,RawIntDen30,IntDen31,RawIntDen31,IntDen32,RawIntDen32,IntDen33,RawIntDen33,IntDen34,RawIntDen34,IntDen35,RawIntDen35,IntDen36,RawIntDen36,IntDen37,RawIntDen37,IntDen38,RawIntDen38,IntDen39,RawIntDen39,IntDen40,RawIntDen40,IntDen41,RawIntDen41,IntDen42,RawIntDen42,IntDen43,RawIntDen43,IntDen44,RawIntDen44,IntDen45,RawIntDen45,IntDen46,RawIntDen46,IntDen47,RawIntDen47,IntDen48,RawIntDen48,IntDen49,RawIntDen49,IntDen50,RawIntDen50,IntDen51,RawIntDen51,IntDen52,RawIntDen52,IntDen53,RawIntDen53,IntDen54,RawIntDen54,IntDen55,RawIntDen55,IntDen56,RawIntDen56,IntDen57,RawIntDen57,IntDen58,RawIntDen58,IntDen59,RawIntDen59,IntDen60,RawIntDen60,IntDen61,RawIntDen61,IntDen62,RawIntDen62,IntDen63,RawIntDen63,IntDen64,RawIntDen64,IntDen65,RawIntDen65,IntDen66,RawIntDen66,IntDen67,RawIntDen67,IntDen68,RawIntDen68,IntDen69,RawIntDen69,IntDen70,RawIntDen70,IntDen71,RawIntDen71,IntDen72,RawIntDen72,IntDen73,RawIntDen73,IntDen74,RawIntDen74,IntDen75,RawIntDen75,IntDen76,RawIntDen76,IntDen77,RawIntDen77,IntDen78,RawIntDen78,IntDen79,RawIntDen79,IntDen80,RawIntDen80
21,43067,43067,46568,46568,14173,14173,20109,20109,19688,19688,20013,20013,23414,23414,19408,19408,16259,16259,28243,28243,38742,38742,16931,16931,12966,12966,21907,21907,22532,22532,34317,34317,12993,12993,36165,36165,26841,26841,69581,69581,23870,23870,21379,21379,62193,62193,26096,26096,25335,25335,16163,16163,44651,44651,31814,31814,34620,34620,63908,63908,36886,36886,34097,34097,278351,278351,10005,10005,32419,32419,26922,26922,31519,31519,37172,37172,17476,17476,129133,129133,32864,32864,16061,16061,23469,23469,11748,11748,38562,38562,6971,6971,85552,85552,26420,26420,32199,32199,47672,47672,7003,7003,35478,35478,25011,25011,90828,90828,18481,18481,26971,26971,10921,10921,27489,27489,17868,17868,36723,36723,35072,35072,21924,21924,16693,16693,17893,17893,72182,72182,82283,82283,16755,16755,30452,30452,28263,28263,91738,91738,16285,16285,24478,24478,40049,40049,52051,52051,85721,85721,18015,18015,46440,46440,27483,27483,29586,29586,30424,30424
22,43125,43125,46657,46657,13985,13985,19898,19898,20835,20835,20800,20800,24306,24306,19912,19912,15705,15705,28571,28571,40152,40152,16847,16847,13058,13058,21283,21283,22111,22111,34968,34968,12802,12802,36719,36719,26757,26757,69293,69293,24868,24868,21746,21746,62374,62374,26250,26250,24616,24616,16928,16928,35267,35267,33146,33146,34944,34944,62654,62654,35456,35456,34637,34637,286660,286660,9758,9758,32726,32726,45995,45995,30940,30940,37246,37246,17899,17899,130243,130243,32821,32821,16354,16354,23667,23667,11778,11778,38595,38595,7030,7030,83519,83519,27146,27146,34021,34021,47602,47602,7374,7374,35335,35335,24394,24394,76448,76448,18456,18456,28398,28398,10833,10833,28100,28100,18037,18037,36818,36818,35173,35173,23100,23100,20198,20198,18147,18147,72194,72194,83433,83433,16989,16989,30620,30620,28176,28176,93807,93807,19039,19039,25152,25152,46522,46522,52849,52849,83512,83512,18290,18290,46220,46220,27723,27723,29612,29612,31149,31149
23,42870,42870,47371,47371,13948,13948,20131,20131,26883,26883,20404,20404,24031,24031,20526,20526,15960,15960,27969,27969,42695,42695,15992,15992,13384,13384,21013,21013,22750,22750,33989,33989,11799,11799,36672,36672,26905,26905,70266,70266,24279,24279,21100,21100,63315,63315,25844,25844,24673,24673,16823,16823,31699,31699,31637,31637,35289,35289,62845,62845,35829,35829,34070,34070,291482,291482,10044,10044,32954,32954,66837,66837,30519,30519,37996,37996,17926,17926,130592,130592,32122,32122,16154,16154,24083,24083,11593,11593,38242,38242,7067,7067,79332,79332,26914,26914,36890,36890,47097,47097,7116,7116,36540,36540,24943,24943,73673,73673,18500,18500,52019,52019,11048,11048,26997,26997,17706,17706,37067,37067,35630,35630,22658,22658,35848,35848,18168,18168,73186,73186,82467,82467,17906,17906,30526,30526,29609,29609,95678,95678,26007,26007,24194,24194,70091,70091,53619,53619,77504,77504,18169,18169,46079,46079,27740,27740,29838,29838,31740,31740
24,41715,41715,46958,46958,13711,13711,20234,20234,55482,55482,20500,20500,24023,24023,26379,26379,16865,16865,28173,28173,42233,42233,16852,16852,13065,13065,20551,20551,22291,22291,36877,36877,11361,11361,36350,36350,28439,28439,70262,70262,24719,24719,22181,22181,64196,64196,25965,25965,23560,23560,16116,16116,32412,32412,31790,31790,34989,34989,62681,62681,34861,34861,34705,34705,304035,304035,10224,10224,33575,33575,64232,64232,30526,30526,37545,37545,17578,17578,129899,129899,32763,32763,16095,16095,23604,23604,11577,11577,37444,37444,7177,7177,75978,75978,26379,26379,42487,42487,45608,45608,6999,6999,35628,35628,23461,23461,78031,78031,18162,18162,31954,31954,10732,10732,26683,26683,17757,17757,36487,36487,35733,35733,24698,24698,26045,26045,17773,17773,72256,72256,82505,82505,18269,18269,30614,30614,33713,33713,96505,96505,22566,22566,25520,25520,79984,79984,52557,52557,73636,73636,17583,17583,45180,45180,27207,27207,30571,30571,31188,31188
25,41850,41850,46671,46671,13579,13579,19842,19842,58153,58153,20351,20351,23214,23214,29035,29035,16268,16268,27771,27771,42415,42415,16086,16086,12719,12719,20375,20375,22031,22031,42576,42576,11214,11214,36478,36478,30517,30517,69511,69511,24726,24726,21491,21491,62946,62946,25858,25858,22965,22965,16769,16769,37955,37955,30723,30723,35855,35855,61111,61111,35347,35347,34924,34924,309960,309960,10337,10337,34428,34428,54158,54158,29987,29987,37764,37764,17485,17485,130572,130572,32666,32666,16784,16784,23656,23656,11303,11303,36703,36703,7287,7287,74329,74329,26306,26306,42217,42217,45268,45268,7198,7198,36074,36074,21862,21862,80120,80120,18746,18746,28154,28154,10653,10653,26345,26345,17186,17186,37532,37532,37133,37133,26983,26983,22345,22345,18464,18464,73624,73624,82304,82304,19925,19925,30649,30649,34428,34428,97816,97816,20137,20137,25788,25788,69322,69322,52169,52169,75298,75298,17664,17664,44237,44237,28208,28208,30994,30994,32104,32104
26,40951,40951,46570,46570,13011,13011,19776,19776,38564,38564,19967,19967,23349,23349,26156,26156,15479,15479,27504,27504,41627,41627,16633,16633,13097,13097,19934,19934,23227,23227,44105,44105,10639,10639,36416,36416,30870,30870,68577,68577,24325,24325,21852,21852,64690,64690,25776,25776,22739,22739,16277,16277,42938,42938,30235,30235,36443,36443,60117,60117,34623,34623,34252,34252,324461,324461,10234,10234,33829,33829,68346,68346,30012,30012,36975,36975,16978,16978,130185,130185,32511,32511,15972,15972,23834,23834,11433,11433,33679,33679,8908,8908,72468,72468,26210,26210,42792,42792,46100,46100,7172,7172,36133,36133,20400,20400,81308,81308,18592,18592,32658,32658,10934,10934,24260,24260,17968,17968,37620,37620,36656,36656,36379,36379,20391,20391,18400,18400,73124,73124,82211,82211,33414,33414,30582,30582,34768,34768,96987,96987,18776,18776,25515,25515,65753,65753,52761,52761,75449,75449,17208,17208,44749,44749,28118,28118,30308,30308,31711,31711
27,40165,40165,46043,46043,12889,12889,19713,19713,21364,21364,20301,20301,22897,22897,21086,21086,15132,15132,28227,28227,40999,40999,15725,15725,12981,12981,19733,19733,23897,23897,43516,43516,10074,10074,35556,35556,30490,30490,69873,69873,24762,24762,21950,21950,64961,64961,25320,25320,21697,21697,16002,16002,41605,41605,30175,30175,36812,36812,60219,60219,34548,34548,34446,34446,334751,334751,9926,9926,33753,33753,70749,70749,29677,29677,37994,37994,17207,17207,129332,129332,33147,33147,16060,16060,23841,23841,11462,11462,29098,29098,8807,8807,69275,69275,25774,25774,42135,42135,45560,45560,7180,7180,35673,35673,19332,19332,80379,80379,18020,18020,56999,56999,10721,10721,22674,22674,17967,17967,39323,39323,36879,36879,39690,39690,19899,19899,18337,18337,73042,73042,80487,80487,29397,29397,30456,30456,34402,34402,94774,94774,18585,18585,25369,25369,65818,65818,53364,53364,75194,75194,17460,17460,42237,42237,28353,28353,30970,30970,31334,31334
28,40598,40598,45251,45251,12556,12556,19613,19613,22502,22502,19877,19877,23809,23809,19924,19924,15181,15181,27569,27569,41445,41445,15500,15500,12865,12865,19296,19296,23445,23445,43347,43347,9827,9827,35872,35872,30738,30738,68442,68442,24496,24496,21872,21872,64487,64487,25564,25564,22448,22448,16202,16202,37293,37293,29673,29673,38279,38279,62465,62465,35076,35076,35372,35372,329688,329688,9503,9503,34569,34569,67715,67715,28680,28680,37549,37549,17529,17529,127856,127856,32398,32398,15620,15620,23477,23477,11264,11264,26553,26553,8581,8581,67760,67760,25422,25422,42236,42236,44540,44540,7380,7380,35110,35110,19162,19162,83103,83103,18219,18219,46782,46782,10576,10576,21684,21684,17926,17926,43269,43269,36960,36960,38486,38486,18414,18414,18000,18000,74074,74074,81457,81457,24688,24688,30684,30684,33924,33924,96264,96264,18245,18245,28060,28060,83568,83568,54151,54151,74964,74964,16651,16651,41961,41961,29092,29092,30334,30334,30555,30555
29,38541,38541,45336,45336,12750,12750,19205,19205,44052,44052,19426,19426,23815,23815,24683,24683,15298,15298,27412,27412,40788,40788,15906,15906,13362,13362,18867,18867,23432,23432,44185,44185,9636,9636,35862,35862,31218,31218,69220,69220,24640,24640,21879,21879,63707,63707,24583,24583,20537,20537,16380,16380,34565,34565,29971,29971,37813,37813,63932,63932,36175,36175,34882,34882,328279,328279,9255,9255,34718,34718,62752,62752,28474,28474,37965,37965,17408,17408,126369,126369,32600,32600,15822,15822,23398,23398,11170,11170,24129,24129,9024,9024,66673,66673,24598,24598,42266,42266,44451,44451,7522,7522,35376,35376,17913,17913,94073,94073,18212,18212,45906,45906,10468,10468,21619,21619,17294,17294,56382,56382,37588,37588,38259,38259,17711,17711,18125,18125,79250,79250,80869,80869,22925,22925,30010,30010,34231,34231,95918,95918,18635,18635,42357,42357,109414,109414,53684,53684,74096,74096,16417,16417,41638,41638,30080,30080,30621,30621,30473,30473
30,38373,38373,46106,46106,12646,12646,18949,18949,58433,58433,19801,19801,24723,24723,28500,28500,15810,15810,27586,27586,40806,40806,16074,16074,12973,12973,18779,18779,23270,23270,43861,43861,9530,9530,35109,35109,31575,31575,68384,68384,24459,24459,21878,21878,65461,65461,23753,23753,20397,20397,15939,15939,32118,32118,30640,30640,39319,39319,62623,62623,40071,40071,35053,35053,331702,331702,9118,9118,34816,34816,69876,69876,28308,28308,36972,36972,17433,17433,127350,127350,32725,32725,15901,15901,24025,24025,11110,11110,22972,22972,12037,12037,67077,67077,24188,24188,44953,44953,42899,42899,7481,7481,34946,34946,19129,19129,96591,96591,18844,18844,46635,46635,10463,10463,20478,20478,18331,18331,93287,93287,37390,37390,38288,38288,17213,17213,18357,18357,86084,86084,79901,79901,22144,22144,30230,30230,34137,34137,94381,94381,18014,18014,35088,35088,88173,88173,53714,53714,71156,71156,16790,16790,41365,41365,30015,30015,30622,30622,31249,31249
31,36973,36973,45759,45759,12120,12120,18961,18961,52345,52345,19157,19157,24064,24064,25659,25659,15396,15396,28064,28064,39248,39248,15767,15767,12946,12946,18221,18221,23904,23904,43669,43669,9624,9624,34868,34868,30800,30800,68911,68911,24788,24788,22244,22244,70440,70440,23690,23690,19805,19805,16101,16101,29322,29322,30368,30368,38915,38915,62120,62120,43010,43010,35331,35331,336782,336782,9146,9146,35685,35685,67785,67785,28031,28031,39196,39196,16904,16904,124400,124400,32203,32203,15806,15806,23379,23379,10987,10987,22060,22060,16434,16434,66155,66155,23063,23063,45614,45614,42510,42510,7601,7601,34352,34352,18858,18858,98964,98964,18790,18790,48187,48187,9963,9963,20006,20006,19409,19409,119130,119130,37142,37142,38405,38405,16590,16590,17808,17808,88725,88725,80358,80358,21169,21169,29489,29489,33675,33675,93121,93121,16687,16687,32339,32339,61651,61651,54246,54246,69906,69906,16570,16570,40075,40075,29551,29551,30230,30230,30661,30661
32,36629,36629,44659,44659,12033,12033,19301,19301,27744,27744,19242,19242,23019,23019,21834,21834,14465,14465,27929,27929,38962,38962,16005,16005,12841,12841,17622,17622,23321,23321,43835,43835,9300,9300,34259,34259,31212,31212,69478,69478,24511,24511,21488,21488,79049,79049,23845,23845,19641,19641,15668,15668,29408,29408,30530,30530,39462,39462,61228,61228,44253,44253,35237,35237,345659,345659,8760,8760,35531,35531,52491,52491,27156,27156,38024,38024,16387,16387,123078,123078,32914,32914,15824,15824,22878,22878,11305,11305,21822,21822,13173,13173,63963,63963,22123,22123,44951,44951,42259,42259,8141,8141,34791,34791,22318,22318,97627,97627,19195,19195,48062,48062,9705,9705,19834,19834,25981,25981,117974,117974,38100,38100,37532,37532,16934,16934,18092,18092,90333,90333,79946,79946,21382,21382,29996,29996,32632,32632,94787,94787,16744,16744,32091,32091,58493,58493,54605,54605,68327,68327,15850,15850,39636,39636,29578,29578,30566,30566,29840,29840
