 ,IntDen1,RawIntDen1,IntDen2,RawIntDen2,IntDen3,RawIntDen3,IntDen4,RawIntDen4,IntDen5,RawIntDen5,IntDen6,RawIntDen6,IntDen7,RawIntDen7,IntDen8,RawIntDen8,IntDen9,RawIntDen9,IntDen10,RawIntDen10,IntDen11,RawIntDen11,IntDen12,RawIntDen12,IntDen13,RawIntDen13,IntDen14,RawIntDen14,IntDen15,RawIntDen15,IntDen16,RawIntDen16,IntDen17,RawIntDen17,IntDen18,RawIntDen18,IntDen19,RawIntDen19,IntDen20,RawIntDen20,IntDen21,RawIntDen21,IntDen22,RawIntDen22,IntDen23,RawIntDen23,IntDen24,RawIntDen24,IntDen25,RawIntDen25,IntDen26,RawIntDen26,IntDen27,RawIntDen27,IntDen28,RawIntDen28,IntDen29,RawIntDen29,IntDen30,RawIntDen30,IntDen31,RawIntDen31,IntDen32,RawIntDen32,IntDen33,RawIntDen33,IntDen34,RawIntDen34,IntDen35,RawIntDen35,IntDen36,RawIntDen36,IntDen37,RawIntDen37,IntDen38,RawIntDen38,IntDen39,RawIntDen39,IntDen40,RawIntDen40,IntDen41,RawIntDen41,IntDen42,RawIntDen42,IntDen43,RawIntDen43,IntDen44,RawIntDen44,IntDen45,RawIntDen45,IntDen46,RawIntDen46,IntDen47,RawIntDen47,IntDen48,RawIntDen48,IntDen49,RawIntDen49,IntDen50,RawIntDen50,IntDen51,RawIntDen51,IntDen52,RawIntDen52,IntDen53,RawIntDen53,IntDen54,RawIntDen54,IntDen55,RawIntDen55,IntDen56,RawIntDen56,IntDen57,RawIntDen57,IntDen58,RawIntDen58,IntDen59,RawIntDen59,IntDen60,RawIntDen60,IntDen61,RawIntDen61,IntDen62,RawIntDen62,IntDen63,RawIntDen63,IntDen64,RawIntDen64,IntDen65,RawIntDen65,IntDen66,RawIntDen66,IntDen67,RawIntDen67,IntDen68,RawIntDen68,IntDen69,RawIntDen69,IntDen70,RawIntDen70,IntDen71,RawIntDen71,IntDen72,RawIntDen72,IntDen73,RawIntDen73
18,9908,9908,19527,19527,72573,72573,19546,19546,47458,47458,32570,32570,7951,7951,391,391,16952,16952,79679,79679,76823,76823,40864,40864,28140,28140,121630,121630,37404,37404,33836,33836,27036,27036,5269,5269,68407,68407,2254,2254,30611,30611,24712,24712,19694,19694,44303,44303,11256,11256,13589,13589,60567,60567,88458,88458,18204,18204,3675,3675,35780,35780,21596,21596,5196,5196,130432,130432,82293,82293,171780,171780,6244,6244,4439,4439,154957,154957,9421,9421,10043,10043,5076,5076,8884,8884,174588,174588,34663,34663,13787,13787,8123,8123,14304,14304,5850,5850,6396,6396,7765,7765,104938,104938,6606,6606,16997,16997,69742,69742,4986,4986,21658,21658,23771,23771,140618,140618,38982,38982,96975,96975,53997,53997,126936,126936,16273,16273,37830,37830,12430,12430,48286,48286,4796,4796,24064,24064,18023,18023,8777,8777,8155,8155,9240,9240
19,9304,9304,18950,18950,71702,71702,19551,19551,45617,45617,32244,32244,8188,8188,474,474,16321,16321,78898,78898,78959,78959,40378,40378,28256,28256,130884,130884,36674,36674,46809,46809,27723,27723,5504,5504,66847,66847,2107,2107,29888,29888,23823,23823,19268,19268,48303,48303,11018,11018,12861,12861,61089,61089,89021,89021,18152,18152,3848,3848,35651,35651,21549,21549,5227,5227,132488,132488,81250,81250,170101,170101,6341,6341,4451,4451,152091,152091,9256,9256,10082,10082,4959,4959,8280,8280,172483,172483,34545,34545,13834,13834,8233,8233,14562,14562,5479,5479,6528,6528,7865,7865,104834,104834,6599,6599,17163,17163,68789,68789,4869,4869,22057,22057,23992,23992,141572,141572,39933,39933,95333,95333,63003,63003,129150,129150,15762,15762,38325,38325,12519,12519,48709,48709,4683,4683,23705,23705,17863,17863,9080,9080,7989,7989,9210,9210
20,9641,9641,18478,18478,71254,71254,28980,28980,45304,45304,32709,32709,7967,7967,414,414,16485,16485,78206,78206,80420,80420,42113,42113,29232,29232,135693,135693,35851,35851,46866,46866,26658,26658,5092,5092,66292,66292,1955,1955,30103,30103,24396,24396,19692,19692,52487,52487,10654,10654,13208,13208,61244,61244,85778,85778,18098,18098,4093,4093,35555,35555,21885,21885,5268,5268,131055,131055,81073,81073,170727,170727,6840,6840,4408,4408,153264,153264,9244,9244,10070,10070,4938,4938,8303,8303,173749,173749,33464,33464,13706,13706,8198,8198,14806,14806,5694,5694,6546,6546,7952,7952,105686,105686,6424,6424,17276,17276,68769,68769,4785,4785,21484,21484,23342,23342,142270,142270,39148,39148,92613,92613,68155,68155,129677,129677,15725,15725,39042,39042,13062,13062,48625,48625,4950,4950,24371,24371,17921,17921,9047,9047,8313,8313,8990,8990
21,9657,9657,18281,18281,70358,70358,37879,37879,44870,44870,31898,31898,8322,8322,447,447,16924,16924,77378,77378,79531,79531,40205,40205,28178,28178,137077,137077,35717,35717,46032,46032,25790,25790,5353,5353,67062,67062,2122,2122,30005,30005,24055,24055,19565,19565,55603,55603,10933,10933,13007,13007,59658,59658,86881,86881,17767,17767,3874,3874,35296,35296,21637,21637,5222,5222,132825,132825,80841,80841,169354,169354,6348,6348,4526,4526,150885,150885,9561,9561,10415,10415,4690,4690,8528,8528,173539,173539,34295,34295,13755,13755,8220,8220,14639,14639,5331,5331,6534,6534,8088,8088,107630,107630,6401,6401,16907,16907,67144,67144,5069,5069,22129,22129,23854,23854,143774,143774,39700,39700,92089,92089,67565,67565,129297,129297,15379,15379,38530,38530,13223,13223,48447,48447,4926,4926,25293,25293,18113,18113,9014,9014,7889,7889,9254,9254
22,9279,9279,18711,18711,69877,69877,36331,36331,44225,44225,31841,31841,8536,8536,351,351,16398,16398,73506,73506,80258,80258,40524,40524,28481,28481,140437,140437,35356,35356,44945,44945,24727,24727,5551,5551,65298,65298,2029,2029,29782,29782,23691,23691,19078,19078,62170,62170,10328,10328,12894,12894,57273,57273,84424,84424,17442,17442,3920,3920,35192,35192,21721,21721,5040,5040,132508,132508,79965,79965,168465,168465,6265,6265,4468,4468,147533,147533,9060,9060,10149,10149,4822,4822,8257,8257,172415,172415,33261,33261,13408,13408,8369,8369,15158,15158,5627,5627,6454,6454,7755,7755,105399,105399,6536,6536,17281,17281,64898,64898,4706,4706,22024,22024,23388,23388,141693,141693,40008,40008,90386,90386,68264,68264,128785,128785,15519,15519,38760,38760,13300,13300,48020,48020,4853,4853,25579,25579,17792,17792,9020,9020,7748,7748,8751,8751
23,9176,9176,18531,18531,68700,68700,35205,35205,43387,43387,31941,31941,7986,7986,429,429,15799,15799,72630,72630,79634,79634,40909,40909,28406,28406,139694,139694,33548,33548,44451,44451,24676,24676,5239,5239,64962,64962,2216,2216,29627,29627,23700,23700,19213,19213,71337,71337,10197,10197,12828,12828,57029,57029,84027,84027,17385,17385,3900,3900,35031,35031,21933,21933,5393,5393,133984,133984,79178,79178,168887,168887,6615,6615,4330,4330,148837,148837,8873,8873,10320,10320,4622,4622,8284,8284,174832,174832,32075,32075,13196,13196,8345,8345,16212,16212,5596,5596,6329,6329,7634,7634,107115,107115,6444,6444,17234,17234,65990,65990,4584,4584,22470,22470,22816,22816,139728,139728,40541,40541,87781,87781,69753,69753,128390,128390,15677,15677,39316,39316,13171,13171,47680,47680,4959,4959,24566,24566,17150,17150,8861,8861,7882,7882,8678,8678
24,9281,9281,18019,18019,67717,67717,33594,33594,42344,42344,30975,30975,8521,8521,395,395,15962,15962,71763,71763,77432,77432,39966,39966,28367,28367,141752,141752,33492,33492,43593,43593,23573,23573,5284,5284,65120,65120,2047,2047,29190,29190,23545,23545,19029,19029,83020,83020,9758,9758,12747,12747,54675,54675,81455,81455,17425,17425,4055,4055,35012,35012,21761,21761,5047,5047,132714,132714,79353,79353,169500,169500,6662,6662,4406,4406,145529,145529,8895,8895,9943,9943,4822,4822,7895,7895,177815,177815,33369,33369,13514,13514,8176,8176,18541,18541,5424,5424,6493,6493,7631,7631,107896,107896,6394,6394,16764,16764,63768,63768,4703,4703,22113,22113,22892,22892,139539,139539,40828,40828,86299,86299,68347,68347,127109,127109,15476,15476,39577,39577,13246,13246,46928,46928,4680,4680,25111,25111,17605,17605,8678,8678,7632,7632,8872,8872
25,9469,9469,18394,18394,67668,67668,28866,28866,42595,42595,31007,31007,9468,9468,375,375,15993,15993,71262,71262,76419,76419,39692,39692,28932,28932,145140,145140,32961,32961,43873,43873,23402,23402,5332,5332,65247,65247,2133,2133,29390,29390,22716,22716,18874,18874,91261,91261,10265,10265,12997,12997,51930,51930,81342,81342,17048,17048,3898,3898,34884,34884,21958,21958,5148,5148,134942,134942,79602,79602,169721,169721,6844,6844,4280,4280,143740,143740,9084,9084,9996,9996,4801,4801,8045,8045,181655,181655,31699,31699,12980,12980,8021,8021,21005,21005,5250,5250,6373,6373,7715,7715,108751,108751,6187,6187,17072,17072,64461,64461,4886,4886,21983,21983,22766,22766,140922,140922,41754,41754,85351,85351,70190,70190,128439,128439,15192,15192,39923,39923,13004,13004,48012,48012,4366,4366,26104,26104,17332,17332,8804,8804,7499,7499,8873,8873
26,9201,9201,18135,18135,67060,67060,21409,21409,42199,42199,31338,31338,8499,8499,411,411,15578,15578,70467,70467,75615,75615,39451,39451,28202,28202,145591,145591,32232,32232,42724,42724,22831,22831,5382,5382,64818,64818,2057,2057,29206,29206,23107,23107,18427,18427,99059,99059,10300,10300,13065,13065,51166,51166,80480,80480,16718,16718,3839,3839,34732,34732,21381,21381,5053,5053,134651,134651,78309,78309,170120,170120,6602,6602,4373,4373,141339,141339,9066,9066,9826,9826,4554,4554,8084,8084,183092,183092,31490,31490,12592,12592,8149,8149,22321,22321,5168,5168,6284,6284,7903,7903,110238,110238,6502,6502,17110,17110,63116,63116,4576,4576,21524,21524,22017,22017,139228,139228,41075,41075,84228,84228,69521,69521,127175,127175,15009,15009,41223,41223,12509,12509,47559,47559,4641,4641,25647,25647,17053,17053,8936,8936,7620,7620,8770,8770
27,9208,9208,17594,17594,64725,64725,20030,20030,40589,40589,30730,30730,8978,8978,359,359,15202,15202,68419,68419,75452,75452,39408,39408,28064,28064,147850,147850,31330,31330,42755,42755,21725,21725,5261,5261,64958,64958,1912,1912,28592,28592,22706,22706,18305,18305,106019,106019,9714,9714,12616,12616,47818,47818,77844,77844,16601,16601,3745,3745,34581,34581,21684,21684,5043,5043,135087,135087,77617,77617,168851,168851,6296,6296,4345,4345,138726,138726,8926,8926,9883,9883,4674,4674,7843,7843,184644,184644,32293,32293,12320,12320,7994,7994,23048,23048,5410,5410,6142,6142,7867,7867,110565,110565,6254,6254,16321,16321,59673,59673,4165,4165,22175,22175,21865,21865,137806,137806,41111,41111,81806,81806,68587,68587,124964,124964,14431,14431,41478,41478,12308,12308,47075,47075,4375,4375,26409,26409,17071,17071,8778,8778,7476,7476,8804,8804
28,9132,9132,17441,17441,64949,64949,19276,19276,39312,39312,30559,30559,10768,10768,413,413,14928,14928,67026,67026,76529,76529,37184,37184,27930,27930,149943,149943,31520,31520,40752,40752,21146,21146,5666,5666,63994,63994,1958,1958,28293,28293,22246,22246,18169,18169,109778,109778,9810,9810,12256,12256,45160,45160,75411,75411,16040,16040,3678,3678,34011,34011,21928,21928,5115,5115,138352,138352,76038,76038,167949,167949,6534,6534,4053,4053,135051,135051,8642,8642,9834,9834,4434,4434,7412,7412,187736,187736,31576,31576,12606,12606,8031,8031,23155,23155,5129,5129,6181,6181,7871,7871,109916,109916,6246,6246,16346,16346,59064,59064,4724,4724,21565,21565,22032,22032,137542,137542,41987,41987,80755,80755,69238,69238,125980,125980,14666,14666,42544,42544,12696,12696,47327,47327,4464,4464,26623,26623,16879,16879,9070,9070,7254,7254,8594,8594
