 ,IntDen1,RawIntDen1,IntDen2,RawIntDen2,IntDen3,RawIntDen3,IntDen4,RawIntDen4,IntDen5,RawIntDen5,IntDen6,RawIntDen6,IntDen7,RawIntDen7,IntDen8,RawIntDen8,IntDen9,RawIntDen9,IntDen10,RawIntDen10,IntDen11,RawIntDen11,IntDen12,RawIntDen12,IntDen13,RawIntDen13,IntDen14,RawIntDen14,IntDen15,RawIntDen15,IntDen16,RawIntDen16,IntDen17,RawIntDen17,IntDen18,RawIntDen18,IntDen19,RawIntDen19,IntDen20,RawIntDen20,IntDen21,RawIntDen21,IntDen22,RawIntDen22,IntDen23,RawIntDen23,IntDen24,RawIntDen24,IntDen25,RawIntDen25,IntDen26,RawIntDen26,IntDen27,RawIntDen27,IntDen28,RawIntDen28,IntDen29,RawIntDen29,IntDen30,RawIntDen30,IntDen31,RawIntDen31,IntDen32,RawIntDen32,IntDen33,RawIntDen33,IntDen34,RawIntDen34,IntDen35,RawIntDen35,IntDen36,RawIntDen36,IntDen37,RawIntDen37,IntDen38,RawIntDen38,IntDen39,RawIntDen39,IntDen40,RawIntDen40,IntDen41,RawIntDen41,IntDen42,RawIntDen42,IntDen43,RawIntDen43,IntDen44,RawIntDen44,IntDen45,RawIntDen45,IntDen46,RawIntDen46,IntDen47,RawIntDen47,IntDen48,RawIntDen48,IntDen49,RawIntDen49,IntDen50,RawIntDen50,IntDen51,RawIntDen51,IntDen52,RawIntDen52,IntDen53,RawIntDen53,IntDen54,RawIntDen54,IntDen55,RawIntDen55,IntDen56,RawIntDen56,IntDen57,RawIntDen57,IntDen58,RawIntDen58,IntDen59,RawIntDen59,IntDen60,RawIntDen60,IntDen61,RawIntDen61,IntDen62,RawIntDen62,IntDen63,RawIntDen63,IntDen64,RawIntDen64,IntDen65,RawIntDen65,IntDen66,RawIntDen66,IntDen67,RawIntDen67,IntDen68,RawIntDen68,IntDen69,RawIntDen69,IntDen70,RawIntDen70,IntDen71,RawIntDen71,IntDen72,RawIntDen72,IntDen73,RawIntDen73
29,8875,8875,17753,17753,64031,64031,19993,19993,39079,39079,30641,30641,9796,9796,319,319,14959,14959,65808,65808,79860,79860,37667,37667,28130,28130,152851,152851,31129,31129,40890,40890,21274,21274,5498,5498,61522,61522,1999,1999,28489,28489,22025,22025,18139,18139,111621,111621,9653,9653,12221,12221,43292,43292,76270,76270,15900,15900,3648,3648,34423,34423,21869,21869,4938,4938,138034,138034,77048,77048,169598,169598,6329,6329,4327,4327,131707,131707,8817,8817,9943,9943,4559,4559,7860,7860,189017,189017,30817,30817,12440,12440,7785,7785,22368,22368,5057,5057,6223,6223,7826,7826,111465,111465,6202,6202,16552,16552,57900,57900,4645,4645,21472,21472,21858,21858,135832,135832,41521,41521,78618,78618,69429,69429,125657,125657,14603,14603,42726,42726,11998,11998,46462,46462,4179,4179,25653,25653,16643,16643,8716,8716,7326,7326,8762,8762
30,8959,8959,17070,17070,62708,62708,19327,19327,39035,39035,30171,30171,11397,11397,349,349,15199,15199,66787,66787,84024,84024,37228,37228,27804,27804,154527,154527,30797,30797,40395,40395,20823,20823,5615,5615,62717,62717,1888,1888,28248,28248,22159,22159,17918,17918,114720,114720,9838,9838,12243,12243,41390,41390,74258,74258,16274,16274,3654,3654,34390,34390,21130,21130,5231,5231,139863,139863,76756,76756,168934,168934,6121,6121,4216,4216,128588,128588,8875,8875,9684,9684,4707,4707,7537,7537,193036,193036,31419,31419,12119,12119,8428,8428,22043,22043,4865,4865,6392,6392,7695,7695,110152,110152,6579,6579,16172,16172,57024,57024,4458,4458,21487,21487,21446,21446,136386,136386,41582,41582,78056,78056,68276,68276,124621,124621,14385,14385,42993,42993,11948,11948,47114,47114,4423,4423,26441,26441,16550,16550,8686,8686,7280,7280,8348,8348
31,8874,8874,17469,17469,62769,62769,19762,19762,38976,38976,30580,30580,11305,11305,401,401,14866,14866,65698,65698,89542,89542,36922,36922,27570,27570,156118,156118,30941,30941,39319,39319,20122,20122,5489,5489,61901,61901,1911,1911,28246,28246,21550,21550,17593,17593,115214,115214,9523,9523,12121,12121,38899,38899,73250,73250,16116,16116,3757,3757,34562,34562,22078,22078,4765,4765,140699,140699,76407,76407,168972,168972,5982,5982,4027,4027,126037,126037,8879,8879,9904,9904,4579,4579,7606,7606,195643,195643,32332,32332,11853,11853,9234,9234,21016,21016,4878,4878,6272,6272,7476,7476,111105,111105,6069,6069,16420,16420,55148,55148,4832,4832,21439,21439,21338,21338,134428,134428,40525,40525,76101,76101,69669,69669,124818,124818,14268,14268,43295,43295,12056,12056,45907,45907,4389,4389,25603,25603,16222,16222,8688,8688,7243,7243,8250,8250
32,8554,8554,17407,17407,61146,61146,19153,19153,38098,38098,29646,29646,10681,10681,367,367,14861,14861,64527,64527,99069,99069,36471,36471,28471,28471,156934,156934,29522,29522,38672,38672,20251,20251,5570,5570,60390,60390,1860,1860,28189,28189,21307,21307,17128,17128,117987,117987,9515,9515,12146,12146,37395,37395,72460,72460,16074,16074,3761,3761,33555,33555,21469,21469,4874,4874,142161,142161,78318,78318,167707,167707,6245,6245,4223,4223,124174,124174,8588,8588,9825,9825,4658,4658,7482,7482,197423,197423,34983,34983,12207,12207,11439,11439,20548,20548,5020,5020,6466,6466,7460,7460,112651,112651,6122,6122,16240,16240,55757,55757,4466,4466,21420,21420,20850,20850,135702,135702,42170,42170,75440,75440,70011,70011,125946,125946,14086,14086,44179,44179,11816,11816,46578,46578,4244,4244,26041,26041,15890,15890,8683,8683,7047,7047,8270,8270
33,8808,8808,17205,17205,61146,61146,19257,19257,36970,36970,29874,29874,10606,10606,425,425,14263,14263,64388,64388,112735,112735,36701,36701,28127,28127,158224,158224,29944,29944,38684,38684,19183,19183,5539,5539,60216,60216,1961,1961,28539,28539,20953,20953,17818,17818,118823,118823,9160,9160,12144,12144,36156,36156,71155,71155,15992,15992,3555,3555,33228,33228,21094,21094,4950,4950,142109,142109,77964,77964,167139,167139,6209,6209,3945,3945,119962,119962,8841,8841,9684,9684,4552,4552,7035,7035,200503,200503,37848,37848,11772,11772,11487,11487,19778,19778,4786,4786,6554,6554,7930,7930,114278,114278,6054,6054,15933,15933,55422,55422,4261,4261,21394,21394,20681,20681,134786,134786,42786,42786,74002,74002,69646,69646,125357,125357,14136,14136,44171,44171,11880,11880,45783,45783,4212,4212,26502,26502,15683,15683,8346,8346,7046,7046,8456,8456
34,8771,8771,17303,17303,61118,61118,19347,19347,36453,36453,30195,30195,9545,9545,342,342,14679,14679,64270,64270,129854,129854,35512,35512,27999,27999,159287,159287,29572,29572,38689,38689,18903,18903,5595,5595,60372,60372,1974,1974,28007,28007,20846,20846,17058,17058,119042,119042,9447,9447,12299,12299,33870,33870,70364,70364,15711,15711,3720,3720,33185,33185,21671,21671,4869,4869,142698,142698,77894,77894,165530,165530,5883,5883,4127,4127,114119,114119,8372,8372,9678,9678,4568,4568,7165,7165,203687,203687,35584,35584,12328,12328,11307,11307,19252,19252,4886,4886,6467,6467,7848,7848,111507,111507,5924,5924,16081,16081,54746,54746,4300,4300,21345,21345,20695,20695,134425,134425,43035,43035,73308,73308,68553,68553,123860,123860,13546,13546,44124,44124,11503,11503,47079,47079,4424,4424,25526,25526,15635,15635,8568,8568,7030,7030,8161,8161
35,8691,8691,16758,16758,59783,59783,18359,18359,34846,34846,29542,29542,9746,9746,354,354,14722,14722,64573,64573,150533,150533,35582,35582,27505,27505,161161,161161,29699,29699,37562,37562,18507,18507,5681,5681,58977,58977,1951,1951,27673,27673,20818,20818,17111,17111,120306,120306,9019,9019,11725,11725,32614,32614,69087,69087,15726,15726,3572,3572,33263,33263,21659,21659,4953,4953,145014,145014,77953,77953,165089,165089,6162,6162,3952,3952,112174,112174,8564,8564,9463,9463,4483,4483,6943,6943,204801,204801,37151,37151,11662,11662,11428,11428,19256,19256,4701,4701,6243,6243,7769,7769,112680,112680,5918,5918,15887,15887,53852,53852,4358,4358,21274,21274,19954,19954,134161,134161,42629,42629,71417,71417,67006,67006,122499,122499,13713,13713,44864,44864,11401,11401,46347,46347,4002,4002,25055,25055,15415,15415,8492,8492,6690,6690,8204,8204
36,8310,8310,16373,16373,59893,59893,18591,18591,34512,34512,29591,29591,9710,9710,334,334,14522,14522,64026,64026,167091,167091,35977,35977,28135,28135,162022,162022,29374,29374,37746,37746,18506,18506,5626,5626,58744,58744,1875,1875,27702,27702,20504,20504,17184,17184,118752,118752,9115,9115,12001,12001,31854,31854,69092,69092,15335,15335,3757,3757,33258,33258,21238,21238,4901,4901,144973,144973,77195,77195,165880,165880,6362,6362,3815,3815,109899,109899,8338,8338,9505,9505,4219,4219,7078,7078,204985,204985,37998,37998,11793,11793,11486,11486,18727,18727,4679,4679,6510,6510,7308,7308,114458,114458,6026,6026,15926,15926,52217,52217,4468,4468,21041,21041,20079,20079,132758,132758,43092,43092,70766,70766,68179,68179,123176,123176,13483,13483,44937,44937,11747,11747,46048,46048,4266,4266,24243,24243,15723,15723,8649,8649,6835,6835,8253,8253
37,8701,8701,16694,16694,59522,59522,18582,18582,32910,32910,29644,29644,9184,9184,363,363,14214,14214,63740,63740,178263,178263,35072,35072,28349,28349,163733,163733,28561,28561,37351,37351,18645,18645,5382,5382,59008,59008,1836,1836,28241,28241,20316,20316,17001,17001,119921,119921,9116,9116,11974,11974,30545,30545,68853,68853,15105,15105,3342,3342,32910,32910,21463,21463,4825,4825,146169,146169,77278,77278,165449,165449,5960,5960,3874,3874,107595,107595,8048,8048,9804,9804,4018,4018,7011,7011,204820,204820,38179,38179,11531,11531,10865,10865,19504,19504,4728,4728,6273,6273,7815,7815,112977,112977,6112,6112,15584,15584,53101,53101,4209,4209,21264,21264,20238,20238,131748,131748,42357,42357,70215,70215,67696,67696,122911,122911,13281,13281,45799,45799,11086,11086,45926,45926,3983,3983,23192,23192,15489,15489,8580,8580,6815,6815,8123,8123
38,8675,8675,16512,16512,58698,58698,18154,18154,29531,29531,29240,29240,9284,9284,349,349,14105,14105,61877,61877,182392,182392,34022,34022,27952,27952,165828,165828,28628,28628,36813,36813,18883,18883,5355,5355,57826,57826,1885,1885,27710,27710,19450,19450,16709,16709,120941,120941,8659,8659,11719,11719,30050,30050,67259,67259,15545,15545,3586,3586,32974,32974,21347,21347,5132,5132,147151,147151,76218,76218,164893,164893,6263,6263,3859,3859,104841,104841,7866,7866,9532,9532,4308,4308,6845,6845,205999,205999,37862,37862,11592,11592,11544,11544,19143,19143,4567,4567,6504,6504,7752,7752,114266,114266,6173,6173,15880,15880,51811,51811,4220,4220,20963,20963,19988,19988,133176,133176,43081,43081,69050,69050,65228,65228,122783,122783,13472,13472,44857,44857,10932,10932,45524,45524,3904,3904,22368,22368,15295,15295,8686,8686,6593,6593,7915,7915
39,8327,8327,16486,16486,58670,58670,18548,18548,27663,27663,28704,28704,9528,9528,343,343,13843,13843,61732,61732,182017,182017,34015,34015,27826,27826,164525,164525,27500,27500,36681,36681,18352,18352,5596,5596,55731,55731,1681,1681,27763,27763,19758,19758,16593,16593,119871,119871,8896,8896,11658,11658,28811,28811,67076,67076,15455,15455,3552,3552,31891,31891,20647,20647,4548,4548,147392,147392,76498,76498,162892,162892,5964,5964,3811,3811,100486,100486,8126,8126,9532,9532,4343,4343,6969,6969,203538,203538,38431,38431,11598,11598,11796,11796,19434,19434,4391,4391,6419,6419,7680,7680,113014,113014,6178,6178,15410,15410,50783,50783,4285,4285,21379,21379,20139,20139,129901,129901,43031,43031,67880,67880,66154,66154,121794,121794,13051,13051,45586,45586,10815,10815,44476,44476,3736,3736,21411,21411,15441,15441,8643,8643,6488,6488,7909,7909
40,8080,8080,16370,16370,58541,58541,18397,18397,27548,27548,29003,29003,9617,9617,419,419,14033,14033,61581,61581,183224,183224,33532,33532,27220,27220,166575,166575,28359,28359,35313,35313,17776,17776,5456,5456,54703,54703,1939,1939,27574,27574,19549,19549,16020,16020,120896,120896,8880,8880,11897,11897,28432,28432,66165,66165,15286,15286,3406,3406,31294,31294,21333,21333,4930,4930,148875,148875,75030,75030,160498,160498,5892,5892,3621,3621,96712,96712,8150,8150,9112,9112,4280,4280,6778,6778,202770,202770,38009,38009,11118,11118,11839,11839,19601,19601,4691,4691,6055,6055,7583,7583,113066,113066,6044,6044,15590,15590,49045,49045,4240,4240,20442,20442,19928,19928,128457,128457,42136,42136,65897,65897,65084,65084,121827,121827,13105,13105,45402,45402,10762,10762,45038,45038,4088,4088,21555,21555,15380,15380,8714,8714,6604,6604,7911,7911
