 ,IntDen1,RawIntDen1,IntDen2,RawIntDen2,IntDen3,RawIntDen3,IntDen4,RawIntDen4,IntDen5,RawIntDen5,IntDen6,RawIntDen6,IntDen7,RawIntDen7,IntDen8,RawIntDen8,IntDen9,RawIntDen9,IntDen10,RawIntDen10,IntDen11,RawIntDen11,IntDen12,RawIntDen12,IntDen13,RawIntDen13,IntDen14,RawIntDen14,IntDen15,RawIntDen15,IntDen16,RawIntDen16,IntDen17,RawIntDen17,IntDen18,RawIntDen18,IntDen19,RawIntDen19,IntDen20,RawIntDen20,IntDen21,RawIntDen21,IntDen22,RawIntDen22,IntDen23,RawIntDen23,IntDen24,RawIntDen24,IntDen25,RawIntDen25,IntDen26,RawIntDen26,IntDen27,RawIntDen27,IntDen28,RawIntDen28,IntDen29,RawIntDen29,IntDen30,RawIntDen30,IntDen31,RawIntDen31,IntDen32,RawIntDen32,IntDen33,RawIntDen33,IntDen34,RawIntDen34,IntDen35,RawIntDen35,IntDen36,RawIntDen36,IntDen37,RawIntDen37,IntDen38,RawIntDen38,IntDen39,RawIntDen39,IntDen40,RawIntDen40,IntDen41,RawIntDen41,IntDen42,RawIntDen42,IntDen43,RawIntDen43,IntDen44,RawIntDen44,IntDen45,RawIntDen45,IntDen46,RawIntDen46,IntDen47,RawIntDen47,IntDen48,RawIntDen48,IntDen49,RawIntDen49,IntDen50,RawIntDen50,IntDen51,RawIntDen51,IntDen52,RawIntDen52,IntDen53,RawIntDen53,IntDen54,RawIntDen54,IntDen55,RawIntDen55,IntDen56,RawIntDen56,IntDen57,RawIntDen57,IntDen58,RawIntDen58,IntDen59,RawIntDen59,IntDen60,RawIntDen60,IntDen61,RawIntDen61,IntDen62,RawIntDen62,IntDen63,RawIntDen63,IntDen64,RawIntDen64,IntDen65,RawIntDen65,IntDen66,RawIntDen66,IntDen67,RawIntDen67,IntDen68,RawIntDen68,IntDen69,RawIntDen69,IntDen70,RawIntDen70,IntDen71,RawIntDen71,IntDen72,RawIntDen72,IntDen73,RawIntDen73,IntDen74,RawIntDen74,IntDen75,RawIntDen75,IntDen76,RawIntDen76,IntDen77,RawIntDen77,IntDen78,RawIntDen78,IntDen79,RawIntDen79
18,6487,6487,1743,1743,114097,114097,2067,2067,3411,3411,6200,6200,933,933,4734,4734,12966,12966,153200,153200,24750,24750,58370,58370,34795,34795,16491,16491,39220,39220,26476,26476,30191,30191,4233,4233,10441,10441,10285,10285,24929,24929,102038,102038,83780,83780,38962,38962,44644,44644,94314,94314,35135,35135,36,36,42122,42122,14455,14455,26968,26968,25366,25366,139373,139373,95345,95345,30276,30276,44733,44733,15421,15421,13997,13997,7401,7401,14901,14901,31565,31565,26956,26956,25151,25151,36521,36521,33482,33482,76063,76063,30424,30424,24351,24351,37790,37790,25475,25475,35847,35847,34712,34712,15878,15878,27260,27260,33782,33782,14808,14808,13599,13599,29537,29537,5460,5460,15250,15250,8412,8412,18200,18200,11704,11704,43022,43022,25611,25611,14754,14754,16408,16408,3716,3716,1709,1709,2908,2908,6239,6239,32074,32074,5863,5863,15471,15471,38406,38406,93814,93814,21200,21200,13184,13184,8146,8146
19,6376,6376,1688,1688,125283,125283,2188,2188,3511,3511,6187,6187,846,846,4743,4743,13000,13000,152622,152622,25607,25607,56372,56372,35694,35694,16143,16143,39041,39041,26669,26669,30961,30961,4277,4277,10540,10540,9849,9849,27850,27850,104487,104487,83969,83969,37402,37402,44793,44793,95216,95216,34677,34677,42,42,41441,41441,14080,14080,26476,26476,24498,24498,137622,137622,95196,95196,30392,30392,43934,43934,15381,15381,12944,12944,7458,7458,15233,15233,31918,31918,27195,27195,24991,24991,35865,35865,32872,32872,74128,74128,30081,30081,24095,24095,37760,37760,25473,25473,36057,36057,34683,34683,15804,15804,26809,26809,31359,31359,15149,15149,12735,12735,29998,29998,5662,5662,14605,14605,8569,8569,17966,17966,11788,11788,42771,42771,25368,25368,14921,14921,15506,15506,3627,3627,1611,1611,2875,2875,6228,6228,32583,32583,6174,6174,15875,15875,38801,38801,93189,93189,21098,21098,13406,13406,8528,8528
20,7097,7097,1817,1817,130507,130507,2112,2112,3406,3406,6160,6160,902,902,4830,4830,12636,12636,152441,152441,24537,24537,57369,57369,35444,35444,15960,15960,38551,38551,26225,26225,30849,30849,4379,4379,10697,10697,9774,9774,27757,27757,104517,104517,85216,85216,38662,38662,44315,44315,95662,95662,35123,35123,46,46,40910,40910,13876,13876,26746,26746,24626,24626,135613,135613,95013,95013,29866,29866,43643,43643,15387,15387,13093,13093,7358,7358,15388,15388,31647,31647,26650,26650,24848,24848,35304,35304,32926,32926,73509,73509,29877,29877,23185,23185,37364,37364,25741,25741,35345,35345,34911,34911,15880,15880,26485,26485,32597,32597,14335,14335,12881,12881,29975,29975,5606,5606,14705,14705,8537,8537,17763,17763,11803,11803,41835,41835,24095,24095,14379,14379,15208,15208,3572,3572,1744,1744,2759,2759,6255,6255,32469,32469,6141,6141,16228,16228,39410,39410,93518,93518,20587,20587,13027,13027,8307,8307
21,6925,6925,1663,1663,132066,132066,2157,2157,3873,3873,6072,6072,864,864,4671,4671,12503,12503,154069,154069,25337,25337,57337,57337,35497,35497,16437,16437,39130,39130,26482,26482,30499,30499,4243,4243,11308,11308,10103,10103,26082,26082,104338,104338,84828,84828,38374,38374,44170,44170,96258,96258,34964,34964,39,39,41045,41045,13947,13947,26069,26069,25325,25325,139020,139020,96864,96864,30139,30139,43447,43447,14767,14767,12738,12738,7536,7536,14871,14871,31604,31604,26310,26310,24639,24639,35611,35611,32422,32422,74831,74831,30137,30137,23982,23982,37776,37776,26216,26216,35176,35176,34684,34684,15584,15584,26281,26281,31250,31250,15003,15003,13141,13141,30072,30072,5761,5761,15037,15037,8220,8220,17964,17964,11423,11423,42452,42452,24000,24000,13955,13955,15637,15637,3782,3782,1696,1696,2668,2668,6266,6266,33783,33783,6024,6024,16072,16072,40408,40408,91741,91741,20592,20592,12982,12982,8188,8188
22,6911,6911,1847,1847,130119,130119,2175,2175,3462,3462,6128,6128,913,913,4634,4634,12476,12476,153152,153152,25325,25325,56647,56647,34447,34447,16238,16238,38018,38018,26257,26257,29687,29687,4113,4113,12932,12932,9777,9777,25271,25271,104619,104619,85641,85641,38068,38068,43048,43048,96763,96763,33832,33832,17,17,39895,39895,13645,13645,25837,25837,24372,24372,135922,135922,94609,94609,30224,30224,42893,42893,14688,14688,13107,13107,7643,7643,14744,14744,31524,31524,26941,26941,24704,24704,34743,34743,32009,32009,73317,73317,29885,29885,22942,22942,37368,37368,25608,25608,35890,35890,35470,35470,15705,15705,26294,26294,31576,31576,15201,15201,12839,12839,30256,30256,5568,5568,14752,14752,8187,8187,18290,18290,11353,11353,41854,41854,23137,23137,14277,14277,15307,15307,3429,3429,1673,1673,2789,2789,6187,6187,33197,33197,5923,5923,16648,16648,40061,40061,93249,93249,20441,20441,12706,12706,8262,8262
23,6715,6715,1744,1744,131444,131444,2158,2158,3396,3396,6011,6011,899,899,4725,4725,12607,12607,151175,151175,24705,24705,58079,58079,35418,35418,16209,16209,38310,38310,26819,26819,30708,30708,4012,4012,14420,14420,9618,9618,23326,23326,105060,105060,85701,85701,38407,38407,43559,43559,96133,96133,34025,34025,54,54,39236,39236,13708,13708,25742,25742,24346,24346,135032,135032,93277,93277,31064,31064,42353,42353,14641,14641,13302,13302,7685,7685,14870,14870,30730,30730,26876,26876,24838,24838,34338,34338,32079,32079,71819,71819,29999,29999,23428,23428,36524,36524,25858,25858,35253,35253,33955,33955,15307,15307,25821,25821,31069,31069,15085,15085,12647,12647,30103,30103,5623,5623,14784,14784,8096,8096,17950,17950,11018,11018,42759,42759,22565,22565,14041,14041,14988,14988,3448,3448,1696,1696,2766,2766,6191,6191,32970,32970,5983,5983,16913,16913,39996,39996,92931,92931,21054,21054,13400,13400,8241,8241
24,7129,7129,1857,1857,131455,131455,2067,2067,3482,3482,6524,6524,871,871,4912,4912,12958,12958,151260,151260,25397,25397,56257,56257,35580,35580,16258,16258,37511,37511,26804,26804,30355,30355,4061,4061,15919,15919,9453,9453,21129,21129,105468,105468,85807,85807,38106,38106,43031,43031,97192,97192,33283,33283,31,31,39726,39726,13405,13405,25356,25356,24129,24129,135753,135753,91831,91831,30034,30034,42194,42194,14694,14694,12791,12791,8104,8104,15226,15226,30653,30653,27463,27463,23978,23978,34592,34592,31234,31234,71110,71110,29863,29863,23324,23324,36179,36179,25660,25660,34069,34069,34833,34833,15353,15353,25818,25818,31593,31593,14955,14955,12422,12422,30975,30975,5753,5753,15448,15448,7983,7983,18040,18040,10981,10981,42091,42091,22369,22369,14325,14325,14695,14695,3591,3591,1744,1744,2764,2764,6422,6422,33554,33554,6238,6238,16709,16709,40961,40961,93850,93850,20844,20844,12559,12559,8389,8389
25,7154,7154,1759,1759,132496,132496,2229,2229,3617,3617,6350,6350,832,832,5145,5145,12306,12306,147424,147424,25290,25290,55327,55327,34546,34546,15934,15934,38245,38245,27096,27096,30141,30141,3846,3846,17998,17998,9327,9327,18303,18303,106296,106296,86137,86137,37820,37820,42649,42649,98367,98367,32676,32676,42,42,38822,38822,13519,13519,25835,25835,23673,23673,133772,133772,92635,92635,29765,29765,41887,41887,14593,14593,12631,12631,7870,7870,15094,15094,30455,30455,27113,27113,24749,24749,34419,34419,30799,30799,71049,71049,29419,29419,23117,23117,36140,36140,25679,25679,34519,34519,34598,34598,15361,15361,24910,24910,30378,30378,14464,14464,12568,12568,30054,30054,5835,5835,14509,14509,7882,7882,18383,18383,11224,11224,41924,41924,21602,21602,14843,14843,15091,15091,3559,3559,1783,1783,2878,2878,6846,6846,33618,33618,5608,5608,16758,16758,40540,40540,92584,92584,21327,21327,12727,12727,8424,8424
26,6843,6843,1712,1712,132545,132545,2225,2225,3475,3475,6624,6624,884,884,4933,4933,12861,12861,149590,149590,24164,24164,55296,55296,34378,34378,15626,15626,37421,37421,27116,27116,29997,29997,3951,3951,20045,20045,9513,9513,16817,16817,105341,105341,86689,86689,38069,38069,43155,43155,98507,98507,33082,33082,32,32,37769,37769,13219,13219,25330,25330,23799,23799,131557,131557,90092,90092,30076,30076,40881,40881,14978,14978,12906,12906,8298,8298,14899,14899,30614,30614,27351,27351,24107,24107,33730,33730,31214,31214,68874,68874,28423,28423,22524,22524,36588,36588,25317,25317,34045,34045,34860,34860,15084,15084,25019,25019,30194,30194,14680,14680,12210,12210,29492,29492,5829,5829,14224,14224,7835,7835,18468,18468,10825,10825,42763,42763,21163,21163,14403,14403,14751,14751,3452,3452,1618,1618,2490,2490,6328,6328,33882,33882,5819,5819,17128,17128,41704,41704,92667,92667,21042,21042,12419,12419,8131,8131
27,6952,6952,1872,1872,132166,132166,2195,2195,3362,3362,6284,6284,924,924,5250,5250,13050,13050,147529,147529,25571,25571,55738,55738,34806,34806,15666,15666,38979,38979,26916,26916,29776,29776,4006,4006,20926,20926,9260,9260,15696,15696,104730,104730,87436,87436,38879,38879,42864,42864,98384,98384,33597,33597,44,44,38200,38200,13107,13107,25081,25081,23652,23652,134481,134481,91696,91696,30085,30085,41265,41265,14730,14730,12567,12567,8720,8720,15106,15106,30108,30108,27066,27066,24252,24252,33740,33740,30752,30752,68857,68857,28891,28891,22536,22536,36649,36649,25012,25012,33625,33625,34810,34810,15379,15379,24845,24845,29793,29793,14973,14973,12603,12603,29051,29051,5842,5842,15016,15016,7969,7969,18418,18418,10786,10786,42250,42250,20356,20356,14127,14127,14556,14556,3443,3443,1595,1595,3104,3104,6393,6393,34364,34364,5623,5623,17691,17691,41503,41503,92245,92245,20914,20914,12593,12593,8446,8446
