 ,IntDen1,RawIntDen1,IntDen2,RawIntDen2,IntDen3,RawIntDen3,IntDen4,RawIntDen4,IntDen5,RawIntDen5,IntDen6,RawIntDen6,IntDen7,RawIntDen7,IntDen8,RawIntDen8,IntDen9,RawIntDen9,IntDen10,RawIntDen10,IntDen11,RawIntDen11,IntDen12,RawIntDen12,IntDen13,RawIntDen13,IntDen14,RawIntDen14,IntDen15,RawIntDen15,IntDen16,RawIntDen16,IntDen17,RawIntDen17,IntDen18,RawIntDen18,IntDen19,RawIntDen19,IntDen20,RawIntDen20,IntDen21,RawIntDen21,IntDen22,RawIntDen22,IntDen23,RawIntDen23,IntDen24,RawIntDen24,IntDen25,RawIntDen25,IntDen26,RawIntDen26,IntDen27,RawIntDen27,IntDen28,RawIntDen28,IntDen29,RawIntDen29,IntDen30,RawIntDen30,IntDen31,RawIntDen31,IntDen32,RawIntDen32,IntDen33,RawIntDen33,IntDen34,RawIntDen34,IntDen35,RawIntDen35,IntDen36,RawIntDen36,IntDen37,RawIntDen37,IntDen38,RawIntDen38,IntDen39,RawIntDen39,IntDen40,RawIntDen40,IntDen41,RawIntDen41,IntDen42,RawIntDen42,IntDen43,RawIntDen43,IntDen44,RawIntDen44,IntDen45,RawIntDen45,IntDen46,RawIntDen46,IntDen47,RawIntDen47,IntDen48,RawIntDen48,IntDen49,RawIntDen49,IntDen50,RawIntDen50,IntDen51,RawIntDen51,IntDen52,RawIntDen52,IntDen53,RawIntDen53,IntDen54,RawIntDen54,IntDen55,RawIntDen55,IntDen56,RawIntDen56,IntDen57,RawIntDen57,IntDen58,RawIntDen58,IntDen59,RawIntDen59,IntDen60,RawIntDen60,IntDen61,RawIntDen61,IntDen62,RawIntDen62,IntDen63,RawIntDen63,IntDen64,RawIntDen64,IntDen65,RawIntDen65,IntDen66,RawIntDen66,IntDen67,RawIntDen67,IntDen68,RawIntDen68,IntDen69,RawIntDen69,IntDen70,RawIntDen70,IntDen71,RawIntDen71,IntDen72,RawIntDen72,IntDen73,RawIntDen73,IntDen74,RawIntDen74,IntDen75,RawIntDen75,IntDen76,RawIntDen76
15,6666,6666,9151,9151,7127,7127,18109,18109,11346,11346,6410,6410,43130,43130,8852,8852,98004,98004,43034,43034,56496,56496,16361,16361,55615,55615,93449,93449,62095,62095,66853,66853,24044,24044,5293,5293,51764,51764,74083,74083,27965,27965,17897,17897,18299,18299,49796,49796,61387,61387,58895,58895,53148,53148,43602,43602,12963,12963,33514,33514,32861,32861,59519,59519,46094,46094,194485,194485,11845,11845,10748,10748,29355,29355,27745,27745,36020,36020,53045,53045,16247,16247,68689,68689,89390,89390,14636,14636,3918,3918,10298,10298,14239,14239,21357,21357,35347,35347,15121,15121,20276,20276,42546,42546,27814,27814,6705,6705,7266,7266,11859,11859,10011,10011,21179,21179,7731,7731,4827,4827,15851,15851,6064,6064,19304,19304,30243,30243,10535,10535,8983,8983,13058,13058,8725,8725,6192,6192,6986,6986,11427,11427,10348,10348,11887,11887,15730,15730,19715,19715,8543,8543
16,6977,6977,9129,9129,6845,6845,17780,17780,11576,11576,6578,6578,41247,41247,8606,8606,96570,96570,43241,43241,54564,54564,16242,16242,55133,55133,93345,93345,63174,63174,65383,65383,24392,24392,5485,5485,51359,51359,74716,74716,27506,27506,18240,18240,18505,18505,48339,48339,60984,60984,57049,57049,52223,52223,42549,42549,13026,13026,33577,33577,32424,32424,59084,59084,45944,45944,195710,195710,12530,12530,10375,10375,28163,28163,27129,27129,35227,35227,51120,51120,16134,16134,68700,68700,87094,87094,11519,11519,4400,4400,10477,10477,14530,14530,20482,20482,36726,36726,15547,15547,21207,21207,41213,41213,29133,29133,6663,6663,7469,7469,11594,11594,10245,10245,20635,20635,7443,7443,4885,4885,15940,15940,6337,6337,19565,19565,29467,29467,10345,10345,8930,8930,12773,12773,8313,8313,6189,6189,7690,7690,11580,11580,10069,10069,12227,12227,16076,16076,19792,19792,8882,8882
17,6510,6510,8783,8783,6769,6769,16988,16988,10759,10759,6299,6299,40626,40626,9093,9093,93938,93938,43129,43129,54362,54362,16045,16045,54574,54574,94109,94109,64685,64685,64000,64000,24258,24258,5080,5080,52511,52511,76622,76622,26959,26959,18399,18399,18752,18752,47969,47969,62048,62048,55947,55947,53385,53385,41994,41994,13138,13138,33713,33713,32424,32424,61385,61385,44498,44498,197452,197452,12218,12218,10594,10594,26696,26696,27801,27801,34414,34414,49710,49710,16627,16627,68472,68472,86706,86706,10911,10911,4361,4361,10120,10120,14820,14820,21633,21633,36723,36723,15804,15804,22698,22698,41209,41209,30608,30608,6734,6734,7248,7248,11554,11554,10222,10222,20461,20461,7328,7328,4945,4945,15439,15439,6238,6238,18952,18952,28915,28915,10375,10375,8843,8843,12973,12973,8919,8919,6526,6526,7669,7669,12006,12006,10585,10585,12680,12680,17310,17310,20516,20516,9308,9308
18,6692,6692,8810,8810,6970,6970,16376,16376,10916,10916,6388,6388,39385,39385,8773,8773,92968,92968,48156,48156,53985,53985,15597,15597,54471,54471,94681,94681,64874,64874,61479,61479,24925,24925,4696,4696,53513,53513,76669,76669,25089,25089,18836,18836,18702,18702,47418,47418,61557,61557,54677,54677,54340,54340,40727,40727,13418,13418,33587,33587,31605,31605,61985,61985,45120,45120,199324,199324,14234,14234,10380,10380,26941,26941,28183,28183,33614,33614,49183,49183,17226,17226,68322,68322,87548,87548,12300,12300,4276,4276,9878,9878,14805,14805,21092,21092,37147,37147,15852,15852,23392,23392,40475,40475,31257,31257,6863,6863,7754,7754,11916,11916,9868,9868,21378,21378,7138,7138,5213,5213,14918,14918,5979,5979,19432,19432,27253,27253,10382,10382,8640,8640,12936,12936,9072,9072,6965,6965,7587,7587,12448,12448,10184,10184,12793,12793,17470,17470,20554,20554,9832,9832
19,6816,6816,8847,8847,6639,6639,16343,16343,10461,10461,6624,6624,38814,38814,9261,9261,88692,88692,44786,44786,53098,53098,15841,15841,56058,56058,94129,94129,64879,64879,59504,59504,23998,23998,5127,5127,52426,52426,76508,76508,24772,24772,19055,19055,19887,19887,47401,47401,62886,62886,53920,53920,52133,52133,42012,42012,14129,14129,34010,34010,30927,30927,62485,62485,42553,42553,202750,202750,17781,17781,10783,10783,26282,26282,27579,27579,33197,33197,49636,49636,17625,17625,68900,68900,86509,86509,15208,15208,4263,4263,9849,9849,14842,14842,20938,20938,36333,36333,15962,15962,23569,23569,40339,40339,31245,31245,6744,6744,7623,7623,12084,12084,10081,10081,23950,23950,7205,7205,5056,5056,14580,14580,6377,6377,19595,19595,27602,27602,10409,10409,8689,8689,12700,12700,9218,9218,6939,6939,7936,7936,12699,12699,10123,10123,13070,13070,17589,17589,20502,20502,10919,10919
20,6633,6633,8511,8511,6459,6459,16020,16020,10566,10566,6758,6758,38474,38474,9157,9157,87843,87843,66382,66382,52329,52329,15934,15934,56945,56945,94262,94262,66319,66319,57258,57258,24067,24067,4734,4734,53128,53128,76952,76952,24113,24113,19034,19034,20142,20142,47363,47363,61603,61603,52986,52986,50807,50807,40621,40621,13550,13550,34344,34344,30040,30040,62497,62497,43125,43125,201655,201655,26303,26303,10353,10353,29853,29853,27380,27380,32950,32950,51421,51421,17750,17750,72459,72459,85626,85626,20234,20234,4499,4499,10328,10328,14635,14635,21344,21344,37645,37645,16615,16615,23927,23927,39607,39607,31517,31517,6824,6824,7501,7501,13281,13281,10041,10041,31161,31161,7104,7104,5018,5018,14873,14873,6214,6214,18906,18906,27414,27414,10204,10204,8709,8709,12704,12704,8724,8724,7687,7687,8215,8215,14336,14336,10058,10058,13087,13087,17723,17723,20909,20909,11464,11464
21,6638,6638,8120,8120,6241,6241,15285,15285,10504,10504,6703,6703,36865,36865,18515,18515,87318,87318,61309,61309,52371,52371,15907,15907,55378,55378,94108,94108,66049,66049,55541,55541,24319,24319,4759,4759,53560,53560,78134,78134,23182,23182,18922,18922,19118,19118,60162,60162,61744,61744,53065,53065,51079,51079,40541,40541,13568,13568,34007,34007,29662,29662,62600,62600,42731,42731,201581,201581,22131,22131,10391,10391,34252,34252,26641,26641,34169,34169,60330,60330,17592,17592,79581,79581,84894,84894,16143,16143,4488,4488,10448,10448,15123,15123,21332,21332,36236,36236,15813,15813,23412,23412,38215,38215,31170,31170,6819,6819,7825,7825,13988,13988,9964,9964,46020,46020,7288,7288,5311,5311,14335,14335,6125,6125,18518,18518,26857,26857,10369,10369,8365,8365,12334,12334,9088,9088,7665,7665,8110,8110,15407,15407,10113,10113,13138,13138,17751,17751,20742,20742,11868,11868
22,6521,6521,8221,8221,6505,6505,15703,15703,10136,10136,6732,6732,36480,36480,29276,29276,86158,86158,57241,57241,51824,51824,15086,15086,63686,63686,93629,93629,66220,66220,55024,55024,24586,24586,4555,4555,54255,54255,78376,78376,22766,22766,19511,19511,19255,19255,58737,58737,62257,62257,51614,51614,50762,50762,40206,40206,14411,14411,33812,33812,29979,29979,64087,64087,43497,43497,200685,200685,20893,20893,10538,10538,41008,41008,27424,27424,46833,46833,72535,72535,17599,17599,114494,114494,84202,84202,14748,14748,3897,3897,12105,12105,14508,14508,21679,21679,37207,37207,16428,16428,24135,24135,38690,38690,31628,31628,6732,6732,7643,7643,12988,12988,9941,9941,37981,37981,7291,7291,4982,4982,14458,14458,6473,6473,18896,18896,25669,25669,10567,10567,8297,8297,12206,12206,9089,9089,8129,8129,8103,8103,16253,16253,10304,10304,12782,12782,18438,18438,20300,20300,11820,11820
23,6362,6362,8189,8189,6562,6562,15348,15348,10194,10194,6803,6803,35229,35229,28953,28953,85024,85024,54525,54525,51079,51079,14656,14656,61481,61481,93373,93373,66795,66795,51581,51581,24030,24030,4626,4626,54263,54263,78466,78466,22139,22139,19391,19391,19604,19604,53536,53536,60822,60822,50665,50665,51049,51049,39218,39218,13904,13904,34156,34156,30277,30277,64833,64833,43281,43281,198385,198385,20210,20210,10452,10452,42360,42360,27779,27779,51681,51681,110072,110072,17581,17581,118083,118083,87776,87776,14090,14090,3981,3981,11399,11399,14432,14432,51317,51317,35729,35729,17048,17048,24699,24699,37395,37395,31535,31535,6854,6854,7638,7638,11979,11979,9878,9878,34532,34532,8087,8087,5074,5074,14394,14394,6133,6133,18307,18307,24746,24746,10236,10236,8473,8473,12317,12317,9004,9004,7871,7871,7920,7920,17237,17237,9613,9613,12916,12916,18491,18491,20748,20748,11725,11725
24,6642,6642,8264,8264,6430,6430,15747,15747,10061,10061,6565,6565,34709,34709,24071,24071,82870,82870,51102,51102,50274,50274,14901,14901,59149,59149,92187,92187,66632,66632,51260,51260,24065,24065,4435,4435,54394,54394,79838,79838,21960,21960,18896,18896,19496,19496,50595,50595,60484,60484,49374,49374,50374,50374,39398,39398,13709,13709,32607,32607,30514,30514,63538,63538,43453,43453,195643,195643,19653,19653,10820,10820,45467,45467,27209,27209,53226,53226,119916,119916,17629,17629,120995,120995,96165,96165,13496,13496,4483,4483,10733,10733,14748,14748,60952,60952,35510,35510,19864,19864,25146,25146,37954,37954,31162,31162,7121,7121,7808,7808,11490,11490,9828,9828,32027,32027,8673,8673,5026,5026,15031,15031,6693,6693,17705,17705,24747,24747,10139,10139,8498,8498,12308,12308,9112,9112,8130,8130,8376,8376,18212,18212,9448,9448,12517,12517,18748,18748,20525,20525,12034,12034
25,6565,6565,8041,8041,6187,6187,14856,14856,9692,9692,6386,6386,33462,33462,20084,20084,80381,80381,48494,48494,49166,49166,15074,15074,63785,63785,91866,91866,66742,66742,48774,48774,24262,24262,4621,4621,54289,54289,77909,77909,21344,21344,19352,19352,19724,19724,48537,48537,59282,59282,48253,48253,48822,48822,38345,38345,14147,14147,32243,32243,29324,29324,64608,64608,44031,44031,197572,197572,19189,19189,10111,10111,42821,42821,28796,28796,47459,47459,112090,112090,17243,17243,110690,110690,93663,93663,12667,12667,4244,4244,10846,10846,14119,14119,52026,52026,35444,35444,23178,23178,24881,24881,37656,37656,31287,31287,7076,7076,7646,7646,11168,11168,9859,9859,31378,31378,8669,8669,5029,5029,16592,16592,6400,6400,17303,17303,25023,25023,10137,10137,9476,9476,13895,13895,9284,9284,7902,7902,8168,8168,18119,18119,9335,9335,13073,13073,18660,18660,20782,20782,11876,11876
26,6436,6436,7931,7931,6313,6313,14994,14994,9602,9602,6709,6709,33365,33365,20479,20479,80332,80332,48520,48520,48366,48366,14615,14615,66041,66041,90984,90984,84593,84593,48013,48013,24228,24228,4668,4668,54159,54159,79376,79376,20863,20863,19545,19545,19823,19823,47644,47644,59430,59430,47806,47806,49689,49689,38590,38590,14936,14936,32301,32301,28527,28527,65065,65065,44116,44116,202187,202187,18582,18582,10504,10504,41223,41223,57890,57890,42964,42964,104277,104277,16790,16790,103020,103020,102042,102042,11914,11914,4528,4528,10772,10772,14241,14241,53203,53203,35251,35251,24116,24116,25286,25286,41046,41046,31350,31350,7724,7724,7839,7839,11927,11927,10211,10211,30682,30682,8943,8943,5513,5513,35049,35049,6703,6703,17014,17014,25990,25990,10456,10456,20290,20290,31263,31263,9589,9589,7957,7957,8481,8481,18752,18752,9380,9380,12905,12905,19318,19318,20546,20546,13488,13488
27,6767,6767,7906,7906,6239,6239,14695,14695,9454,9454,6690,6690,33436,33436,20558,20558,79063,79063,47115,47115,48797,48797,14495,14495,65967,65967,92309,92309,99459,99459,46709,46709,24864,24864,4899,4899,55653,55653,80229,80229,20190,20190,20626,20626,19867,19867,47547,47547,60518,60518,47291,47291,51046,51046,39056,39056,14585,14585,32557,32557,30090,30090,65116,65116,43533,43533,208224,208224,18451,18451,10574,10574,38701,38701,69835,69835,40322,40322,105632,105632,17251,17251,100877,100877,106382,106382,12392,12392,4097,4097,11313,11313,14354,14354,54486,54486,35893,35893,23480,23480,25969,25969,53335,53335,31826,31826,9000,9000,8006,8006,16065,16065,9735,9735,31592,31592,9422,9422,5474,5474,59080,59080,10272,10272,16388,16388,25935,25935,10032,10032,34682,34682,51741,51741,17707,17707,8152,8152,8626,8626,18852,18852,9466,9466,13082,13082,19155,19155,21041,21041,16805,16805
