 ,IntDen1,RawIntDen1,IntDen2,RawIntDen2,IntDen3,RawIntDen3,IntDen4,RawIntDen4,IntDen5,RawIntDen5,IntDen6,RawIntDen6,IntDen7,RawIntDen7,IntDen8,RawIntDen8,IntDen9,RawIntDen9,IntDen10,RawIntDen10,IntDen11,RawIntDen11,IntDen12,RawIntDen12,IntDen13,RawIntDen13,IntDen14,RawIntDen14,IntDen15,RawIntDen15,IntDen16,RawIntDen16,IntDen17,RawIntDen17,IntDen18,RawIntDen18,IntDen19,RawIntDen19,IntDen20,RawIntDen20,IntDen21,RawIntDen21,IntDen22,RawIntDen22,IntDen23,RawIntDen23,IntDen24,RawIntDen24,IntDen25,RawIntDen25,IntDen26,RawIntDen26,IntDen27,RawIntDen27,IntDen28,RawIntDen28,IntDen29,RawIntDen29,IntDen30,RawIntDen30,IntDen31,RawIntDen31,IntDen32,RawIntDen32,IntDen33,RawIntDen33,IntDen34,RawIntDen34,IntDen35,RawIntDen35,IntDen36,RawIntDen36,IntDen37,RawIntDen37,IntDen38,RawIntDen38,IntDen39,RawIntDen39,IntDen40,RawIntDen40,IntDen41,RawIntDen41,IntDen42,RawIntDen42,IntDen43,RawIntDen43,IntDen44,RawIntDen44,IntDen45,RawIntDen45,IntDen46,RawIntDen46,IntDen47,RawIntDen47,IntDen48,RawIntDen48,IntDen49,RawIntDen49,IntDen50,RawIntDen50,IntDen51,RawIntDen51,IntDen52,RawIntDen52,IntDen53,RawIntDen53,IntDen54,RawIntDen54,IntDen55,RawIntDen55,IntDen56,RawIntDen56,IntDen57,RawIntDen57,IntDen58,RawIntDen58,IntDen59,RawIntDen59,IntDen60,RawIntDen60,IntDen61,RawIntDen61,IntDen62,RawIntDen62,IntDen63,RawIntDen63,IntDen64,RawIntDen64,IntDen65,RawIntDen65,IntDen66,RawIntDen66,IntDen67,RawIntDen67,IntDen68,RawIntDen68,IntDen69,RawIntDen69,IntDen70,RawIntDen70,IntDen71,RawIntDen71,IntDen72,RawIntDen72,IntDen73,RawIntDen73,IntDen74,RawIntDen74,IntDen75,RawIntDen75,IntDen76,RawIntDen76,IntDen77,RawIntDen77
15,19862,19862,22928,22928,21762,21762,25461,25461,36707,36707,22654,22654,25670,25670,23044,23044,29060,29060,17867,17867,19840,19840,13433,13433,27780,27780,20477,20477,13764,13764,27073,27073,18356,18356,33942,33942,13195,13195,24165,24165,5288,5288,25889,25889,19070,19070,41507,41507,46466,46466,39696,39696,16909,16909,32419,32419,32151,32151,34826,34826,15298,15298,7666,7666,79554,79554,12085,12085,139282,139282,47455,47455,14667,14667,5841,5841,43355,43355,22022,22022,67496,67496,26005,26005,40223,40223,59782,59782,111235,111235,51448,51448,97794,97794,9233,9233,94173,94173,78908,78908,59127,59127,16278,16278,20700,20700,61920,61920,40852,40852,24493,24493,19051,19051,24849,24849,8833,8833,18166,18166,3667,3667,34,34,47927,47927,871,871,23364,23364,12802,12802,21192,21192,53422,53422,17320,17320,31284,31284,43279,43279,44829,44829,67832,67832,29954,29954,41990,41990,20357,20357,23342,23342
16,20029,20029,23352,23352,18043,18043,27155,27155,37450,37450,22249,22249,26027,26027,21762,21762,29235,29235,17911,17911,22481,22481,13124,13124,26819,26819,19725,19725,14093,14093,26862,26862,18554,18554,34244,34244,12658,12658,24526,24526,5289,5289,25652,25652,18868,18868,42099,42099,47020,47020,39805,39805,17174,17174,32242,32242,32240,32240,34307,34307,15249,15249,7492,7492,80430,80430,12333,12333,141304,141304,45832,45832,14288,14288,5946,5946,39527,39527,21285,21285,75161,75161,26133,26133,40039,40039,59197,59197,104894,104894,52711,52711,88771,88771,9249,9249,87324,87324,79449,79449,59031,59031,16352,16352,20335,20335,61333,61333,40524,40524,24977,24977,18664,18664,25108,25108,8502,8502,18345,18345,3598,3598,45,45,47937,47937,812,812,22877,22877,12971,12971,21468,21468,54799,54799,17434,17434,30954,30954,43142,43142,43734,43734,65954,65954,30818,30818,43010,43010,20407,20407,23541,23541
17,20468,20468,23243,23243,18496,18496,25806,25806,38020,38020,22206,22206,25436,25436,22180,22180,29120,29120,17934,17934,21774,21774,13132,13132,27706,27706,19852,19852,13455,13455,27557,27557,18178,18178,34902,34902,13034,13034,24149,24149,5119,5119,25748,25748,18742,18742,42050,42050,46853,46853,39849,39849,16978,16978,32597,32597,31953,31953,35057,35057,15122,15122,7788,7788,81169,81169,12447,12447,142720,142720,47000,47000,13745,13745,6029,6029,37613,37613,22340,22340,82326,82326,26321,26321,40518,40518,58427,58427,103300,103300,51747,51747,79755,79755,9303,9303,81487,81487,78192,78192,58771,58771,16180,16180,20214,20214,59956,59956,41273,41273,24757,24757,18282,18282,24664,24664,8825,8825,18315,18315,3700,3700,36,36,48430,48430,833,833,22823,22823,13091,13091,21384,21384,53873,53873,17416,17416,30617,30617,41635,41635,43632,43632,66114,66114,30349,30349,42160,42160,20213,20213,23621,23621
18,19924,19924,22972,22972,20217,20217,26497,26497,37211,37211,22514,22514,25432,25432,21843,21843,28613,28613,18002,18002,20045,20045,13254,13254,26998,26998,20139,20139,13782,13782,26975,26975,18058,18058,34713,34713,12939,12939,25180,25180,5320,5320,25891,25891,19115,19115,40960,40960,47962,47962,40713,40713,16555,16555,32691,32691,31759,31759,35424,35424,15277,15277,7973,7973,80892,80892,12143,12143,146447,146447,54532,54532,14269,14269,5887,5887,36005,36005,22160,22160,90440,90440,26774,26774,41585,41585,54852,54852,107343,107343,52431,52431,75349,75349,9430,9430,78685,78685,78227,78227,58694,58694,16651,16651,20074,20074,60694,60694,40868,40868,25276,25276,18723,18723,24174,24174,8780,8780,17971,17971,3890,3890,29,29,48264,48264,799,799,22006,22006,13381,13381,21222,21222,53896,53896,17613,17613,30499,30499,40991,40991,44446,44446,66311,66311,29776,29776,41641,41641,20722,20722,24184,24184
19,19971,19971,23507,23507,21335,21335,26773,26773,38163,38163,22963,22963,25624,25624,21605,21605,27971,27971,17496,17496,16377,16377,13537,13537,26804,26804,20003,20003,13341,13341,27859,27859,18048,18048,34602,34602,13078,13078,24309,24309,5249,5249,25599,25599,18643,18643,41240,41240,47081,47081,39623,39623,17160,17160,32684,32684,31666,31666,34702,34702,14868,14868,7951,7951,82418,82418,12272,12272,153503,153503,57106,57106,13939,13939,5910,5910,33681,33681,22098,22098,98653,98653,27319,27319,41841,41841,47496,47496,126163,126163,52640,52640,72152,72152,9416,9416,75204,75204,79235,79235,58534,58534,16688,16688,20485,20485,60193,60193,41126,41126,25178,25178,18433,18433,24045,24045,8852,8852,18553,18553,3719,3719,27,27,49084,49084,760,760,21801,21801,13271,13271,21286,21286,53601,53601,17693,17693,29891,29891,40688,40688,43526,43526,65510,65510,29754,29754,41809,41809,20783,20783,24595,24595
20,20140,20140,23481,23481,19794,19794,27189,27189,38102,38102,23109,23109,26139,26139,23382,23382,28685,28685,17763,17763,14029,14029,13551,13551,26917,26917,19979,19979,13897,13897,27961,27961,18388,18388,34169,34169,13069,13069,24611,24611,5102,5102,25791,25791,18942,18942,41420,41420,47271,47271,39708,39708,17081,17081,32732,32732,30953,30953,34684,34684,15459,15459,7947,7947,81791,81791,11905,11905,160577,160577,56598,56598,14477,14477,5879,5879,32734,32734,22403,22403,111228,111228,28631,28631,42216,42216,41461,41461,153176,153176,52269,52269,72357,72357,9277,9277,73676,73676,79080,79080,59043,59043,16564,16564,20115,20115,60212,60212,41080,41080,25818,25818,18658,18658,24315,24315,8383,8383,18069,18069,3679,3679,23,23,48821,48821,815,815,21734,21734,13208,13208,20995,20995,53602,53602,17464,17464,29823,29823,40274,40274,43927,43927,66471,66471,30178,30178,41780,41780,20626,20626,24294,24294
21,20450,20450,23500,23500,18436,18436,27318,27318,38053,38053,22304,22304,25399,25399,22886,22886,27926,27926,17605,17605,14232,14232,13377,13377,27605,27605,19423,19423,13725,13725,27358,27358,17959,17959,34255,34255,12998,12998,24546,24546,5244,5244,26604,26604,18662,18662,41371,41371,47592,47592,40238,40238,16835,16835,32207,32207,30296,30296,34462,34462,15207,15207,7815,7815,83549,83549,12205,12205,161688,161688,57058,57058,14083,14083,5980,5980,32460,32460,22704,22704,122532,122532,29492,29492,43120,43120,39526,39526,166627,166627,52870,52870,72826,72826,9168,9168,71456,71456,77733,77733,59081,59081,16616,16616,19615,19615,60589,60589,39973,39973,25596,25596,18693,18693,24459,24459,8608,8608,17533,17533,3627,3627,20,20,49721,49721,867,867,21580,21580,13459,13459,20860,20860,53670,53670,17341,17341,29554,29554,40346,40346,43233,43233,66390,66390,30399,30399,41691,41691,20143,20143,24561,24561
22,20191,20191,23808,23808,19123,19123,27276,27276,37769,37769,22994,22994,25786,25786,22960,22960,27541,27541,17867,17867,13356,13356,13439,13439,27428,27428,19541,19541,13279,13279,27243,27243,18020,18020,34043,34043,13047,13047,24531,24531,5046,5046,26185,26185,19100,19100,40723,40723,47463,47463,39666,39666,16800,16800,31572,31572,30596,30596,34706,34706,15181,15181,7957,7957,83742,83742,11958,11958,162445,162445,57762,57762,13851,13851,5973,5973,32376,32376,22343,22343,125689,125689,29921,29921,43656,43656,39102,39102,167854,167854,53524,53524,71813,71813,9225,9225,71081,71081,78122,78122,58591,58591,16455,16455,20161,20161,60452,60452,39999,39999,26034,26034,18808,18808,24015,24015,8642,8642,17690,17690,3697,3697,33,33,50244,50244,839,839,21173,21173,13381,13381,21340,21340,54201,54201,17414,17414,29772,29772,39036,39036,43561,43561,66283,66283,30363,30363,41566,41566,19765,19765,24544,24544
23,20302,20302,23268,23268,20477,20477,27343,27343,38155,38155,22677,22677,26367,26367,22701,22701,27720,27720,17407,17407,13094,13094,13489,13489,27651,27651,19614,19614,13484,13484,27678,27678,18033,18033,33209,33209,13195,13195,24694,24694,5038,5038,25622,25622,19409,19409,41115,41115,47229,47229,39799,39799,17018,17018,31979,31979,30353,30353,34636,34636,14753,14753,8282,8282,83151,83151,12253,12253,161885,161885,57908,57908,13992,13992,5971,5971,32575,32575,22361,22361,131623,131623,30262,30262,44026,44026,39368,39368,169174,169174,52655,52655,69910,69910,9096,9096,69667,69667,77126,77126,59199,59199,16846,16846,20020,20020,59904,59904,39889,39889,26331,26331,18869,18869,23858,23858,8661,8661,17525,17525,3885,3885,32,32,50384,50384,766,766,20887,20887,13812,13812,21609,21609,54909,54909,17226,17226,29579,29579,39187,39187,43087,43087,65963,65963,30656,30656,41457,41457,19812,19812,24608,24608
24,20147,20147,23190,23190,22250,22250,27182,27182,37729,37729,22943,22943,25763,25763,22979,22979,27926,27926,17203,17203,13343,13343,13648,13648,28455,28455,20068,20068,13036,13036,27649,27649,18179,18179,33125,33125,13168,13168,24901,24901,5020,5020,26733,26733,19612,19612,40837,40837,47576,47576,40447,40447,16958,16958,31857,31857,29641,29641,34397,34397,14967,14967,7757,7757,82744,82744,12578,12578,163554,163554,57748,57748,13963,13963,5865,5865,31093,31093,21904,21904,134851,134851,29332,29332,43463,43463,38945,38945,168942,168942,53599,53599,71106,71106,8942,8942,70160,70160,76769,76769,58703,58703,16708,16708,20272,20272,59460,59460,39279,39279,26646,26646,18623,18623,24459,24459,8871,8871,17347,17347,3791,3791,34,34,50282,50282,774,774,20562,20562,13451,13451,21570,21570,54473,54473,17528,17528,28973,28973,39309,39309,44485,44485,67809,67809,31522,31522,42310,42310,20275,20275,25438,25438
