 ,IntDen1,RawIntDen1,IntDen2,RawIntDen2,IntDen3,RawIntDen3,IntDen4,RawIntDen4,IntDen5,RawIntDen5,IntDen6,RawIntDen6,IntDen7,RawIntDen7,IntDen8,RawIntDen8,IntDen9,RawIntDen9,IntDen10,RawIntDen10,IntDen11,RawIntDen11,IntDen12,RawIntDen12,IntDen13,RawIntDen13,IntDen14,RawIntDen14,IntDen15,RawIntDen15,IntDen16,RawIntDen16,IntDen17,RawIntDen17,IntDen18,RawIntDen18,IntDen19,RawIntDen19,IntDen20,RawIntDen20,IntDen21,RawIntDen21,IntDen22,RawIntDen22,IntDen23,RawIntDen23,IntDen24,RawIntDen24,IntDen25,RawIntDen25,IntDen26,RawIntDen26,IntDen27,RawIntDen27,IntDen28,RawIntDen28,IntDen29,RawIntDen29,IntDen30,RawIntDen30,IntDen31,RawIntDen31,IntDen32,RawIntDen32,IntDen33,RawIntDen33,IntDen34,RawIntDen34,IntDen35,RawIntDen35,IntDen36,RawIntDen36,IntDen37,RawIntDen37,IntDen38,RawIntDen38,IntDen39,RawIntDen39,IntDen40,RawIntDen40,IntDen41,RawIntDen41,IntDen42,RawIntDen42,IntDen43,RawIntDen43,IntDen44,RawIntDen44,IntDen45,RawIntDen45,IntDen46,RawIntDen46,IntDen47,RawIntDen47,IntDen48,RawIntDen48,IntDen49,RawIntDen49,IntDen50,RawIntDen50,IntDen51,RawIntDen51,IntDen52,RawIntDen52,IntDen53,RawIntDen53,IntDen54,RawIntDen54,IntDen55,RawIntDen55,IntDen56,RawIntDen56,IntDen57,RawIntDen57,IntDen58,RawIntDen58,IntDen59,RawIntDen59,IntDen60,RawIntDen60,IntDen61,RawIntDen61,IntDen62,RawIntDen62,IntDen63,RawIntDen63,IntDen64,RawIntDen64,IntDen65,RawIntDen65,IntDen66,RawIntDen66,IntDen67,RawIntDen67,IntDen68,RawIntDen68,IntDen69,RawIntDen69,IntDen70,RawIntDen70,IntDen71,RawIntDen71,IntDen72,RawIntDen72,IntDen73,RawIntDen73,IntDen74,RawIntDen74,IntDen75,RawIntDen75,IntDen76,RawIntDen76,IntDen77,RawIntDen77,IntDen78,RawIntDen78,IntDen79,RawIntDen79,IntDen80,RawIntDen80,IntDen81,RawIntDen81,IntDen82,RawIntDen82,IntDen83,RawIntDen83,IntDen84,RawIntDen84,IntDen85,RawIntDen85,IntDen86,RawIntDen86,IntDen87,RawIntDen87,IntDen88,RawIntDen88
11,23670,23670,31241,31241,32666,32666,28303,28303,18783,18783,41819,41819,18441,18441,23534,23534,36935,36935,85004,85004,46471,46471,17844,17844,14980,14980,8857,8857,153979,153979,18471,18471,14886,14886,10257,10257,25704,25704,6733,6733,11829,11829,27485,27485,28552,28552,21057,21057,26895,26895,29545,29545,7362,7362,7867,7867,43758,43758,21926,21926,12714,12714,19664,19664,18428,18428,12398,12398,39023,39023,30174,30174,19426,19426,18405,18405,38783,38783,10390,10390,19809,19809,25366,25366,194571,194571,24003,24003,48955,48955,9899,9899,5187,5187,60286,60286,19532,19532,23916,23916,2574,2574,34399,34399,135357,135357,17902,17902,15778,15778,31180,31180,79059,79059,40657,40657,22611,22611,56613,56613,76585,76585,2513,2513,28151,28151,24319,24319,1747,1747,3975,3975,12828,12828,20993,20993,22558,22558,1950,1950,24464,24464,19546,19546,14452,14452,14223,14223,17362,17362,18526,18526,6575,6575,3896,3896,14596,14596,18221,18221,10169,10169,8502,8502,101813,101813,5389,5389,2420,2420,17747,17747,12692,12692,20513,20513
12,23980,23980,34377,34377,35237,35237,27937,27937,17759,17759,43519,43519,18175,18175,24920,24920,38630,38630,93499,93499,51842,51842,19243,19243,14753,14753,9236,9236,162122,162122,18007,18007,15308,15308,10789,10789,27490,27490,6477,6477,12436,12436,29828,29828,29088,29088,24046,24046,28824,28824,35758,35758,7992,7992,7798,7798,45992,45992,23314,23314,12951,12951,20313,20313,19447,19447,13375,13375,40938,40938,31588,31588,20618,20618,19089,19089,41059,41059,10897,10897,21007,21007,26178,26178,212773,212773,24934,24934,51125,51125,10288,10288,5622,5622,63579,63579,21790,21790,26050,26050,2730,2730,37125,37125,121256,121256,18343,18343,16767,16767,32895,32895,86830,86830,41011,41011,24202,24202,56750,56750,111967,111967,2870,2870,29863,29863,25112,25112,2014,2014,4125,4125,12799,12799,21788,21788,23711,23711,1875,1875,25999,25999,20269,20269,14877,14877,14677,14677,18419,18419,19069,19069,7056,7056,4090,4090,15372,15372,19845,19845,10943,10943,9245,9245,109158,109158,5755,5755,2557,2557,18652,18652,13384,13384,21932,21932
13,23647,23647,34595,34595,35529,35529,26634,26634,16491,16491,42843,42843,17259,17259,24373,24373,39406,39406,97816,97816,56006,56006,19875,19875,13766,13766,8899,8899,160892,160892,17123,17123,15506,15506,10917,10917,29057,29057,6357,6357,12509,12509,29967,29967,29595,29595,25518,25518,28307,28307,36378,36378,7815,7815,7724,7724,45834,45834,23270,23270,12770,12770,19188,19188,19492,19492,13223,13223,40170,40170,31144,31144,19926,19926,18704,18704,40752,40752,11326,11326,20800,20800,26144,26144,217086,217086,25408,25408,52043,52043,10494,10494,5377,5377,64060,64060,22849,22849,25861,25861,2518,2518,36971,36971,109820,109820,18736,18736,16865,16865,32188,32188,89483,89483,40640,40640,23617,23617,56070,56070,97749,97749,2684,2684,29392,29392,24688,24688,1968,1968,3993,3993,13773,13773,22663,22663,22856,22856,2610,2610,25905,25905,20443,20443,15199,15199,14490,14490,18108,18108,19261,19261,6981,6981,4170,4170,15422,15422,19573,19573,10927,10927,9172,9172,115302,115302,5916,5916,2609,2609,18391,18391,13344,13344,21575,21575
14,22173,22173,34746,34746,35357,35357,26148,26148,16953,16953,42238,42238,17298,17298,24708,24708,38734,38734,99940,99940,55993,55993,19420,19420,13334,13334,10105,10105,160831,160831,16416,16416,15732,15732,10570,10570,32273,32273,6201,6201,12171,12171,29874,29874,29662,29662,26758,26758,27095,27095,37535,37535,8203,8203,7377,7377,45329,45329,23609,23609,12577,12577,18455,18455,19414,19414,13271,13271,40437,40437,31782,31782,20301,20301,18584,18584,40124,40124,11591,11591,20769,20769,26576,26576,218994,218994,24427,24427,52763,52763,10396,10396,5846,5846,66459,66459,24312,24312,25370,25370,2521,2521,37408,37408,103901,103901,18658,18658,17242,17242,31489,31489,90676,90676,39321,39321,23167,23167,56042,56042,79522,79522,2696,2696,28360,28360,24206,24206,2100,2100,4210,4210,13539,13539,24435,24435,22837,22837,4084,4084,25843,25843,20322,20322,14948,14948,14846,14846,17632,17632,19299,19299,6903,6903,4013,4013,15355,15355,19569,19569,11024,11024,9530,9530,119620,119620,6188,6188,2763,2763,19096,19096,13362,13362,20820,20820
15,23163,23163,34410,34410,35451,35451,25686,25686,16995,16995,40784,40784,16799,16799,24960,24960,38150,38150,103070,103070,56072,56072,19481,19481,13304,13304,11135,11135,157463,157463,16674,16674,15966,15966,10849,10849,34816,34816,5788,5788,12459,12459,29899,29899,29981,29981,27451,27451,26463,26463,38497,38497,8334,8334,7556,7556,45570,45570,23469,23469,12304,12304,17718,17718,19305,19305,13030,13030,39721,39721,31426,31426,20076,20076,18293,18293,40804,40804,11787,11787,20962,20962,26374,26374,222701,222701,24652,24652,52942,52942,10953,10953,5884,5884,66449,66449,29002,29002,25129,25129,2766,2766,38339,38339,103132,103132,19005,19005,17219,17219,31391,31391,92684,92684,39130,39130,22741,22741,55072,55072,72127,72127,2761,2761,29057,29057,23816,23816,1990,1990,4207,4207,14200,14200,25328,25328,22690,22690,4864,4864,25944,25944,20412,20412,15014,15014,14910,14910,17562,17562,18916,18916,6949,6949,4244,4244,15154,15154,19176,19176,11341,11341,9574,9574,124152,124152,6297,6297,2908,2908,47957,47957,13107,13107,21467,21467
16,22794,22794,35008,35008,35465,35465,26219,26219,16973,16973,40893,40893,16373,16373,24286,24286,38983,38983,104621,104621,55749,55749,19036,19036,13496,13496,12203,12203,154951,154951,15917,15917,15388,15388,10895,10895,34903,34903,5668,5668,12458,12458,30257,30257,29767,29767,28461,28461,27271,27271,40443,40443,8190,8190,7351,7351,46003,46003,23841,23841,12016,12016,17468,17468,19513,19513,12662,12662,40136,40136,31990,31990,19770,19770,17846,17846,40527,40527,11940,11940,20500,20500,26211,26211,229116,229116,24230,24230,52462,52462,10671,10671,5607,5607,68303,68303,39917,39917,25699,25699,2603,2603,39461,39461,101412,101412,18538,18538,17314,17314,30364,30364,95177,95177,38740,38740,22982,22982,55418,55418,70348,70348,2700,2700,29370,29370,22856,22856,2081,2081,4565,4565,15001,15001,24632,24632,22187,22187,4847,4847,25534,25534,20901,20901,15124,15124,14677,14677,17858,17858,19409,19409,6851,6851,4223,4223,15083,15083,19786,19786,10899,10899,9382,9382,127987,127987,6075,6075,2971,2971,86462,86462,12561,12561,20734,20734
17,23646,23646,35512,35512,35450,35450,25432,25432,16453,16453,40642,40642,17259,17259,24652,24652,38436,38436,107506,107506,55187,55187,19275,19275,12934,12934,13447,13447,151819,151819,16041,16041,15500,15500,10850,10850,34531,34531,5879,5879,11823,11823,30266,30266,30001,30001,29599,29599,26947,26947,41746,41746,8152,8152,7024,7024,45749,45749,23254,23254,12906,12906,18019,18019,18966,18966,12738,12738,39826,39826,31413,31413,19985,19985,17985,17985,40868,40868,11889,11889,20311,20311,26428,26428,232690,232690,24532,24532,52981,52981,10490,10490,5796,5796,69883,69883,47187,47187,25834,25834,2650,2650,40780,40780,105087,105087,18297,18297,17782,17782,30748,30748,98305,98305,37916,37916,22849,22849,53373,53373,67912,67912,2683,2683,29245,29245,23241,23241,2015,2015,4544,4544,15678,15678,24306,24306,22506,22506,4620,4620,25396,25396,20216,20216,15180,15180,14713,14713,17401,17401,18930,18930,7140,7140,4350,4350,14774,14774,20299,20299,10989,10989,9611,9611,130333,130333,5752,5752,2805,2805,86401,86401,13041,13041,20186,20186
18,22312,22312,35040,35040,35428,35428,26477,26477,15772,15772,40315,40315,16771,16771,25475,25475,39018,39018,108045,108045,55092,55092,19349,19349,13148,13148,14834,14834,150926,150926,15766,15766,15896,15896,10682,10682,34781,34781,5821,5821,12057,12057,29439,29439,29426,29426,29927,29927,28445,28445,43371,43371,8195,8195,7263,7263,45771,45771,23102,23102,26392,26392,28033,28033,19326,19326,12541,12541,39045,39045,31299,31299,19369,19369,17850,17850,41801,41801,11907,11907,20214,20214,26273,26273,234539,234539,24391,24391,53775,53775,10762,10762,5543,5543,72598,72598,46549,46549,25109,25109,2618,2618,41189,41189,129910,129910,18173,18173,17492,17492,31069,31069,102277,102277,37778,37778,22677,22677,52891,52891,65976,65976,2713,2713,29262,29262,23310,23310,2110,2110,4401,4401,16042,16042,23642,23642,21496,21496,4689,4689,25333,25333,19616,19616,15325,15325,14927,14927,16933,16933,19088,19088,7062,7062,4210,4210,15013,15013,19402,19402,11189,11189,9646,9646,132705,132705,6281,6281,2689,2689,84512,84512,12838,12838,19667,19667
19,22115,22115,36465,36465,34944,34944,24921,24921,16021,16021,39621,39621,16570,16570,23589,23589,38906,38906,111415,111415,56167,56167,19714,19714,13567,13567,15987,15987,147641,147641,15838,15838,15931,15931,10557,10557,34912,34912,5690,5690,12255,12255,30103,30103,29930,29930,31378,31378,28617,28617,45547,45547,8351,8351,6879,6879,45207,45207,23289,23289,42453,42453,37514,37514,19261,19261,13431,13431,38858,38858,31173,31173,19754,19754,17351,17351,40883,40883,11985,11985,20215,20215,26220,26220,236745,236745,24024,24024,52567,52567,10809,10809,5973,5973,76636,76636,46443,46443,25237,25237,2649,2649,40714,40714,150026,150026,18820,18820,17501,17501,30394,30394,104033,104033,36647,36647,22094,22094,54173,54173,65398,65398,2731,2731,31412,31412,23492,23492,2048,2048,4400,4400,16380,16380,24329,24329,21943,21943,4504,4504,25434,25434,19678,19678,15531,15531,15336,15336,17323,17323,18694,18694,6792,6792,4332,4332,14716,14716,20208,20208,11303,11303,9726,9726,135112,135112,6061,6061,2765,2765,86321,86321,12758,12758,19446,19446
20,21646,21646,34649,34649,35768,35768,25556,25556,16286,16286,39331,39331,16624,16624,24965,24965,37481,37481,111396,111396,54906,54906,19745,19745,13161,13161,15640,15640,142482,142482,16059,16059,15382,15382,11021,11021,36017,36017,5966,5966,12022,12022,29503,29503,29934,29934,31795,31795,30264,30264,47742,47742,8011,8011,6943,6943,45652,45652,22214,22214,29901,29901,31088,31088,19377,19377,13901,13901,38782,38782,31575,31575,19126,19126,16954,16954,45315,45315,11763,11763,19955,19955,25988,25988,236107,236107,23539,23539,52867,52867,10961,10961,5851,5851,78591,78591,45027,45027,25500,25500,2551,2551,39932,39932,134843,134843,18629,18629,17468,17468,29845,29845,107567,107567,36292,36292,22335,22335,53847,53847,64173,64173,2628,2628,33534,33534,44790,44790,2190,2190,4381,4381,15511,15511,24087,24087,21966,21966,4270,4270,25206,25206,19939,19939,15508,15508,14799,14799,17202,17202,18541,18541,7260,7260,4134,4134,14977,14977,20722,20722,11169,11169,9641,9641,137119,137119,6346,6346,2776,2776,83814,83814,13011,13011,18385,18385
