 ,IntDen1,RawIntDen1,IntDen2,RawIntDen2,IntDen3,RawIntDen3,IntDen4,RawIntDen4,IntDen5,RawIntDen5,IntDen6,RawIntDen6,IntDen7,RawIntDen7,IntDen8,RawIntDen8,IntDen9,RawIntDen9,IntDen10,RawIntDen10,IntDen11,RawIntDen11,IntDen12,RawIntDen12,IntDen13,RawIntDen13,IntDen14,RawIntDen14,IntDen15,RawIntDen15,IntDen16,RawIntDen16,IntDen17,RawIntDen17,IntDen18,RawIntDen18,IntDen19,RawIntDen19,IntDen20,RawIntDen20,IntDen21,RawIntDen21,IntDen22,RawIntDen22,IntDen23,RawIntDen23,IntDen24,RawIntDen24,IntDen25,RawIntDen25,IntDen26,RawIntDen26,IntDen27,RawIntDen27,IntDen28,RawIntDen28,IntDen29,RawIntDen29,IntDen30,RawIntDen30,IntDen31,RawIntDen31,IntDen32,RawIntDen32,IntDen33,RawIntDen33,IntDen34,RawIntDen34,IntDen35,RawIntDen35,IntDen36,RawIntDen36,IntDen37,RawIntDen37,IntDen38,RawIntDen38,IntDen39,RawIntDen39,IntDen40,RawIntDen40,IntDen41,RawIntDen41,IntDen42,RawIntDen42,IntDen43,RawIntDen43,IntDen44,RawIntDen44,IntDen45,RawIntDen45,IntDen46,RawIntDen46,IntDen47,RawIntDen47,IntDen48,RawIntDen48,IntDen49,RawIntDen49,IntDen50,RawIntDen50,IntDen51,RawIntDen51,IntDen52,RawIntDen52,IntDen53,RawIntDen53,IntDen54,RawIntDen54,IntDen55,RawIntDen55,IntDen56,RawIntDen56,IntDen57,RawIntDen57,IntDen58,RawIntDen58,IntDen59,RawIntDen59,IntDen60,RawIntDen60,IntDen61,RawIntDen61,IntDen62,RawIntDen62,IntDen63,RawIntDen63,IntDen64,RawIntDen64,IntDen65,RawIntDen65,IntDen66,RawIntDen66,IntDen67,RawIntDen67,IntDen68,RawIntDen68,IntDen69,RawIntDen69,IntDen70,RawIntDen70,IntDen71,RawIntDen71,IntDen72,RawIntDen72,IntDen73,RawIntDen73,IntDen74,RawIntDen74,IntDen75,RawIntDen75,IntDen76,RawIntDen76,IntDen77,RawIntDen77,IntDen78,RawIntDen78,IntDen79,RawIntDen79,IntDen80,RawIntDen80,IntDen81,RawIntDen81,IntDen82,RawIntDen82,IntDen83,RawIntDen83,IntDen84,RawIntDen84,IntDen85,RawIntDen85,IntDen86,RawIntDen86,IntDen87,RawIntDen87,IntDen88,RawIntDen88,IntDen89,RawIntDen89,IntDen90,RawIntDen90,IntDen91,RawIntDen91,IntDen92,RawIntDen92
31,4640,4640,13249,13249,7126,7126,17065,17065,6281,6281,8837,8837,16985,16985,23817,23817,4961,4961,21643,21643,10616,10616,11724,11724,32587,32587,28643,28643,20782,20782,17011,17011,30909,30909,14674,14674,27515,27515,13171,13171,45070,45070,14122,14122,21277,21277,33358,33358,26731,26731,29722,29722,19320,19320,5461,5461,65997,65997,38048,38048,50307,50307,8273,8273,13768,13768,13879,13879,99329,99329,85776,85776,3403,3403,33752,33752,24247,24247,82569,82569,29138,29138,25481,25481,26986,26986,45629,45629,13345,13345,18850,18850,30036,30036,29226,29226,22449,22449,40019,40019,59465,59465,29652,29652,71580,71580,96483,96483,27038,27038,25710,25710,8851,8851,110219,110219,69836,69836,20352,20352,39763,39763,22332,22332,31434,31434,59591,59591,19195,19195,40013,40013,60072,60072,22994,22994,90139,90139,51135,51135,54175,54175,86581,86581,116923,116923,188131,188131,16124,16124,113189,113189,60855,60855,45183,45183,51035,51035,34474,34474,34582,34582,16855,16855,122198,122198,22304,22304,17126,17126,69289,69289,90520,90520,7486,7486,41760,41760,80146,80146,114740,114740,65372,65372
32,4835,4835,13153,13153,6974,6974,16735,16735,6194,6194,8544,8544,16514,16514,24279,24279,4903,4903,21223,21223,10418,10418,11765,11765,33009,33009,28564,28564,20137,20137,16436,16436,29820,29820,14886,14886,27922,27922,12881,12881,43924,43924,14017,14017,21384,21384,33997,33997,25080,25080,30670,30670,20093,20093,5523,5523,67966,67966,36815,36815,48221,48221,8353,8353,13912,13912,14268,14268,99057,99057,84378,84378,3417,3417,34082,34082,24373,24373,83209,83209,28306,28306,25353,25353,26347,26347,45165,45165,15361,15361,19047,19047,31405,31405,28887,28887,23590,23590,40589,40589,60661,60661,28981,28981,71484,71484,97128,97128,27489,27489,25494,25494,9672,9672,109967,109967,70418,70418,20578,20578,39871,39871,22406,22406,30136,30136,59356,59356,18726,18726,39817,39817,59663,59663,22916,22916,90074,90074,50530,50530,54710,54710,83693,83693,116095,116095,185259,185259,16183,16183,113300,113300,60314,60314,44168,44168,49938,49938,33932,33932,34211,34211,17149,17149,116841,116841,22551,22551,33879,33879,67702,67702,88118,88118,7343,7343,42107,42107,80940,80940,113398,113398,66465,66465
33,4506,4506,13166,13166,6770,6770,16396,16396,6190,6190,8214,8214,16131,16131,24068,24068,5163,5163,20493,20493,10070,10070,11282,11282,32508,32508,28418,28418,20271,20271,16376,16376,30864,30864,14610,14610,27822,27822,12793,12793,42761,42761,14307,14307,21706,21706,34181,34181,24826,24826,30749,30749,21307,21307,5358,5358,69891,69891,36406,36406,45555,45555,8450,8450,13668,13668,13924,13924,101700,101700,82819,82819,3406,3406,33376,33376,24227,24227,104299,104299,27858,27858,24714,24714,25582,25582,45750,45750,17568,17568,18875,18875,36945,36945,28474,28474,25926,25926,42257,42257,63047,63047,28100,28100,72714,72714,98021,98021,28844,28844,25982,25982,11114,11114,107909,107909,70784,70784,20638,20638,38619,38619,21072,21072,30042,30042,58291,58291,18850,18850,39814,39814,59283,59283,23631,23631,91760,91760,51038,51038,54568,54568,83044,83044,113820,113820,183837,183837,16412,16412,113138,113138,62123,62123,43100,43100,47147,47147,33361,33361,33663,33663,23731,23731,111894,111894,22302,22302,52485,52485,67762,67762,85504,85504,7971,7971,41778,41778,81001,81001,112642,112642,65111,65111
34,4623,4623,13206,13206,6510,6510,16587,16587,5908,5908,8067,8067,16352,16352,24419,24419,4871,4871,20874,20874,10181,10181,11682,11682,32267,32267,28380,28380,20529,20529,16486,16486,30208,30208,14720,14720,27378,27378,14160,14160,42036,42036,14226,14226,21854,21854,39865,39865,24064,24064,31261,31261,25640,25640,5356,5356,75301,75301,34992,34992,43063,43063,8653,8653,13620,13620,14030,14030,101339,101339,81913,81913,3532,3532,32906,32906,24384,24384,137068,137068,28066,28066,24625,24625,25162,25162,46580,46580,16700,16700,20391,20391,88640,88640,28805,28805,39956,39956,41918,41918,66568,66568,29004,29004,72726,72726,97860,97860,39665,39665,25905,25905,12089,12089,106896,106896,72232,72232,20440,20440,38019,38019,21396,21396,29621,29621,57676,57676,18162,18162,39992,39992,57615,57615,23727,23727,92865,92865,50754,50754,54184,54184,84970,84970,114894,114894,184908,184908,16834,16834,116035,116035,61941,61941,42760,42760,47462,47462,33002,33002,33508,33508,35226,35226,106238,106238,21793,21793,50956,50956,66614,66614,83458,83458,7517,7517,42702,42702,81949,81949,111084,111084,67536,67536
35,4594,4594,13095,13095,6670,6670,16242,16242,5740,5740,8255,8255,17015,17015,23727,23727,5176,5176,21031,21031,10271,10271,11651,11651,32400,32400,28008,28008,20260,20260,16496,16496,29835,29835,14974,14974,27734,27734,20768,20768,40749,40749,14356,14356,22225,22225,50065,50065,23280,23280,32098,32098,34941,34941,5327,5327,79273,79273,34027,34027,41776,41776,8730,8730,13935,13935,14190,14190,101364,101364,80460,80460,3688,3688,33352,33352,24201,24201,119549,119549,26893,26893,24753,24753,25312,25312,46792,46792,14460,14460,38390,38390,95248,95248,28597,28597,59365,59365,40798,40798,69152,69152,28309,28309,73247,73247,99991,99991,54353,54353,25922,25922,11539,11539,105530,105530,73318,73318,20752,20752,37188,37188,22670,22670,29079,29079,55386,55386,18467,18467,40277,40277,58620,58620,23896,23896,95164,95164,49952,49952,54941,54941,82881,82881,116829,116829,206099,206099,16788,16788,115655,115655,63969,63969,42239,42239,46036,46036,32977,32977,32880,32880,29688,29688,102401,102401,21608,21608,46646,46646,67796,67796,82017,82017,7961,7961,42134,42134,81455,81455,111368,111368,67470,67470
36,4698,4698,13195,13195,6757,6757,15845,15845,5747,5747,8019,8019,16549,16549,23895,23895,4733,4733,20353,20353,10050,10050,12159,12159,32195,32195,28574,28574,20684,20684,16904,16904,30291,30291,14653,14653,28240,28240,25531,25531,40223,40223,14244,14244,22030,22030,47549,47549,23264,23264,32598,32598,31692,31692,5501,5501,76863,76863,33733,33733,40247,40247,8504,8504,13872,13872,14257,14257,103059,103059,78630,78630,3439,3439,33253,33253,24153,24153,116469,116469,26558,26558,23596,23596,24089,24089,48162,48162,11007,11007,40484,40484,77960,77960,27771,27771,58979,58979,40140,40140,65034,65034,27852,27852,73212,73212,100614,100614,47007,47007,26250,26250,10293,10293,104151,104151,73018,73018,20763,20763,37286,37286,23766,23766,28407,28407,55259,55259,18184,18184,40763,40763,56893,56893,23739,23739,95317,95317,50871,50871,55898,55898,91634,91634,115803,115803,187813,187813,17172,17172,114984,114984,63180,63180,40695,40695,44580,44580,32429,32429,32990,32990,29645,29645,97669,97669,20782,20782,43791,43791,66471,66471,79590,79590,7521,7521,41568,41568,82066,82066,109089,109089,66578,66578
37,4713,4713,13212,13212,6556,6556,15847,15847,5783,5783,7938,7938,17164,17164,23667,23667,4668,4668,20173,20173,10325,10325,11625,11625,32141,32141,28577,28577,20927,20927,17012,17012,29961,29961,14541,14541,27658,27658,22964,22964,39261,39261,14071,14071,22233,22233,41936,41936,23164,23164,32752,32752,27374,27374,5279,5279,77564,77564,33607,33607,38104,38104,8402,8402,14185,14185,14264,14264,103834,103834,78182,78182,3615,3615,32531,32531,24251,24251,115897,115897,26374,26374,24010,24010,23545,23545,49231,49231,10268,10268,34966,34966,47828,47828,27427,27427,59037,59037,40713,40713,64614,64614,28106,28106,72997,72997,100560,100560,41621,41621,25497,25497,9498,9498,101109,101109,74323,74323,21042,21042,36729,36729,22292,22292,27012,27012,55018,55018,17978,17978,39875,39875,56881,56881,23768,23768,95800,95800,49973,49973,56623,56623,85720,85720,114579,114579,179947,179947,16835,16835,114506,114506,63289,63289,39108,39108,43300,43300,31917,31917,33293,33293,31336,31336,92308,92308,21061,21061,41083,41083,65870,65870,78230,78230,7893,7893,42987,42987,82015,82015,108143,108143,64843,64843
38,4779,4779,12820,12820,7141,7141,15278,15278,5764,5764,8185,8185,17097,17097,24023,24023,4671,4671,20162,20162,10185,10185,12188,12188,32996,32996,28500,28500,20756,20756,22158,22158,30049,30049,14524,14524,28070,28070,18303,18303,39270,39270,14304,14304,22702,22702,39535,39535,22257,22257,33302,33302,25051,25051,5585,5585,76047,76047,32330,32330,36930,36930,8081,8081,13996,13996,14141,14141,103233,103233,77500,77500,3564,3564,32416,32416,24275,24275,116551,116551,26556,26556,23954,23954,22738,22738,48398,48398,10042,10042,26910,26910,34563,34563,26969,26969,56267,56267,40021,40021,63547,63547,27537,27537,72950,72950,102406,102406,36044,36044,26181,26181,9308,9308,98803,98803,72961,72961,21200,21200,35884,35884,21992,21992,26669,26669,52598,52598,17362,17362,40441,40441,55005,55005,24375,24375,96603,96603,47812,47812,57719,57719,83118,83118,111555,111555,176278,176278,16873,16873,114775,114775,62020,62020,38919,38919,42505,42505,31993,31993,33428,33428,32150,32150,88005,88005,21128,21128,38870,38870,65645,65645,75539,75539,7890,7890,42206,42206,82061,82061,105667,105667,66414,66414
39,4450,4450,12381,12381,6884,6884,14962,14962,5713,5713,8039,8039,16447,16447,23822,23822,4960,4960,19860,19860,10129,10129,11762,11762,32603,32603,27601,27601,20467,20467,19349,19349,29602,29602,14474,14474,27830,27830,16697,16697,37854,37854,14199,14199,24855,24855,39533,39533,22643,22643,37666,37666,24332,24332,5473,5473,77995,77995,31908,31908,35096,35096,6805,6805,13778,13778,14009,14009,102359,102359,75485,75485,3702,3702,31513,31513,23991,23991,116262,116262,25233,25233,23346,23346,22008,22008,48182,48182,10116,10116,22175,22175,33670,33670,26451,26451,54664,54664,39802,39802,64549,64549,26967,26967,73401,73401,104320,104320,35425,35425,26494,26494,9521,9521,98139,98139,73712,73712,20471,20471,36057,36057,22030,22030,26578,26578,52212,52212,17794,17794,40803,40803,54645,54645,24419,24419,97745,97745,49112,49112,58780,58780,83371,83371,111145,111145,172798,172798,17262,17262,114575,114575,62991,62991,37897,37897,40473,40473,31371,31371,33504,33504,33530,33530,84722,84722,20468,20468,38664,38664,64119,64119,72933,72933,7911,7911,42743,42743,79659,79659,105483,105483,67399,67399
40,4683,4683,12674,12674,6651,6651,14993,14993,5827,5827,7650,7650,16759,16759,23891,23891,4508,4508,18572,18572,9884,9884,12083,12083,32879,32879,28739,28739,20946,20946,18530,18530,29788,29788,14036,14036,28588,28588,16926,16926,37362,37362,14313,14313,24216,24216,39146,39146,22269,22269,38281,38281,23569,23569,5454,5454,77488,77488,31808,31808,33479,33479,6607,6607,14351,14351,13829,13829,102033,102033,74351,74351,3775,3775,31480,31480,23920,23920,117327,117327,25590,25590,23031,23031,21063,21063,48404,48404,10643,10643,19262,19262,35184,35184,27186,27186,53759,53759,39476,39476,65533,65533,26390,26390,73461,73461,105871,105871,35683,35683,26064,26064,8995,8995,96056,96056,74653,74653,20242,20242,34739,34739,21254,21254,25732,25732,51310,51310,17009,17009,40121,40121,53190,53190,24724,24724,97400,97400,47063,47063,58270,58270,82840,82840,108258,108258,167868,167868,16760,16760,114981,114981,62047,62047,36167,36167,39897,39897,30711,30711,32881,32881,34415,34415,80681,80681,20518,20518,38449,38449,64027,64027,71909,71909,7722,7722,43082,43082,78807,78807,103819,103819,65518,65518
