 ,IntDen1,RawIntDen1,IntDen2,RawIntDen2,IntDen3,RawIntDen3,IntDen4,RawIntDen4,IntDen5,RawIntDen5,IntDen6,RawIntDen6,IntDen7,RawIntDen7,IntDen8,RawIntDen8,IntDen9,RawIntDen9,IntDen10,RawIntDen10,IntDen11,RawIntDen11,IntDen12,RawIntDen12,IntDen13,RawIntDen13,IntDen14,RawIntDen14,IntDen15,RawIntDen15,IntDen16,RawIntDen16,IntDen17,RawIntDen17,IntDen18,RawIntDen18,IntDen19,RawIntDen19,IntDen20,RawIntDen20,IntDen21,RawIntDen21,IntDen22,RawIntDen22,IntDen23,RawIntDen23,IntDen24,RawIntDen24,IntDen25,RawIntDen25,IntDen26,RawIntDen26,IntDen27,RawIntDen27,IntDen28,RawIntDen28,IntDen29,RawIntDen29,IntDen30,RawIntDen30,IntDen31,RawIntDen31,IntDen32,RawIntDen32,IntDen33,RawIntDen33,IntDen34,RawIntDen34,IntDen35,RawIntDen35,IntDen36,RawIntDen36,IntDen37,RawIntDen37,IntDen38,RawIntDen38,IntDen39,RawIntDen39,IntDen40,RawIntDen40,IntDen41,RawIntDen41,IntDen42,RawIntDen42,IntDen43,RawIntDen43,IntDen44,RawIntDen44,IntDen45,RawIntDen45,IntDen46,RawIntDen46,IntDen47,RawIntDen47,IntDen48,RawIntDen48,IntDen49,RawIntDen49,IntDen50,RawIntDen50,IntDen51,RawIntDen51,IntDen52,RawIntDen52,IntDen53,RawIntDen53,IntDen54,RawIntDen54,IntDen55,RawIntDen55,IntDen56,RawIntDen56,IntDen57,RawIntDen57,IntDen58,RawIntDen58,IntDen59,RawIntDen59,IntDen60,RawIntDen60,IntDen61,RawIntDen61,IntDen62,RawIntDen62,IntDen63,RawIntDen63,IntDen64,RawIntDen64,IntDen65,RawIntDen65,IntDen66,RawIntDen66,IntDen67,RawIntDen67
11,55746,55746,24078,24078,110257,110257,13481,13481,18902,18902,26107,26107,35912,35912,69517,69517,18601,18601,96139,96139,69504,69504,34961,34961,53017,53017,65575,65575,80882,80882,68679,68679,21464,21464,38222,38222,61455,61455,72584,72584,49172,49172,48059,48059,27256,27256,53387,53387,101824,101824,32618,32618,132848,132848,91608,91608,28517,28517,120196,120196,9826,9826,172978,172978,106821,106821,107459,107459,138207,138207,131903,131903,26665,26665,32903,32903,14912,14912,21253,21253,94636,94636,52883,52883,13925,13925,18165,18165,154296,154296,108170,108170,44168,44168,66120,66120,66680,66680,97710,97710,57754,57754,18871,18871,105245,105245,129371,129371,23046,23046,31208,31208,28172,28172,26069,26069,21791,21791,37260,37260,34396,34396,42990,42990,28085,28085,24743,24743,121453,121453,34020,34020,41399,41399
12,58275,58275,23466,23466,100676,100676,13028,13028,19301,19301,25799,25799,35427,35427,70565,70565,16549,16549,97968,97968,64834,64834,35293,35293,55226,55226,67302,67302,82850,82850,68620,68620,21793,21793,34062,34062,63552,63552,73273,73273,48941,48941,45854,45854,25034,25034,55371,55371,99211,99211,33442,33442,133898,133898,90796,90796,27253,27253,122687,122687,9828,9828,170850,170850,97131,97131,110708,110708,140862,140862,136775,136775,26235,26235,34428,34428,14755,14755,21662,21662,94929,94929,54977,54977,14057,14057,18153,18153,149224,149224,112060,112060,46538,46538,68871,68871,68275,68275,101566,101566,59069,59069,19436,19436,106935,106935,133051,133051,22901,22901,31332,31332,29679,29679,26089,26089,22368,22368,37328,37328,34072,34072,43157,43157,30016,30016,25483,25483,124657,124657,33601,33601,41282,41282
13,58719,58719,22864,22864,103324,103324,13157,13157,19305,19305,25717,25717,36594,36594,71209,71209,16977,16977,96794,96794,66071,66071,38584,38584,53628,53628,68361,68361,83572,83572,71578,71578,21295,21295,34483,34483,64131,64131,73883,73883,50107,50107,43902,43902,25063,25063,56202,56202,101157,101157,33846,33846,134877,134877,93443,93443,27605,27605,123256,123256,10172,10172,173078,173078,100339,100339,111494,111494,141758,141758,136107,136107,27715,27715,35154,35154,15059,15059,21956,21956,96950,96950,55355,55355,14220,14220,18855,18855,151936,151936,112039,112039,45476,45476,70076,70076,68342,68342,101449,101449,59928,59928,19044,19044,105581,105581,132760,132760,23457,23457,30613,30613,30946,30946,26026,26026,22053,22053,37956,37956,33843,33843,42666,42666,29891,29891,25387,25387,124193,124193,32591,32591,42330,42330
14,57863,57863,22896,22896,103277,103277,13368,13368,19130,19130,26137,26137,36491,36491,70467,70467,17401,17401,98156,98156,66104,66104,40809,40809,52795,52795,68916,68916,82966,82966,70796,70796,20377,20377,36296,36296,64562,64562,72734,72734,50052,50052,41668,41668,25225,25225,55105,55105,101556,101556,34258,34258,136828,136828,94444,94444,27760,27760,124101,124101,10145,10145,172249,172249,100211,100211,111931,111931,143066,143066,137128,137128,27913,27913,35527,35527,15201,15201,21906,21906,99068,99068,55680,55680,14457,14457,18875,18875,152359,152359,112997,112997,46877,46877,70058,70058,68650,68650,102271,102271,60426,60426,19305,19305,105690,105690,134369,134369,23455,23455,30197,30197,30017,30017,25716,25716,21223,21223,39284,39284,33951,33951,43040,43040,29982,29982,25567,25567,125636,125636,32334,32334,42279,42279
15,58287,58287,21784,21784,104602,104602,13109,13109,19473,19473,25720,25720,37496,37496,70392,70392,17944,17944,99138,99138,66407,66407,42190,42190,52049,52049,70547,70547,83165,83165,71358,71358,20532,20532,36876,36876,66006,66006,70979,70979,50147,50147,39949,39949,25942,25942,56424,56424,102771,102771,34281,34281,136298,136298,94712,94712,27555,27555,127214,127214,10321,10321,171784,171784,103067,103067,111660,111660,141250,141250,138152,138152,27602,27602,36405,36405,15258,15258,22382,22382,99465,99465,56825,56825,14798,14798,18894,18894,152584,152584,114355,114355,46124,46124,69797,69797,69485,69485,104153,104153,60745,60745,19383,19383,105280,105280,135874,135874,22831,22831,30406,30406,28990,28990,26360,26360,21893,21893,38623,38623,32763,32763,43906,43906,29789,29789,26148,26148,125598,125598,32625,32625,41807,41807
16,60134,60134,22848,22848,107135,107135,13289,13289,19419,19419,27070,27070,39414,39414,69303,69303,17956,17956,99427,99427,67163,67163,43128,43128,51542,51542,70798,70798,83819,83819,71415,71415,20571,20571,38525,38525,66690,66690,66262,66262,50700,50700,38383,38383,25734,25734,57487,57487,104902,104902,34389,34389,138315,138315,96304,96304,28238,28238,128553,128553,10124,10124,174012,174012,102431,102431,111332,111332,143645,143645,139627,139627,27175,27175,37664,37664,16221,16221,22400,22400,102239,102239,57862,57862,14373,14373,19105,19105,153259,153259,115507,115507,46707,46707,70111,70111,69223,69223,105607,105607,60282,60282,19584,19584,105405,105405,135882,135882,22704,22704,29987,29987,29968,29968,25761,25761,22901,22901,39907,39907,33456,33456,42090,42090,29637,29637,26367,26367,126191,126191,32124,32124,42430,42430
17,60300,60300,22677,22677,106529,106529,13632,13632,19518,19518,27214,27214,41025,41025,69147,69147,18007,18007,100350,100350,67457,67457,44548,44548,50355,50355,71353,71353,81783,81783,71533,71533,19851,19851,39361,39361,67273,67273,61620,61620,51105,51105,37842,37842,25597,25597,57481,57481,102185,102185,34823,34823,137032,137032,97062,97062,27821,27821,129090,129090,10418,10418,176590,176590,101634,101634,112037,112037,145786,145786,139831,139831,27121,27121,38428,38428,16797,16797,22482,22482,102847,102847,57752,57752,14551,14551,18723,18723,153221,153221,116526,116526,46897,46897,70705,70705,68592,68592,106720,106720,61320,61320,19920,19920,105607,105607,137099,137099,22860,22860,29785,29785,29980,29980,25408,25408,21829,21829,39579,39579,31952,31952,34548,34548,30200,30200,26668,26668,126647,126647,32614,32614,42544,42544
18,60763,60763,23089,23089,106782,106782,13153,13153,19411,19411,26733,26733,42698,42698,68540,68540,18081,18081,98992,98992,66641,66641,45364,45364,48659,48659,70177,70177,81307,81307,70323,70323,18861,18861,41223,41223,68215,68215,54545,54545,50895,50895,36968,36968,25553,25553,58344,58344,104532,104532,34791,34791,138083,138083,97571,97571,28607,28607,131134,131134,10376,10376,177955,177955,103529,103529,109975,109975,145486,145486,140866,140866,27149,27149,39831,39831,18350,18350,22032,22032,103282,103282,58665,58665,14382,14382,19348,19348,155088,155088,117548,117548,47179,47179,73311,73311,69003,69003,107297,107297,61489,61489,19588,19588,105866,105866,134284,134284,24963,24963,29055,29055,30438,30438,26360,26360,21818,21818,38386,38386,31774,31774,31593,31593,30717,30717,27185,27185,127256,127256,32827,32827,43483,43483
19,60404,60404,22865,22865,98929,98929,13309,13309,19662,19662,27107,27107,45446,45446,70437,70437,17785,17785,99778,99778,68396,68396,45154,45154,47449,47449,70361,70361,79888,79888,70074,70074,18050,18050,43623,43623,68639,68639,50318,50318,51096,51096,35822,35822,25955,25955,57723,57723,105740,105740,35068,35068,140068,140068,98658,98658,28092,28092,131296,131296,10425,10425,177632,177632,101830,101830,110782,110782,148262,148262,142140,142140,28720,28720,40993,40993,19554,19554,22589,22589,105516,105516,58969,58969,14926,14926,19814,19814,156219,156219,120435,120435,46869,46869,73396,73396,69604,69604,109390,109390,61796,61796,19644,19644,105693,105693,133695,133695,25283,25283,29014,29014,31400,31400,25906,25906,22199,22199,38826,38826,31616,31616,29641,29641,30588,30588,27507,27507,129278,129278,32284,32284,44119,44119
20,59899,59899,22909,22909,27199,27199,13863,13863,19733,19733,27087,27087,51245,51245,71320,71320,18593,18593,100527,100527,67783,67783,45296,45296,46370,46370,72015,72015,79298,79298,71096,71096,17785,17785,44414,44414,70518,70518,48027,48027,50841,50841,35409,35409,25533,25533,59622,59622,106008,106008,35823,35823,140615,140615,98853,98853,28495,28495,132508,132508,10595,10595,178717,178717,103752,103752,110217,110217,148701,148701,144142,144142,28837,28837,42769,42769,22255,22255,22474,22474,106791,106791,58349,58349,14900,14900,19119,19119,156585,156585,121258,121258,46975,46975,73733,73733,69986,69986,108944,108944,62254,62254,19354,19354,105132,105132,135457,135457,25197,25197,29574,29574,31147,31147,26521,26521,22272,22272,39402,39402,31720,31720,29205,29205,30916,30916,28000,28000,129603,129603,31895,31895,43401,43401
21,61230,61230,22897,22897,23542,23542,14005,14005,19525,19525,27183,27183,55533,55533,72449,72449,18906,18906,101889,101889,68160,68160,43118,43118,45408,45408,73772,73772,81618,81618,71006,71006,17699,17699,46054,46054,70429,70429,47989,47989,51645,51645,35574,35574,26856,26856,59135,59135,107966,107966,35954,35954,143155,143155,100658,100658,28294,28294,133981,133981,10731,10731,180362,180362,104476,104476,111138,111138,151014,151014,142139,142139,28512,28512,43025,43025,25040,25040,23035,23035,109075,109075,59134,59134,14778,14778,19264,19264,158959,158959,122582,122582,47930,47930,75132,75132,71371,71371,112277,112277,63715,63715,19556,19556,105054,105054,136965,136965,25475,25475,29680,29680,31440,31440,26196,26196,22398,22398,39988,39988,31143,31143,28348,28348,31499,31499,28028,28028,128265,128265,31018,31018,43764,43764
22,62118,62118,22941,22941,22549,22549,14118,14118,20255,20255,27650,27650,59128,59128,72304,72304,19214,19214,101325,101325,68139,68139,40175,40175,46231,46231,73996,73996,83786,83786,71232,71232,17803,17803,45575,45575,72648,72648,49340,49340,52188,52188,36807,36807,26018,26018,60908,60908,108054,108054,35926,35926,144664,144664,101395,101395,28551,28551,136950,136950,10708,10708,181336,181336,104364,104364,111457,111457,152801,152801,146573,146573,29108,29108,43739,43739,25922,25922,23329,23329,110694,110694,60680,60680,15138,15138,19179,19179,158379,158379,123288,123288,47728,47728,75605,75605,71767,71767,113249,113249,63817,63817,19738,19738,104836,104836,136894,136894,25059,25059,29766,29766,29529,29529,26481,26481,21740,21740,40302,40302,31281,31281,28372,28372,32078,32078,27720,27720,126930,126930,30364,30364,44705,44705
23,63319,63319,22499,22499,21644,21644,13801,13801,20096,20096,27926,27926,63852,63852,75143,75143,19053,19053,101790,101790,67713,67713,38487,38487,45480,45480,73634,73634,84063,84063,71396,71396,17233,17233,45915,45915,73432,73432,48531,48531,52983,52983,37019,37019,26352,26352,61047,61047,110415,110415,35877,35877,147401,147401,101163,101163,28488,28488,137178,137178,10931,10931,180226,180226,106833,106833,112415,112415,154034,154034,146545,146545,28693,28693,44622,44622,27829,27829,23319,23319,112944,112944,61996,61996,15321,15321,19576,19576,160794,160794,125846,125846,48818,48818,76237,76237,71024,71024,114807,114807,63597,63597,20203,20203,107217,107217,137492,137492,25985,25985,29552,29552,29764,29764,27031,27031,21593,21593,41400,41400,30048,30048,27833,27833,31636,31636,28146,28146,119551,119551,29772,29772,45355,45355
24,61842,61842,22789,22789,21321,21321,13895,13895,19694,19694,26738,26738,64788,64788,76246,76246,18792,18792,102011,102011,67177,67177,37868,37868,44648,44648,74721,74721,84266,84266,69621,69621,16858,16858,46257,46257,74426,74426,50233,50233,52194,52194,37651,37651,25540,25540,60689,60689,108927,108927,36311,36311,147224,147224,101080,101080,28040,28040,136532,136532,10939,10939,179092,179092,104265,104265,111562,111562,154098,154098,147519,147519,29214,29214,45371,45371,28390,28390,22576,22576,112932,112932,61380,61380,15128,15128,19869,19869,160682,160682,126284,126284,49158,49158,77138,77138,71308,71308,116059,116059,64956,64956,19183,19183,107725,107725,136212,136212,25133,25133,29768,29768,29363,29363,26997,26997,21101,21101,41150,41150,30864,30864,27887,27887,31233,31233,28343,28343,98330,98330,28163,28163,45507,45507
25,63820,63820,22178,22178,21675,21675,13740,13740,19821,19821,26396,26396,65409,65409,75167,75167,19435,19435,101757,101757,67408,67408,36086,36086,43196,43196,74863,74863,81417,81417,68662,68662,16970,16970,46688,46688,74683,74683,48305,48305,52509,52509,37703,37703,25451,25451,61717,61717,110765,110765,36163,36163,148008,148008,100576,100576,27692,27692,138464,138464,10825,10825,177431,177431,104607,104607,110647,110647,154216,154216,146711,146711,28775,28775,46335,46335,29262,29262,23305,23305,113486,113486,61444,61444,15224,15224,20269,20269,158316,158316,127941,127941,49837,49837,76643,76643,71246,71246,118432,118432,64250,64250,19686,19686,107151,107151,138344,138344,25549,25549,30694,30694,29011,29011,26391,26391,20691,20691,41032,41032,29337,29337,27704,27704,32164,32164,29193,29193,78681,78681,27494,27494,45058,45058
26,63957,63957,22112,22112,21269,21269,13968,13968,19386,19386,26348,26348,63681,63681,77681,77681,19065,19065,103647,103647,66276,66276,34120,34120,43037,43037,75407,75407,79737,79737,66892,66892,16774,16774,45679,45679,76980,76980,46191,46191,52421,52421,39103,39103,25325,25325,62314,62314,111410,111410,36640,36640,148698,148698,101726,101726,27334,27334,140269,140269,11040,11040,177540,177540,105439,105439,109469,109469,156067,156067,148965,148965,28905,28905,45470,45470,29653,29653,22833,22833,114972,114972,62791,62791,14945,14945,20087,20087,159229,159229,129221,129221,49002,49002,77828,77828,71322,71322,116459,116459,65160,65160,19533,19533,107343,107343,139236,139236,25756,25756,30141,30141,28778,28778,26514,26514,20278,20278,42018,42018,29528,29528,27384,27384,32455,32455,28957,28957,68886,68886,26172,26172,46057,46057
27,64157,64157,22255,22255,21672,21672,13773,13773,19599,19599,27464,27464,63816,63816,79653,79653,19548,19548,103402,103402,66179,66179,33164,33164,42004,42004,76809,76809,76283,76283,65581,65581,16630,16630,47211,47211,77701,77701,45639,45639,53010,53010,40545,40545,25493,25493,62196,62196,111450,111450,37073,37073,151658,151658,102802,102802,26885,26885,140774,140774,11032,11032,176000,176000,106430,106430,110146,110146,156426,156426,148335,148335,28771,28771,46300,46300,28081,28081,22847,22847,115709,115709,63094,63094,15653,15653,20564,20564,159998,159998,129270,129270,49461,49461,78228,78228,71532,71532,119368,119368,65691,65691,19484,19484,106418,106418,138859,138859,25431,25431,29969,29969,29114,29114,26883,26883,19470,19470,43284,43284,29048,29048,27817,27817,32121,32121,29054,29054,66457,66457,26075,26075,46140,46140
28,64960,64960,22958,22958,21248,21248,13631,13631,19862,19862,27522,27522,63199,63199,80180,80180,18831,18831,103612,103612,65252,65252,31587,31587,42460,42460,77457,77457,77844,77844,64315,64315,16762,16762,47023,47023,78611,78611,42138,42138,53454,53454,40163,40163,25116,25116,62883,62883,111298,111298,36813,36813,151396,151396,103179,103179,27469,27469,141499,141499,10882,10882,174436,174436,105607,105607,110523,110523,159219,159219,149873,149873,28838,28838,46732,46732,26037,26037,22574,22574,115965,115965,64838,64838,15789,15789,19981,19981,160595,160595,130659,130659,48973,48973,78966,78966,71540,71540,119647,119647,65437,65437,19699,19699,106421,106421,139546,139546,25134,25134,29820,29820,28248,28248,27142,27142,19629,19629,42455,42455,28913,28913,27425,27425,31583,31583,29572,29572,65207,65207,24896,24896,45667,45667
29,64402,64402,22100,22100,21680,21680,13590,13590,19909,19909,25592,25592,59964,59964,81373,81373,19381,19381,103501,103501,66358,66358,31438,31438,41187,41187,77702,77702,74986,74986,61594,61594,16933,16933,46951,46951,79718,79718,41054,41054,53359,53359,39753,39753,25400,25400,61967,61967,112768,112768,36601,36601,152815,152815,102915,102915,25853,25853,142732,142732,11194,11194,172500,172500,106657,106657,109510,109510,160067,160067,149317,149317,28429,28429,46922,46922,23184,23184,22528,22528,116838,116838,65879,65879,15448,15448,20223,20223,161094,161094,131309,131309,49100,49100,80285,80285,71724,71724,119481,119481,65394,65394,20236,20236,106130,106130,140555,140555,25052,25052,30194,30194,28263,28263,27269,27269,18916,18916,43477,43477,28773,28773,26699,26699,31932,31932,29558,29558,65169,65169,24291,24291,45847,45847
30,64247,64247,22024,22024,21609,21609,13563,13563,19562,19562,26381,26381,58648,58648,80660,80660,19869,19869,102495,102495,64507,64507,31082,31082,40371,40371,76480,76480,74700,74700,60094,60094,16588,16588,46191,46191,79912,79912,38235,38235,52808,52808,39104,39104,24673,24673,62305,62305,110292,110292,37587,37587,149562,149562,102429,102429,26486,26486,141612,141612,11345,11345,177196,177196,106580,106580,107560,107560,157842,157842,151158,151158,29896,29896,47681,47681,22782,22782,22757,22757,115980,115980,65534,65534,15176,15176,20455,20455,157966,157966,132892,132892,49038,49038,81767,81767,70546,70546,120526,120526,66003,66003,19631,19631,106093,106093,136517,136517,26950,26950,29983,29983,27403,27403,26502,26502,18377,18377,41337,41337,28187,28187,27580,27580,32446,32446,29065,29065,65251,65251,23862,23862,43789,43789
31,66288,66288,21651,21651,21260,21260,14286,14286,19994,19994,25957,25957,58435,58435,84685,84685,19680,19680,104065,104065,64107,64107,31099,31099,40371,40371,76976,76976,72022,72022,59346,59346,16700,16700,45802,45802,82991,82991,35888,35888,52841,52841,39509,39509,24600,24600,63460,63460,113768,113768,37884,37884,155208,155208,104863,104863,26546,26546,144029,144029,11464,11464,171272,171272,106920,106920,109237,109237,162335,162335,151015,151015,28385,28385,47693,47693,22182,22182,22959,22959,118294,118294,66951,66951,15667,15667,20121,20121,159502,159502,135078,135078,49007,49007,81038,81038,71197,71197,122048,122048,66290,66290,19744,19744,106979,106979,141298,141298,25349,25349,29955,29955,27331,27331,26660,26660,18102,18102,43874,43874,28437,28437,26487,26487,33032,33032,30052,30052,66319,66319,23498,23498,44220,44220
32,65244,65244,21405,21405,21550,21550,13790,13790,19278,19278,24333,24333,55116,55116,83483,83483,20273,20273,104308,104308,65139,65139,31052,31052,40433,40433,77637,77637,67982,67982,58120,58120,16746,16746,46094,46094,83589,83589,35153,35153,53030,53030,38591,38591,24672,24672,63524,63524,111665,111665,37776,37776,153264,153264,104578,104578,26413,26413,143759,143759,11319,11319,176450,176450,108202,108202,107005,107005,162902,162902,152442,152442,29717,29717,48211,48211,20164,20164,23369,23369,116446,116446,67798,67798,15508,15508,20367,20367,161199,161199,135900,135900,49163,49163,82149,82149,71320,71320,123495,123495,68295,68295,19546,19546,106328,106328,137932,137932,26999,26999,29866,29866,26657,26657,27736,27736,18011,18011,42398,42398,27563,27563,26979,26979,32800,32800,29716,29716,66473,66473,23191,23191,43534,43534
