 ,IntDen1,RawIntDen1,IntDen2,RawIntDen2,IntDen3,RawIntDen3,IntDen4,RawIntDen4,IntDen5,RawIntDen5,IntDen6,RawIntDen6,IntDen7,RawIntDen7,IntDen8,RawIntDen8,IntDen9,RawIntDen9,IntDen10,RawIntDen10,IntDen11,RawIntDen11,IntDen12,RawIntDen12,IntDen13,RawIntDen13,IntDen14,RawIntDen14,IntDen15,RawIntDen15,IntDen16,RawIntDen16,IntDen17,RawIntDen17,IntDen18,RawIntDen18,IntDen19,RawIntDen19,IntDen20,RawIntDen20,IntDen21,RawIntDen21,IntDen22,RawIntDen22,IntDen23,RawIntDen23,IntDen24,RawIntDen24,IntDen25,RawIntDen25,IntDen26,RawIntDen26,IntDen27,RawIntDen27,IntDen28,RawIntDen28,IntDen29,RawIntDen29,IntDen30,RawIntDen30,IntDen31,RawIntDen31,IntDen32,RawIntDen32,IntDen33,RawIntDen33,IntDen34,RawIntDen34,IntDen35,RawIntDen35,IntDen36,RawIntDen36,IntDen37,RawIntDen37,IntDen38,RawIntDen38,IntDen39,RawIntDen39,IntDen40,RawIntDen40,IntDen41,RawIntDen41,IntDen42,RawIntDen42,IntDen43,RawIntDen43,IntDen44,RawIntDen44,IntDen45,RawIntDen45,IntDen46,RawIntDen46,IntDen47,RawIntDen47,IntDen48,RawIntDen48,IntDen49,RawIntDen49,IntDen50,RawIntDen50,IntDen51,RawIntDen51,IntDen52,RawIntDen52,IntDen53,RawIntDen53,IntDen54,RawIntDen54,IntDen55,RawIntDen55,IntDen56,RawIntDen56,IntDen57,RawIntDen57,IntDen58,RawIntDen58,IntDen59,RawIntDen59,IntDen60,RawIntDen60,IntDen61,RawIntDen61,IntDen62,RawIntDen62,IntDen63,RawIntDen63,IntDen64,RawIntDen64,IntDen65,RawIntDen65,IntDen66,RawIntDen66,IntDen67,RawIntDen67,IntDen68,RawIntDen68,IntDen69,RawIntDen69,IntDen70,RawIntDen70,IntDen71,RawIntDen71,IntDen72,RawIntDen72,IntDen73,RawIntDen73,IntDen74,RawIntDen74,IntDen75,RawIntDen75,IntDen76,RawIntDen76,IntDen77,RawIntDen77,IntDen78,RawIntDen78,IntDen79,RawIntDen79,IntDen80,RawIntDen80,IntDen81,RawIntDen81,IntDen82,RawIntDen82,IntDen83,RawIntDen83,IntDen84,RawIntDen84,IntDen85,RawIntDen85,IntDen86,RawIntDen86,IntDen87,RawIntDen87,IntDen88,RawIntDen88,IntDen89,RawIntDen89,IntDen90,RawIntDen90,IntDen91,RawIntDen91,IntDen92,RawIntDen92,IntDen93,RawIntDen93,IntDen94,RawIntDen94
29,40687,40687,15963,15963,12311,12311,25119,25119,27877,27877,25219,25219,10949,10949,32639,32639,8704,8704,16745,16745,29224,29224,18548,18548,45646,45646,18,18,5017,5017,43569,43569,44216,44216,64874,64874,13027,13027,12004,12004,54564,54564,27535,27535,86689,86689,10673,10673,22770,22770,22767,22767,17708,17708,89314,89314,13498,13498,44867,44867,17193,17193,16303,16303,19507,19507,20377,20377,9626,9626,17186,17186,38846,38846,33581,33581,40991,40991,9829,9829,15084,15084,24106,24106,26758,26758,28556,28556,8080,8080,46290,46290,4436,4436,9974,9974,40198,40198,47750,47750,45972,45972,17048,17048,80312,80312,28860,28860,6065,6065,25745,25745,15459,15459,59733,59733,5186,5186,15478,15478,5415,5415,22194,22194,32003,32003,17561,17561,9949,9949,111675,111675,12328,12328,34926,34926,94988,94988,13710,13710,16504,16504,15944,15944,16150,16150,17562,17562,14539,14539,136627,136627,29827,29827,12215,12215,48933,48933,22767,22767,18399,18399,11112,11112,31208,31208,34081,34081,35655,35655,54267,54267,8160,8160,17150,17150,22476,22476,61091,61091,33196,33196,10098,10098,43549,43549,18995,18995
30,39044,39044,15573,15573,11687,11687,25628,25628,27040,27040,25429,25429,10667,10667,31987,31987,8509,8509,16914,16914,28982,28982,18364,18364,44893,44893,24,24,5699,5699,41614,41614,43014,43014,64496,64496,12362,12362,11692,11692,55422,55422,26310,26310,85887,85887,10775,10775,22511,22511,22819,22819,17399,17399,86529,86529,13106,13106,44167,44167,17035,17035,16589,16589,18939,18939,19806,19806,9529,9529,18002,18002,38455,38455,33653,33653,41620,41620,9682,9682,14449,14449,23604,23604,26707,26707,26982,26982,7692,7692,46834,46834,4555,4555,9972,9972,40539,40539,47271,47271,45392,45392,17056,17056,83108,83108,28082,28082,5586,5586,25748,25748,15591,15591,58949,58949,5228,5228,15440,15440,5464,5464,22221,22221,32238,32238,18386,18386,9430,9430,109593,109593,12999,12999,34500,34500,94267,94267,13561,13561,16601,16601,15778,15778,16088,16088,17031,17031,13571,13571,137349,137349,28699,28699,12376,12376,49342,49342,22490,22490,17550,17550,11091,11091,36711,36711,33818,33818,34167,34167,54988,54988,8817,8817,17558,17558,21513,21513,60830,60830,32133,32133,10178,10178,43904,43904,19390,19390
31,39471,39471,15483,15483,11988,11988,25113,25113,28602,28602,25803,25803,11081,11081,31779,31779,8253,8253,16275,16275,28291,28291,18382,18382,45149,45149,23,23,5316,5316,41428,41428,43419,43419,64761,64761,12960,12960,11770,11770,54410,54410,26653,26653,86537,86537,11032,11032,22032,22032,22581,22581,16916,16916,85691,85691,13400,13400,44248,44248,16731,16731,16042,16042,19094,19094,20547,20547,9274,9274,32446,32446,37476,37476,33972,33972,40672,40672,9756,9756,14379,14379,24273,24273,27186,27186,27144,27144,7709,7709,46612,46612,4624,4624,9798,9798,40238,40238,46918,46918,44835,44835,16607,16607,82716,82716,29310,29310,5427,5427,25860,25860,15549,15549,59061,59061,4959,4959,16305,16305,5223,5223,21999,21999,31444,31444,18233,18233,8975,8975,109062,109062,12985,12985,33275,33275,94660,94660,13407,13407,16599,16599,15372,15372,15692,15692,16525,16525,13079,13079,137872,137872,27694,27694,12346,12346,49003,49003,23254,23254,17817,17817,11525,11525,28073,28073,32554,32554,33348,33348,56204,56204,6998,6998,17704,17704,22492,22492,63305,63305,32133,32133,10018,10018,43821,43821,19705,19705
32,39644,39644,14598,14598,11831,11831,24591,24591,27420,27420,26403,26403,10917,10917,32184,32184,8241,8241,16386,16386,29073,29073,18582,18582,44883,44883,23,23,5308,5308,40484,40484,43674,43674,65121,65121,12041,12041,11489,11489,55378,55378,25853,25853,85058,85058,10514,10514,21257,21257,22621,22621,16954,16954,83466,83466,13285,13285,42997,42997,17046,17046,16659,16659,19468,19468,20689,20689,9066,9066,26665,26665,37600,37600,33445,33445,40607,40607,9620,9620,14197,14197,23695,23695,26333,26333,28138,28138,7565,7565,47069,47069,4554,4554,9348,9348,39622,39622,47458,47458,43806,43806,16649,16649,82569,82569,27811,27811,5888,5888,25438,25438,15758,15758,57745,57745,4932,4932,16716,16716,5434,5434,22772,22772,31791,31791,18408,18408,8294,8294,109551,109551,12727,12727,33697,33697,93156,93156,13635,13635,16214,16214,15087,15087,16722,16722,16376,16376,12956,12956,139546,139546,26871,26871,12430,12430,49110,49110,23304,23304,17643,17643,11552,11552,34953,34953,32720,32720,31809,31809,55000,55000,6636,6636,17446,17446,22925,22925,63302,63302,31621,31621,10085,10085,43878,43878,20041,20041
33,40333,40333,15013,15013,12084,12084,24666,24666,27469,27469,26199,26199,10673,10673,30713,30713,8659,8659,16487,16487,29114,29114,18444,18444,44382,44382,30,30,5165,5165,39599,39599,42092,42092,66198,66198,12237,12237,11704,11704,56001,56001,25586,25586,85947,85947,10425,10425,21395,21395,22664,22664,17107,17107,81954,81954,13291,13291,42708,42708,16404,16404,16664,16664,18920,18920,20633,20633,9328,9328,26106,26106,37040,37040,32466,32466,41394,41394,9993,9993,14254,14254,23837,23837,27149,27149,28508,28508,7485,7485,48287,48287,4320,4320,9180,9180,39189,39189,47543,47543,43004,43004,16598,16598,83346,83346,28330,28330,5951,5951,25555,25555,15977,15977,58374,58374,5038,5038,16988,16988,5370,5370,23149,23149,32571,32571,18319,18319,8085,8085,110118,110118,12759,12759,33515,33515,94123,94123,13108,13108,15659,15659,14968,14968,17134,17134,16051,16051,12821,12821,138289,138289,26102,26102,12273,12273,48815,48815,22764,22764,18035,18035,11897,11897,37880,37880,32043,32043,31362,31362,55275,55275,7128,7128,17260,17260,23123,23123,62849,62849,29886,29886,10347,10347,44173,44173,19963,19963
34,40422,40422,14956,14956,11647,11647,24622,24622,27778,27778,26561,26561,11019,11019,30756,30756,8200,8200,16421,16421,29030,29030,18582,18582,43961,43961,31,31,5603,5603,39699,39699,44054,44054,67063,67063,12163,12163,11334,11334,55462,55462,25129,25129,86068,86068,10167,10167,21173,21173,22429,22429,16787,16787,80721,80721,13439,13439,43682,43682,17046,17046,16590,16590,19019,19019,20699,20699,9179,9179,26063,26063,36774,36774,32967,32967,40492,40492,10166,10166,14277,14277,23366,23366,26921,26921,29990,29990,7351,7351,46925,46925,4239,4239,8891,8891,39310,39310,47090,47090,42286,42286,16851,16851,83585,83585,28300,28300,5729,5729,25231,25231,17641,17641,57393,57393,4837,4837,16272,16272,5139,5139,23198,23198,33311,33311,18082,18082,8122,8122,111530,111530,12369,12369,33825,33825,92843,92843,13273,13273,16328,16328,15039,15039,17361,17361,16277,16277,12115,12115,139816,139816,25813,25813,12331,12331,48279,48279,23205,23205,17781,17781,11813,11813,37046,37046,32012,32012,29550,29550,55659,55659,10560,10560,17545,17545,23113,23113,62846,62846,28843,28843,9848,9848,44037,44037,19804,19804
35,42541,42541,14757,14757,11687,11687,23777,23777,27785,27785,26361,26361,10695,10695,30330,30330,8069,8069,15979,15979,29189,29189,18449,18449,43186,43186,12,12,6689,6689,38359,38359,41279,41279,65820,65820,12185,12185,11072,11072,59583,59583,25178,25178,86834,86834,10714,10714,20956,20956,22548,22548,15831,15831,80373,80373,13308,13308,42591,42591,15928,15928,17184,17184,18697,18697,21006,21006,9072,9072,25969,25969,36659,36659,33293,33293,40567,40567,10118,10118,14173,14173,23140,23140,27340,27340,30112,30112,7420,7420,47524,47524,4504,4504,9009,9009,38631,38631,47329,47329,40757,40757,15700,15700,83315,83315,27660,27660,5773,5773,25466,25466,26880,26880,57279,57279,4992,4992,16078,16078,5135,5135,23777,23777,32563,32563,18387,18387,7643,7643,111303,111303,12334,12334,33437,33437,92814,92814,12976,12976,16123,16123,14664,14664,17388,17388,15343,15343,12138,12138,141644,141644,24414,24414,12483,12483,47550,47550,23961,23961,18028,18028,11613,11613,37625,37625,32170,32170,28434,28434,55208,55208,19420,19420,17097,17097,23239,23239,63575,63575,27466,27466,10218,10218,44617,44617,19735,19735
36,48402,48402,15908,15908,11463,11463,23763,23763,27016,27016,26154,26154,10732,10732,30208,30208,8442,8442,16519,16519,29416,29416,18073,18073,43323,43323,35,35,6335,6335,38333,38333,41322,41322,66802,66802,11816,11816,10837,10837,57465,57465,23790,23790,88272,88272,10198,10198,20896,20896,21657,21657,15924,15924,80179,80179,13006,13006,42196,42196,15970,15970,17107,17107,18895,18895,20618,20618,9242,9242,26677,26677,36365,36365,32743,32743,42151,42151,10331,10331,13637,13637,24124,24124,27268,27268,29976,29976,7254,7254,48120,48120,4665,4665,8873,8873,38402,38402,46856,46856,42294,42294,16310,16310,86802,86802,27790,27790,5752,5752,25698,25698,40743,40743,55496,55496,5268,5268,16480,16480,5034,5034,23718,23718,32070,32070,18882,18882,7613,7613,110414,110414,12311,12311,32980,32980,92441,92441,13191,13191,15910,15910,14386,14386,17151,17151,15400,15400,11617,11617,145033,145033,23659,23659,12434,12434,49098,49098,24155,24155,18445,18445,11809,11809,37256,37256,32722,32722,26993,26993,56117,56117,9860,9860,17909,17909,23413,23413,64122,64122,27036,27036,10126,10126,44552,44552,19902,19902
37,57593,57593,17213,17213,11212,11212,23386,23386,29135,29135,26495,26495,10830,10830,30165,30165,8290,8290,16166,16166,29452,29452,18771,18771,42278,42278,33,33,9578,9578,35970,35970,40209,40209,66970,66970,12089,12089,11002,11002,56811,56811,23538,23538,88847,88847,10120,10120,20142,20142,22691,22691,16109,16109,79147,79147,12843,12843,40964,40964,16222,16222,17668,17668,19006,19006,20729,20729,9005,9005,27225,27225,35646,35646,31688,31688,41490,41490,9889,9889,13783,13783,23573,23573,26710,26710,28953,28953,7157,7157,47755,47755,4355,4355,8666,8666,37723,37723,47050,47050,43247,43247,15903,15903,86412,86412,28221,28221,5561,5561,25792,25792,31195,31195,54518,54518,5066,5066,16937,16937,5114,5114,24331,24331,31654,31654,19328,19328,7393,7393,111281,111281,12353,12353,32647,32647,92778,92778,12604,12604,15389,15389,14393,14393,16484,16484,15105,15105,11515,11515,146341,146341,22872,22872,12310,12310,49641,49641,23596,23596,17904,17904,11998,11998,37488,37488,31940,31940,26372,26372,57063,57063,9842,9842,17554,17554,24341,24341,63881,63881,26484,26484,10001,10001,44401,44401,19782,19782
38,68615,68615,18499,18499,11412,11412,23149,23149,31856,31856,25907,25907,10607,10607,29956,29956,8197,8197,16196,16196,29375,29375,18275,18275,42900,42900,38,38,9856,9856,36349,36349,40007,40007,67696,67696,11816,11816,11163,11163,56878,56878,23464,23464,87722,87722,10001,10001,19478,19478,22232,22232,15769,15769,76965,76965,12578,12578,42109,42109,15780,15780,17264,17264,18159,18159,20846,20846,8912,8912,27819,27819,34526,34526,32567,32567,42228,42228,10328,10328,13601,13601,23532,23532,26826,26826,29036,29036,7200,7200,47893,47893,4301,4301,8467,8467,37541,37541,47803,47803,45631,45631,16084,16084,86461,86461,27601,27601,5619,5619,25384,25384,26794,26794,53548,53548,5207,5207,16227,16227,5169,5169,23980,23980,31659,31659,19803,19803,7818,7818,110416,110416,12395,12395,32060,32060,91124,91124,12863,12863,15534,15534,13935,13935,16791,16791,14634,14634,10938,10938,147803,147803,22976,22976,12278,12278,51540,51540,23927,23927,17642,17642,12197,12197,36153,36153,32789,32789,25136,25136,55953,55953,21233,21233,18028,18028,23013,23013,64630,64630,26275,26275,9974,9974,45126,45126,19892,19892
