 ,IntDen1,RawIntDen1,IntDen2,RawIntDen2,IntDen3,RawIntDen3,IntDen4,RawIntDen4,IntDen5,RawIntDen5,IntDen6,RawIntDen6,IntDen7,RawIntDen7,IntDen8,RawIntDen8,IntDen9,RawIntDen9,IntDen10,RawIntDen10,IntDen11,RawIntDen11,IntDen12,RawIntDen12,IntDen13,RawIntDen13,IntDen14,RawIntDen14,IntDen15,RawIntDen15,IntDen16,RawIntDen16,IntDen17,RawIntDen17,IntDen18,RawIntDen18,IntDen19,RawIntDen19,IntDen20,RawIntDen20,IntDen21,RawIntDen21,IntDen22,RawIntDen22,IntDen23,RawIntDen23,IntDen24,RawIntDen24,IntDen25,RawIntDen25,IntDen26,RawIntDen26,IntDen27,RawIntDen27,IntDen28,RawIntDen28,IntDen29,RawIntDen29,IntDen30,RawIntDen30,IntDen31,RawIntDen31,IntDen32,RawIntDen32,IntDen33,RawIntDen33,IntDen34,RawIntDen34,IntDen35,RawIntDen35,IntDen36,RawIntDen36,IntDen37,RawIntDen37,IntDen38,RawIntDen38,IntDen39,RawIntDen39,IntDen40,RawIntDen40,IntDen41,RawIntDen41,IntDen42,RawIntDen42,IntDen43,RawIntDen43,IntDen44,RawIntDen44,IntDen45,RawIntDen45,IntDen46,RawIntDen46,IntDen47,RawIntDen47,IntDen48,RawIntDen48,IntDen49,RawIntDen49,IntDen50,RawIntDen50,IntDen51,RawIntDen51,IntDen52,RawIntDen52,IntDen53,RawIntDen53,IntDen54,RawIntDen54,IntDen55,RawIntDen55,IntDen56,RawIntDen56,IntDen57,RawIntDen57,IntDen58,RawIntDen58,IntDen59,RawIntDen59,IntDen60,RawIntDen60,IntDen61,RawIntDen61,IntDen62,RawIntDen62,IntDen63,RawIntDen63,IntDen64,RawIntDen64,IntDen65,RawIntDen65,IntDen66,RawIntDen66,IntDen67,RawIntDen67,IntDen68,RawIntDen68,IntDen69,RawIntDen69,IntDen70,RawIntDen70,IntDen71,RawIntDen71,IntDen72,RawIntDen72,IntDen73,RawIntDen73,IntDen74,RawIntDen74,IntDen75,RawIntDen75,IntDen76,RawIntDen76,IntDen77,RawIntDen77,IntDen78,RawIntDen78,IntDen79,RawIntDen79,IntDen80,RawIntDen80,IntDen81,RawIntDen81
24,137065,137065,67731,67731,17243,17243,58862,58862,12896,12896,13011,13011,9998,9998,27046,27046,19826,19826,16632,16632,6137,6137,26101,26101,22671,22671,86589,86589,112547,112547,13138,13138,37132,37132,15463,15463,25118,25118,92033,92033,23180,23180,18292,18292,39231,39231,24479,24479,11417,11417,11951,11951,18827,18827,33156,33156,12177,12177,5403,5403,11861,11861,58520,58520,23268,23268,24948,24948,17796,17796,56061,56061,21524,21524,16042,16042,11785,11785,18038,18038,37627,37627,17112,17112,18922,18922,16882,16882,37631,37631,13752,13752,7316,7316,11854,11854,31396,31396,11643,11643,15049,15049,10397,10397,45514,45514,47694,47694,18425,18425,15189,15189,8667,8667,8145,8145,24146,24146,77207,77207,18321,18321,7661,7661,18457,18457,11970,11970,66110,66110,8361,8361,16916,16916,15916,15916,2419,2419,10060,10060,7422,7422,11037,11037,10730,10730,34035,34035,19165,19165,3850,3850,507,507,2820,2820,4037,4037,42021,42021,9128,9128
25,132634,132634,63782,63782,17118,17118,65159,65159,12532,12532,10231,10231,10523,10523,25960,25960,19362,19362,16320,16320,6041,6041,43440,43440,22552,22552,85278,85278,108195,108195,11365,11365,36641,36641,15661,15661,24034,24034,88390,88390,37055,37055,17607,17607,34591,34591,25121,25121,9802,9802,11335,11335,19000,19000,32484,32484,16149,16149,5177,5177,12156,12156,57617,57617,23470,23470,24150,24150,17713,17713,56632,56632,21799,21799,15476,15476,11764,11764,17936,17936,37882,37882,17270,17270,18458,18458,16668,16668,37569,37569,13160,13160,7396,7396,12103,12103,31732,31732,11890,11890,14323,14323,10184,10184,44326,44326,48326,48326,18362,18362,14357,14357,8536,8536,8501,8501,24169,24169,76543,76543,18536,18536,7653,7653,18841,18841,11818,11818,66867,66867,8456,8456,16696,16696,15483,15483,2550,2550,9677,9677,7289,7289,12983,12983,11377,11377,33094,33094,20380,20380,3928,3928,480,480,2865,2865,3833,3833,43768,43768,9655,9655
26,131385,131385,58492,58492,16360,16360,67815,67815,12365,12365,11606,11606,10107,10107,24410,24410,19714,19714,16418,16418,6131,6131,88001,88001,22611,22611,81958,81958,107176,107176,11539,11539,36850,36850,19354,19354,23703,23703,86428,86428,28627,28627,17419,17419,38347,38347,24754,24754,10218,10218,9364,9364,19098,19098,32260,32260,31453,31453,5277,5277,12143,12143,57629,57629,25654,25654,24235,24235,17580,17580,56999,56999,21397,21397,15195,15195,12521,12521,18171,18171,37878,37878,16815,16815,18851,18851,16972,16972,37154,37154,13688,13688,7497,7497,12258,12258,32158,32158,12133,12133,15506,15506,15798,15798,43589,43589,48070,48070,18184,18184,15557,15557,8346,8346,8563,8563,25145,25145,75996,75996,18253,18253,7920,7920,18650,18650,11745,11745,66144,66144,8147,8147,16714,16714,15350,15350,2491,2491,8356,8356,7199,7199,13284,13284,11593,11593,32721,32721,20183,20183,3857,3857,457,457,3014,3014,3955,3955,43490,43490,9389,9389
27,124857,124857,52218,52218,15711,15711,72847,72847,12020,12020,10749,10749,9459,9459,23953,23953,18847,18847,16109,16109,5755,5755,85938,85938,22839,22839,81038,81038,102913,102913,12305,12305,36729,36729,18354,18354,24234,24234,82420,82420,27504,27504,17640,17640,30262,30262,24378,24378,10678,10678,9729,9729,19001,19001,31907,31907,34801,34801,5437,5437,11667,11667,58635,58635,28057,28057,23517,23517,17716,17716,57971,57971,21970,21970,15884,15884,12381,12381,17958,17958,38356,38356,16485,16485,19157,19157,16747,16747,37088,37088,13565,13565,7713,7713,11729,11729,31961,31961,11985,11985,15737,15737,10227,10227,41688,41688,47083,47083,18589,18589,14002,14002,8062,8062,8239,8239,24464,24464,75723,75723,18399,18399,7917,7917,18523,18523,11169,11169,66419,66419,8530,8530,16375,16375,15271,15271,2579,2579,8440,8440,7552,7552,22386,22386,10890,10890,31931,31931,20821,20821,3954,3954,537,537,2949,2949,3846,3846,43130,43130,9455,9455
28,123454,123454,47778,47778,15399,15399,75414,75414,11411,11411,12206,12206,9084,9084,23157,23157,18108,18108,17800,17800,5351,5351,74768,74768,22870,22870,79265,79265,101471,101471,12901,12901,36208,36208,18780,18780,23416,23416,79888,79888,27859,27859,17279,17279,32011,32011,24704,24704,10485,10485,10985,10985,18860,18860,31521,31521,35620,35620,5501,5501,12244,12244,56815,56815,30968,30968,23888,23888,18000,18000,58228,58228,21420,21420,15840,15840,11973,11973,17834,17834,46343,46343,16223,16223,19182,19182,17265,17265,37358,37358,13335,13335,7585,7585,11768,11768,32573,32573,11759,11759,15772,15772,9865,9865,40744,40744,46794,46794,18207,18207,7470,7470,7581,7581,8314,8314,24567,24567,73511,73511,19889,19889,7962,7962,18015,18015,10972,10972,67377,67377,8723,8723,16457,16457,15263,15263,2484,2484,8851,8851,7188,7188,22645,22645,11380,11380,31950,31950,24196,24196,4037,4037,585,585,2831,2831,3965,3965,43383,43383,9793,9793
29,120932,120932,43530,43530,15673,15673,73085,73085,11616,11616,15447,15447,8888,8888,22822,22822,17784,17784,20599,20599,5665,5665,70207,70207,22332,22332,79592,79592,98094,98094,13518,13518,35601,35601,17862,17862,22850,22850,75897,75897,28061,28061,17094,17094,29949,29949,24633,24633,10614,10614,8855,8855,18842,18842,31238,31238,32858,32858,5400,5400,11960,11960,56362,56362,38766,38766,24433,24433,18103,18103,57791,57791,21836,21836,16221,16221,12274,12274,18157,18157,41722,41722,16934,16934,18800,18800,16228,16228,37389,37389,13442,13442,7499,7499,11910,11910,32151,32151,11934,11934,15606,15606,10398,10398,35140,35140,47086,47086,17554,17554,14086,14086,7997,7997,8537,8537,24361,24361,74318,74318,18446,18446,7602,7602,18967,18967,10943,10943,66610,66610,8531,8531,16907,16907,14939,14939,2525,2525,9133,9133,7325,7325,19701,19701,11059,11059,31182,31182,24569,24569,3536,3536,482,482,2660,2660,3919,3919,41796,41796,9633,9633
30,119922,119922,41911,41911,15029,15029,75441,75441,11518,11518,14772,14772,8595,8595,22501,22501,16893,16893,22159,22159,5347,5347,64205,64205,22332,22332,80930,80930,95674,95674,13485,13485,36594,36594,18084,18084,23364,23364,76273,76273,27162,27162,17340,17340,33601,33601,24780,24780,11605,11605,10694,10694,19044,19044,31157,31157,32735,32735,5331,5331,12393,12393,56391,56391,58327,58327,24055,24055,18690,18690,58836,58836,21629,21629,17384,17384,12199,12199,18364,18364,45038,45038,16405,16405,18961,18961,16349,16349,36647,36647,13478,13478,7468,7468,11711,11711,31629,31629,11813,11813,15006,15006,10913,10913,34030,34030,46639,46639,17995,17995,17196,17196,7365,7365,9168,9168,23730,23730,75179,75179,18930,18930,7695,7695,18299,18299,10780,10780,68166,68166,8145,8145,16761,16761,14670,14670,2459,2459,8930,8930,6688,6688,18443,18443,10531,10531,30954,30954,23445,23445,3812,3812,493,493,2765,2765,3973,3973,41202,41202,9093,9093
31,117786,117786,39790,39790,14952,14952,83023,83023,11240,11240,13773,13773,9210,9210,22103,22103,16897,16897,23890,23890,5254,5254,61324,61324,21981,21981,80324,80324,92019,92019,13519,13519,35932,35932,15527,15527,23563,23563,72714,72714,27516,27516,17443,17443,34615,34615,24908,24908,10217,10217,8977,8977,18588,18588,31318,31318,32828,32828,5260,5260,11894,11894,55439,55439,64238,64238,23912,23912,18974,18974,58287,58287,21515,21515,16955,16955,12115,12115,18776,18776,41009,41009,16213,16213,19388,19388,16541,16541,37129,37129,13211,13211,7753,7753,11953,11953,32668,32668,11633,11633,15557,15557,15593,15593,31891,31891,46190,46190,17518,17518,9457,9457,7054,7054,8964,8964,23502,23502,72643,72643,18831,18831,7759,7759,18507,18507,11071,11071,68798,68798,8341,8341,16893,16893,14664,14664,2696,2696,9393,9393,7270,7270,18676,18676,10609,10609,28644,28644,25184,25184,3795,3795,427,427,2481,2481,3849,3849,42125,42125,9756,9756
32,117337,117337,38891,38891,15153,15153,91116,91116,11294,11294,14685,14685,8719,8719,20306,20306,16543,16543,19868,19868,5311,5311,58481,58481,23234,23234,79748,79748,90945,90945,13846,13846,35331,35331,15427,15427,23026,23026,70828,70828,27072,27072,18365,18365,32696,32696,25057,25057,9286,9286,10278,10278,18993,18993,30621,30621,33228,33228,5454,5454,12210,12210,54280,54280,61556,61556,23356,23356,19230,19230,58970,58970,21772,21772,16556,16556,12021,12021,18632,18632,45711,45711,16477,16477,18901,18901,16747,16747,36705,36705,13571,13571,7673,7673,11891,11891,32492,32492,11647,11647,15567,15567,21044,21044,30522,30522,45699,45699,18181,18181,13399,13399,6446,6446,9097,9097,23433,23433,72645,72645,18554,18554,7641,7641,18319,18319,10946,10946,67938,67938,8207,8207,16797,16797,14763,14763,2485,2485,9126,9126,6893,6893,19182,19182,10884,10884,28643,28643,24942,24942,3832,3832,462,462,2467,2467,3862,3862,42165,42165,9715,9715
33,113677,113677,37972,37972,14378,14378,85678,85678,10743,10743,14178,14178,8235,8235,20483,20483,16129,16129,20342,20342,5203,5203,56099,56099,22106,22106,79892,79892,90462,90462,14505,14505,34648,34648,20083,20083,23489,23489,68677,68677,26560,26560,22784,22784,44956,44956,24644,24644,9463,9463,11497,11497,18944,18944,30634,30634,33586,33586,5410,5410,12049,12049,54349,54349,52951,52951,23095,23095,19474,19474,59068,59068,21672,21672,16933,16933,12452,12452,18068,18068,48720,48720,16766,16766,19486,19486,16559,16559,36775,36775,13493,13493,7557,7557,13231,13231,31861,31861,11808,11808,16146,16146,12777,12777,30159,30159,45791,45791,17629,17629,13406,13406,5391,5391,10573,10573,24580,24580,73153,73153,18369,18369,7844,7844,18062,18062,10626,10626,66326,66326,8426,8426,16849,16849,14106,14106,2462,2462,9404,9404,6893,6893,19448,19448,10889,10889,28814,28814,28212,28212,3654,3654,468,468,2674,2674,3994,3994,42420,42420,9447,9447
34,112410,112410,37740,37740,14434,14434,100575,100575,10519,10519,13918,13918,7818,7818,20005,20005,15705,15705,25480,25480,4883,4883,54269,54269,21655,21655,86873,86873,86194,86194,14382,14382,35484,35484,21606,21606,22835,22835,68256,68256,27492,27492,32383,32383,47588,47588,25089,25089,11309,11309,9999,9999,18961,18961,30457,30457,32599,32599,5378,5378,12458,12458,53351,53351,38706,38706,24178,24178,19435,19435,59849,59849,21845,21845,15944,15944,12014,12014,18770,18770,52441,52441,16028,16028,18959,18959,16359,16359,36867,36867,13179,13179,7661,7661,13062,13062,31680,31680,11593,11593,15997,15997,24526,24526,28031,28031,45493,45493,17941,17941,10469,10469,4275,4275,11776,11776,24108,24108,71907,71907,18164,18164,7241,7241,18112,18112,10391,10391,66244,66244,18843,18843,16956,16956,13857,13857,2543,2543,9665,9665,7109,7109,18654,18654,10460,10460,25801,25801,24778,24778,3609,3609,457,457,2557,2557,3773,3773,41585,41585,9531,9531
35,113242,113242,36647,36647,14804,14804,116310,116310,10919,10919,14398,14398,7491,7491,19414,19414,15122,15122,27817,27817,5023,5023,51795,51795,22711,22711,81684,81684,84997,84997,14756,14756,35519,35519,21049,21049,22818,22818,67717,67717,24669,24669,42150,42150,52479,52479,24923,24923,12815,12815,12398,12398,18971,18971,29972,29972,28350,28350,5070,5070,12122,12122,53433,53433,30560,30560,24188,24188,24355,24355,60185,60185,22240,22240,17461,17461,11956,11956,18420,18420,51502,51502,17005,17005,18929,18929,15513,15513,36625,36625,13617,13617,7356,7356,21844,21844,31819,31819,11636,11636,15199,15199,25387,25387,35495,35495,45623,45623,18268,18268,14980,14980,4088,4088,14075,14075,25007,25007,70200,70200,20724,20724,7338,7338,18028,18028,10256,10256,65821,65821,17754,17754,16921,16921,13880,13880,2381,2381,9941,9941,6605,6605,18528,18528,12057,12057,24668,24668,27460,27460,3690,3690,504,504,2451,2451,3858,3858,42066,42066,9444,9444
